# taishenIME domain — food
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
包饼	baobing
剔羹	tigeng
朝鮮烤牛排	chaoxiankaoniupai
野味	yewei
糖霜谱	tangshuangpu
食品添加剂	shipintianjiaji
鳳城粉粿	fengchengfenguo
刘长兴面馆	liuzhangxingmianguan
糕渣	gaozha
乙基香兰素	yijixianglansu
魔鬼戰將	moguizhanjiang
蝦膏	xiagao
叫賣果菜小販	jiaomaiguocaixiaofan
儿童餐	ertongcan
炸蟹角	zhaxiejiao
双乙酸钠	shuangyisuanna
叉燒飯	chashaofan
腌核桃	yanhetao
炒冰	chaobing
響鈴卷	xianglingjuan
萱草	xuancao
动物产品	dongwuchanpin
豆包	doubao
大豆油墨	dadouyoumo
烏梅	wumei
吐司三明治	tusisanmingzhi
培根大爆炸	peigendabaozha
圣诞蛋糕	shengdandangao
蟹肉	xierou
鞑靼饮食	dadayinshi
罐裝食品	guanzhuangshipin
藠头	jiaotou
梅菜	meicai
德国面疙瘩	deguomiangeda
芙蓉燒包	furongshaobao
荷蘭小鬆餅	helanxiaosongbing
清油	qingyou
韓國餐具	hanguocanju
印度奄列	yinduyanlie
拉西	laxi
黑胡椒蟹	heihujiaoxie
杂粮	zaliang
山竹牛肉球	shanzhuniurouqiu
墨鱼饭	moyufan
酸奶油	suannaiyou
调味罐	diaoweiguan
灌湯餃	guantangjiao
大列巴	dalieba
小卷	xiaojuan
陽春麵	yangchunmian
面包布丁	mianbaobuding
蕃茄超人	fanjiachaoren
基因改造食品	jiyingaizaoshipin
蓮樂烘焙集團	lianlehongbeijituan
燒烤架	shaokaojia
浆面条	jiangmiantiao
胡楚爾羊芝士	huchueryangzhishi
果胶	guojiao
魚漿	yujiang
小麦	xiaomai
菊花乾貝	juhuaqianbei
鴨血	yaxue
法式凍派	fashidongpai
阿拉福兹	alafuzi
拉茶	lacha
亞麻籽油	yamaziyou
戒指餅	jiezhibing
熬	ao
奶黃	naihuang
免治	mianzhi
亞薩	yasa
胡椒豬肚湯	hujiaozhudutang
下水湯	xiashuitang
白面包	baimianbao
最辣的辣椒	zuiladelajiao
刮凉粉	gualiangfen
可持续水产品	kechixushuichanpin
餬	hu
喀左陈醋	kazuochencu
醬牛肉	jiangniurou
潮女私房菜	chaonvsifangcai
打蛋器	dadanqi
兔女郎	tunvlang
食品玩具	shipinwanju
素肉	surou
野菜	yecai
牛脷酥	niulisu
火麻仁	huomaren
紅寶石巧克力	hongbaoshiqiaokeli
葱	cong
江振誠	jiangzhencheng
绿叶蔬菜	lvyeshucai
菠菜沙拉	bocaishala
膾	kuai
魚飯	yufan
豆腐百珍	doufubaizhen
腰果雞丁	yaoguojiding
拉塞爾	lasaier
