# 泰深输入法专业词库 — 动物
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
中华刺圆线虫	zhonghuaciyuanxianchong
中华剑角蝗	zhonghuajianjiaohuang
中华半掩耳露螽	zhonghuabanyanerluzhong
中华双腔吸虫	zhonghuashuangqiangxichong
中华古猫	zhonghuagumao
中华哈特海鞘	zhonghuahatehaiqiao
中华唇叶蜂	zhonghuachunyefeng
中华唇瓢虫	zhonghuachunpiaochong
中华四极虫	zhonghuasijichong
中华四节大头蚁	zhonghuasijiedatouyi
中华圆腹蛛	zhonghuayuanfuzhu
中华圆蚧蚜小蜂	zhonghuayuanjieyaxiaofeng
中华地鳖	zhonghuadibie
中华地鳖虫	zhonghuadibiechong
中华大窗钩蛾	zhonghuadachuanggoue
中华奎木犬	zhonghuakuimuquan
中华奥锹甲	zhonghuaaoqiaojia
中华对角羚	zhonghuaduijiaoling
中华小公鱼	zhonghuaxiaogongyu
中华小桧叶螅	zhonghuaxiaoguiyexi
中华小长臂虾	zhonghuaxiaozhangbixia
中华嵌线螺	zhonghuaqianxianluo
中华帚形蛤	zhonghuazhouxingha
中华幻草蛉	zhonghuahuancaoling
中华广肩步甲	zhonghuaguangjianbujia
中华广肩步行虫	zhonghuaguangjianbuxingchong
中华床杜父鱼	zhonghuachuangdufuyu
中华康夜蛾	zhonghuakangyee
中华心步甲	zhonghuaxinbujia
中华心角茧蜂	zhonghuaxinjiaojianfeng
中华忍冬圆尾蚜	zhonghuarendongyuanweiya
中华截额叩甲	zhonghuajieekoujia
中华拟守瓜	zhonghuanishougua
中华拟歪尾蠊	zhonghuaniwaiweilian
中华指环虫	zhonghuazhihuanchong
中华散尾鬼笔	zhonghuasanweiguibi
中华文蛤	zhonghuawenge
中华新丽盲蝽	zhonghuaxinlimangchun
中华新尖额蟹	zhonghuaxinjianexie
中华显盾瓢虫	zhonghuaxiandunpiaochong
中华曙猿	zhonghuashuyuan
中华木蜂	zhonghuamufeng
中华杨舟毛虫	zhonghuayangzhoumaochong
