# 泰深输入法专业词库 — 计算机/IT
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
伪元素	weiyuansu
伪分布	weifenbu
伪分布式	weifenbushi
伪分布模式	weifenbumoshi
伪列	weilie
伪目标	weimubiao
伪类选择器	weileixuanzeqi
伪静态	weijingtai
伴生对象	banshengduixiang
似然方程	shiranfangcheng
伽马校正	gamajiaozheng
位元组	weiyuanzu
位取反	weiqufan
位域	weiyu
位平面	weipingmian
位异或	weiyihuo
位或	weihuo
位提交	weitijiao
位标识	weibiaoshi
位移传感器	weiyichuanganqi
位移动画	weiyidonghua
位置传感器	weizhichuanganqi
位置透明性	weizhitoumingxing
位运算	weiyunsuan
位运算符	weiyunsuanfu
位通道	weitongdao
位驱动	weiqudong
低功耗蓝牙	digonghaolanya
低秩矩阵	dizhijuzhen
低级格式化	dijigeshihua
低耦合	diouhe
余弦相似度	yuxianxiangsidu
作业优先级	zuoyeyouxianji
作业分割	zuoyefenge
作业分类	zuoyefenlei
作业名	zuoyeming
作业吞吐量	zuoyetuntuliang
作业控制块	zuoyekongzhikuai
作业控制语言	zuoyekongzhiyuyan
作业描述	zuoyemiaoshu
作业文件	zuoyewenjian
作业步	zuoyebu
作业流	zuoyeliu
作业目录	zuoyemulu
作业表	zuoyebiao
作业说明	zuoyeshuoming
作业调度	zuoyediaodu
作业队列	zuoyeduilie
作用域解析	zuoyongyujiexi
作用域链	zuoyongyulian
使用例子	shiyonglizi
使用场景	shiyongchangjing
使用帮助	shiyongbangzhu
使用教程	shiyongjiaocheng
使用方	shiyongfang
使用细节	shiyongxijie
使用记录	shiyongjilu
使用说明	shiyongshuoming
供应链管理	gongyinglianguanli
依存关系树	yicunguanxishu
依存结构	yicunjiegou
依存语法	yicunyufa
依赖保持	yilaibaochi
依赖倒置	yilaidaozhi
依赖倒置原则	yilaidaozhiyuanze
依赖倒转原则	yilaidaozhuanyuanze
依赖关系	yilaiguanxi
依赖函数	yilaihanshu
依赖包	yilaibao
依赖库	yilaiku
依赖方	yilaifang
依赖注入	yilaizhuru
依赖管理	yilaiguanli
侧抑制	ceyizhi
侧拉菜单	celacaidan
侧滑删除	cehuashanchu
侧滑栏	cehualan
侧滑菜单	cehuacaidan
侧边栏	cebianlan
便利构造器	bianligouzaoqi
便捷使用	bianjieshiyong
便携式计算机	bianxieshijisuanji
俄罗斯方块	eluosifangkuai
保存区	baocunqu
保存图片	baocuntupian
保存当前表单	baocundangqianbiaodan
保存数据	baocunshuju
保存文件	baocunwenjian
保存更改	baocungenggai
保存状态	baocunzhuangtai
保存网页	baocunwangye
保留两位小数	baoliuliangweixiaoshu
保留内存	baoliuneicun
保留小数	baoliuxiaoshu
保留小数位数	baoliuxiaoshuweishu
保研机试	baoyanjishi
信任列表	xinrenliebiao
信任链	xinrenlian
信元头	xinyuantou
信号与槽	xinhaoyucao
信号传输	xinhaochuanshu
信号和槽	xinhaohecao
信号完整性	xinhaowanzhengxing
信号操作	xinhaocaozuo
信号槽	xinhaocao
信号源阻抗	xinhaoyuanzukang
信号重构	xinhaozhonggou
信息主体	xinxizhuti
信息主管	xinxizhuguan
信息保存	xinxibaocun
信息分类	xinxifenlei
信息加密	xinxijiami
信息协议	xinxixieyi
信息发布	xinxifabu
信息增益	xinxizengyi
信息处理语言	xinxichuliyuyan
信息字段	xinxiziduan
信息学竞赛	xinxixuejingsai
信息技术基础	xinxijishujichu
信息摘要算法	xinxizhaiyaosuanfa
信息无障碍	xinxiwuzhangai
信息服务器	xinxifuwuqi
信息架构	xinxijiagou
信息模型	xinximoxing
信息流模型	xinxiliumoxing
信息浏览	xinxiliulan
信息浏览服务	xinxiliulanfuwu
信息点播	xinxidianbo
信息空间	xinxikongjian
信息竞赛	xinxijingsai
信息编码	xinxibianma
信息读取	xinxiduqu
信息资源	xinxiziyuan
信息采集	xinxicaiji
信息隐藏	xinxiyincang
信用评分	xinyongpingfen
修复脚本	xiufujiaoben
修改全局设置	xiugaiquanjushezhi
修改包名	xiugaibaoming
修改字体	xiugaiziti
修改字段	xiugaiziduan
修改密码	xiugaimima
修改文件	xiugaiwenjian
修改时间	xiugaishijian
修改检测	xiugaijiance
修改项目名称	xiugaixiangmumingcheng
修理时间	xiulishijian
倍增算法	beizengsuanfa
倒排索引	daopaisuoyin
候选解	houxuanjie
值传	zhichuan
值传递	zhichuandi
值对象	zhiduixiang
值栈	zhizhan
值类型	zhileixing
值调用	zhidiaoyong
假冒攻击	jiamaogongji
假脱机	jiatuoji
假脱机文件	jiatuojiwenjian
假脱机系统	jiatuojixitong
假言推理	jiayantuili
假设验证	jiasheyanzheng
偏函数	pianhanshu
偏好设置	pianhaoshezhi
偏差控制	pianchakongzhi
偏微分方程	pianweifenfangcheng
偏最小二乘	pianzuixiaoercheng
偏特化	piantehua
做实验	zuoshiyan
停止信号	tingzhixinhao
停止线程	tingzhixiancheng
停靠窗口	tingkaochuangkou
偶发故障	oufaguzhang
偶数场	oushuchang
偶数扫描	oushusaomiao
偶检验	oujianyan
傅立叶变换	fuliyebianhuan
傅里叶变换	fuliyebianhuan
傅里叶描述子	fuliyemiaoshuzi
傅里叶级数	fuliyejishu
傲游浏览器	aoyouliulanqi
僵尸网络	jiangshiwangluo
僵尸进程	jiangshijincheng
僵死进程	jiangsijincheng
允许中断	yunxuzhongduan
元信令	yuanxinling
元数据	yuanshuju
元数据库	yuanshujuku
元数据驱动	yuanshujuqudong
元文件	yuanwenjian
元模型	yuanmoxing
元注解	yuanzhujie
元素定位	yuansudingwei
元素节点	yuansujiedian
元组关系演算	yuanzuguanxiyansuan
元表	yuanbiao
元语法	yuanyufa
兄弟连	xiongdilian
先入先出队列	xianruxianchuduilie
先序	xianxu
先序遍历	xianxubianli
先来先服务	xianlaixianfuwu
先进控制	xianjinkongzhi
先进操作系统	xianjincaozuoxitong
光存储器	guangcunchuqi
光栅化	guangshanhua
光栅显示	guangshanxianshi
光流	guangliu
光流场	guangliuchang
光流法	guangliufa
