# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
筆記型電腦	bijixingdiannao
文明系列	wenmingxilie
正则语言	zhengzeyuyan
王氏砖	wangshizhuan
中文房间	zhongwenfangjian
置信域方法	zhixinyufangfa
时空权衡	shikongquanheng
数据驱动编程	shujuqudongbiancheng
分解	fenjie
石川图	shichuantu
宣告式編程	xuangaoshibiancheng
侯世达定律	houshidadinglv
卡尔多改进	kaerduogaijin
行程控制表	xingchengkongzhibiao
工業電腦	gongyediannao
面向堆栈编程	mianxiangduizhanbiancheng
危害分析	weihaifenxi
翟成祥	dichengxiang
極化碼	jihuama
信息抽取	xinxichouqu
关联数组	guanlianshuzu
渲染	xuanran
肽運算	taiyunsuan
对称多处理	duichengduochuli
施图姆定理	shitumudingli
差分进化算法	chafenjinhuasuanfa
候鳥無人機	houniaowurenji
编译原理	bianyiyuanli
抽象化	chouxianghua
自避行走	zibixingzou
強弱型別	qiangruoxingbie
遙控飛機	yaokongfeiji
采样定理	caiyangdingli
地理数据文件	dilishujuwenjian
十六进制转储	shiliujinzhizhuanchu
斐波那契堆	feibonaqidui
程式語言理論	chengshiyuyanlilun
神經塵	shenjingchen
勇者特急隊	yongzhetejidui
色彩单元压缩	secaidanyuanyasuo
幽灵漏洞	youlingloudong
乘法算法	chengfasuanfa
程序设计实践	chengxushejishijian
机械电子学	jixiedianzixue
能级	nengji
計算神經科學	jisuanshenjingkexue
領域	lingyu
腾讯元宝	tengxunyuanbao
離散微積分	lisanweijifen
韦尔莱表	weierlaibiao
算法	suanfa
场景图	changjingtu
晶體管數量	jingtiguanshuliang
离散对数	lisanduishu
機械手臂	jixieshoubi
超執行緒	chaozhixingxu
除法器	chufaqi
黑客松	heikesong
背包问题	beibaowenti
知识库	zhishiku
深度求索	shenduqiusuo
模式识别	moshishibie
量子四位元	liangzisiweiyuan
化学数据库	huaxueshujuku
網宇實體系統	wangyushitixitong
泛型编程	fanxingbiancheng
封闭世界假定	fengbishijiejiading
在线评测系统	zaixianpingcexitong
验证码	yanzhengma
參數	canshu
最右	zuiyou
聊天機器人	liaotianjiqiren
循环链表	xunhuanlianbiao
自主水下載具	zizhushuixiazaiju
演算法治理	yansuanfazhili
数据挖掘	shujuwajue
名字修饰	mingzixiushi
非计算	feijisuan
帕累托效率	paleituoxiaolv
我形我速	woxingwosu
非确定性编程	feiquedingxingbiancheng
无机杀手	wujishashou
云听	yunting
密码学	mimaxue
可缩放性	kesuofangxing
内联函数	neilianhanshu
常數	changshu
异或链表	yihuolianbiao
自修改代码	zixiugaidaima
系統程式設計	xitongchengshisheji
駝峰式大小寫	tuofengshidaxiaoxie
智能运维	zhinengyunwei
算法设计	suanfasheji
內容管理	neirongguanli
本体工程	bentigongcheng
文本編碼規範	wenbenbianmaguifan
通粹纠缠度	tongcuijiuchandu
计算机教育	jisuanjijiaoyu
高斯轨道	gaosiguidao
数据流程图	shujuliuchengtu
虚拟偶像	xuniouxiang
语义学者	yuyixuezhe
结构化编程	jiegouhuabiancheng
老鼠流	laoshuliu
化学信息学	huaxuexinxixue
数据结构对齐	shujujiegouduiqi
数据传输对象	shujuchuanshuduixiang
謝青	xieqing
小教授一号	xiaojiaoshouyihao
类型论	leixinglun
极值	jizhi
自动跟随技术	zidonggensuijishu
服务器	fuwuqi
工厂	gongchang
可变参数模板	kebiancanshumoban
互斥锁	huchisuo
迭代法	diedaifa
材质贴图	caizhitietu
校對	xiaodui
人腦計畫	rennaojihua
涌现	yongxian
气候门	qihoumen
系统请求	xitongqingqiu
磁共振成像	cigongzhenchengxiang
司马贺	simahe
目标导向设计	mubiaodaoxiangsheji
自動車牌辨識	zidongchepaibianshi
信息论	xinxilun
分組碼	fenzuma
连续优化	lianxuyouhua
地理視覺化	dilishijuehua
機率圖靈機	jilvtulingji
文档分类	wendangfenlei
冒险指针	maoxianzhizhen
记录管理系统	jiluguanlixitong
数据访问层	shujufangwenceng
推理机	tuiliji
前置碼	qianzhima
功能固着	gongnengguzhe
皮亚诺公理	piyanuogongli
开箱体验	kaixiangtiyan
将芯比心	jiangxinbixin
恶意软件	eyiruanjian
熔毁	ronghui
人机交互	renjijiaohu
李距离	lijuli
并行排序	bingxingpaixu
数值线性代数	shuzhixianxingdaishu
檢索增強生成	jiansuozengqiangshengcheng
先决条件	xianjuetiaojian
类库	leiku
哥德爾機	gedeerji
敵友識別系統	diyoushibiexitong
基本解方法	jibenjiefangfa
飛馬	feima
接口隔离原则	jiekougeliyuanze
如流	ruliu
機器人理財	jiqirenlicai
服務包	fuwubao
松耦合	songouhe
人工智能法案	rengongzhinengfaan
量子三位元	liangzisanweiyuan
符號人工智能	fuhaorengongzhineng
黑客帝国	heikediguo
雷神无人机	leishenwurenji
跨站请求伪造	kuazhanqingqiuweizao
脫稿玩家	tuogaowanjia
信息冗余	xinxirongyu
电脑象棋	diannaoxiangqi
应用性能管理	yingyongxingnengguanli
片上光网络	pianshangguangwangluo
反汇编器	fanhuibianqi
小黄鸭调试法	xiaohuangyadiaoshifa
自动机编程	zidongjibiancheng
謂詞	weici
晶晨半导体	jingchenbandaoti
可移动计算机	keyidongjisuanji
委托	weituo
系统调用	xitongdiaoyong
黑板	heiban
并发控制	bingfakongzhi
光学字符识别	guangxuezifushibie
负责任的披露	fuzerendepilu
奪旗	duoqi
香港中文大學	xianggangzhongwendaxue
聰明子彈	congmingzidan
優先佇列	youxianzhulie
初始化	chushihua
量子閘	liangzizha
資訊工程學系	zixungongchengxuexi
软件包	ruanjianbao
量子纠错	liangzijiucuo
通透性	tongtouxing
并行减速	bingxingjiansu
體力激盪	tilijidang
网络处理器	wangluochuliqi
熵	shang
小样本学习	xiaoyangbenxuexi
执行时间	zhixingshijian
資訊科技監管	zixunkejijianguan
算子	suanzi
有限状态机	youxianzhuangtaiji
韩家炜	hanjiawei
達摩院	damoyuan
分析癱瘓	fenxitanhuan
智慧港口	zhihuigangkou
字节码	zijiema
网页浏览器	wangyeliulanqi
翻譯	fanyi
黃鼠狼程式	huangshulangchengshi
堆積	duiji
哈希表	haxibiao
王晓峰	wangxiaofeng
衛星曆書	weixinglishu
我的全像情人	wodequanxiangqingren
合成智能	hechengzhineng
色调映射	sediaoyingshe
绝密飞行	juemifeixing
戰鬥妖精雪風	zhandouyaojingxuefeng
霍尼韦尔	huoniweier
网孔连接	wangkonglianjie
法則學派	fazexuepai
自由软件目录	ziyouruanjianmulu
低空經濟	dikongjingji
國家獎	guojiajiang
可计算性	kejisuanxing
量子壓縮	liangziyasuo
接口描述语言	jiekoumiaoshuyuyan
应答机	yingdaji
云机器人	yunjiqiren
蓝绿部署	lanlvbushu
存取控制矩陣	cunqukongzhijuzhen
访问局部性	fangwenjubuxing
短路求值	duanluqiuzhi
李飛飛	lifeifei
修補程式	xiubuchengshi
鰩魚無人機	yaoyuwurenji
最小描述長度	zuixiaomiaoshuzhangdu
資料竄改	ziliaocuangai
酷我音乐	kuwoyinle
常识知识库	changshizhishiku
格子气自动机	geziqizidongji
意向性	yixiangxing
混沌理论	hundunlilun
整型提升	zhengxingtisheng
斐波那契编码	feibonaqibianma
軟體定義汽車	ruantidingyiqiche
试用软件	shiyongruanjian
灾难性抵消	zainanxingdixiao
殺傷鏈	shashanglian
命名空间	mingmingkongjian
分子力学	fenzilixue
优先级继承	youxianjijicheng
化学标记语言	huaxuebiaojiyuyan
语言结构	yuyanjiegou
調控回授網路	diaokonghuishouwanglu
奇偶校验位	qiouxiaoyanwei
