# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
熱塑性彈性體	resuxingdanxingti
脊髓空洞症	jisuikongdongzheng
罗卡定律	luokadinglv
男性的性	nanxingdexing
矯正鞋	jiaozhengxie
克果納傑氏症	keguonajieshizheng
渐进性坏死	jianjinxinghuaisi
電療	dianliao
腸道閉鎖	changdaobisuo
肛门滞留人格	gangmenzhiliurenge
恐懼管理理論	kongjuguanlililun
森沙夫定	senshafuding
黄热病	huangrebing
观察等待	guanchadengdai
大夫	dafu
肛瘘	ganglou
意大利衛生部	yidaliweishengbu
全氟溴烷	quanfuxiuwan
體外膜氧合	tiwaimoyanghe
卸骨术	xiegushu
嬰兒猝死症	yingercusizheng
理學檢查	lixuejiancha
寄藥包	jiyaobao
天六地五	tianliudiwu
施弗拉和普阿	shifulahepua
校正回归	xiaozhenghuigui
黑肺病	heifeibing
年輕血液輸入	nianqingxueyeshuru
忖度服从	cundufucong
暗黑檔案	anheidangan
維塔立合金	weitalihejin
致命创伤	zhimingchuangshang
鼻疳	bigan
良性	liangxing
梅核气	meiheqi
藥物設計	yaowusheji
脑梗死	naogengsi
庆大霉素	qingdameisu
组织学	zuzhixue
伽瑪衰變	gamashuaibian
鼻骨	bigu
佔位效應	zhanweixiaoying
醫用活性碳	yiyonghuoxingtan
会聚不足	huijubuzu
賽克勒家族	saikeleijiazu
经络	jingluo
中国药理学会	zhongguoyaolixuehui
着骨点	zhegudian
護理醫師	huliyishi
二甲基苯丙胺	erjiajibenbingan
血胸	xuexiong
體位	tiwei
除蟲菊精類	chuchongjujinglei
膀胱癌	bangguangai
行气玉佩铭	xingqiyupeiming
降落伞技术	jiangluosanjishu
牙釉質	yayouzhi
關節注射	guanjiezhushe
被忽视热带病	beihushiredaibing
功能性滅絕	gongnengxingmiejue
子宮乏力	zigongfali
禾髎穴	heliaoxue
早發性射精	zaofaxingshejing
流鼻血	liubixue
急诊室	jizhenshi
掌骨	zhanggu
方軛骨	fangegu
經肚臍隆乳術	jingduqilongrushu
先天性肌强直	xiantianxingjiqiangzhi
主任醫師	zhurenyishi
死亡骗局	siwangpianju
水中毒	shuizhongdu
抗荷服	kanghefu
徐长卿	xuzhangqing
鐵閃石	tieshanshi
医学诊断证明	yixuezhenduanzhengming
化學灼傷	huaxuezhuoshang
埃可病毒	aikebingdu
风温	fengwen
毛霉菌病	maomeijunbing
调节反射	diaojiefanshe
水平思考	shuipingsikao
伐昔洛韦	faxiluowei
婴儿营养	yingeryingyang
呼吸道感染	huxidaoganran
尤文氏肉瘤	youwenshirouliu
入珠	ruzhu
腮耳腎症候群	saiershenzhenghouqun
屍控	shikong
涼茶舖	liangchapu
牙本質	yabenzhi
眼球缺损	yanqiuquesun
認知缺陷	renzhiquexian
祝由十三科	zhuyoushisanke
一貫道	yiguandao
鼻中隔	bizhongge
肾绞痛	shenjiaotong
跗跖骨	fuzhigu
通用名药物	tongyongmingyaowu
粉红丝带	fenhongsidai
核心抗原	hexinkangyuan
醫學共識	yixuegongshi
王江滨	wangjiangbin
遗传咨询	yichuanzixun
人体模型	rentimoxing
创伤学	chuangshangxue
瘘	lou
愛迪生氏病	aidishengshibing
髋骨	kuangu
道教	daojiao
動靜脈畸形	dongjingmaijixing
运动协调	yundongxiediao
洪章仁	hongzhangren
假性近视	jiaxingjinshi
库瓦西耶征	kuwaxiyezheng
靜坐	jingzuo
遺書	yishu
肝	gan
腦腱性黃瘤症	naojianxinghuangliuzheng
中兽医学	zhongshouyixue
小翼羽	xiaoyiyu
產假與育嬰假	chanjiayuyuyingjia
心包填塞	xinbaotiansai
兽医	shouyi
海正药业	haizhengyaoye
貓慢性腎臟病	maomanxingshenzangbing
心理定势	xinlidingshi
生物医学	shengwuyixue
飲彈	yindan
學者症候群	xuezhezhenghouqun
元亨疗马集	yuanhengliaomaji
里急后重	lijihouzhong
狗洞	goudong
锤骨	chuigu
生命冲力	shengmingchongli
目系	muxi
結合型疫苗	jiehexingyimiao
暫時性滑膜炎	zanshixinghuamoyan
小儿鬼	xiaoergui
瘟疫	wenyi
軀體化	qutihua
中信惠州医院	zhongxinhuizhouyiyuan
脫氫抗壞血酸	tuoqingkanghuaixuesuan
氧气中毒	yangqizhongdu
平均動脈壓	pingjundongmaiya
头孢噻呋	toubaosaifu
露天排便	lutianpaibian
類鼻疽	leibiju
醫學物理	yixuewuli
高熱	gaore
污垢	wugou
去滅絕	qumiejue
核酸檢測	hesuanjiance
婦產科學	fuchankexue
成骨不全症	chenggubuquanzheng
溫泉魚療	wenquanyuliao
夜間陰莖勃起	yejianyinjingboqi
腦磁波儀	naociboyi
病理解剖學	binglijiepouxue
多環胺類	duohuananlei
纳米医学	namiyixue
親愛的生命	qinaideshengming
地西他滨	dixitabin
人类阴茎尺寸	renleiyinjingchicun
紧急避孕	jinjibiyun
韶关市中医院	shaoguanshizhongyiyuan
氯胍	lvgua
围术期	weishuqi
坐禪	zuochan
灵气疗法	lingqiliaofa
死亡威胁	siwangweixie
死亡學	siwangxue
王銘石	wangmingshi
正壓呼吸器	zhengyahuxiqi
猛毒	mengdu
性猝死	xingcusi
四烯雌酮	sixicitong
北京老年医院	beijinglaonianyiyuan
明點	mingdian
异烟肼	yiyanjing
斑痣	banzhi
生存分析	shengcunfenxi
兒童安樂死	ertonganlesi
高雪氏症	gaoxueshizheng
芍藥湯	shaoyaotang
杵臼關節	chujiuguanjie
皮克氏病	pikeshibing
兴奋剂	xingfenji
