# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
說謊者悖論	shuohuangzhebeilun
環境哲學	huanjingzhexue
努秘	numi
太谷學派	taiguxuepai
公民民族主義	gongminminzuzhuyi
一元论	yiyuanlun
宇宙学	yuzhouxue
地穴寓言	dixueyuyan
有為法	youweifa
新四民论	xinsiminlun
道	dao
例外論	liwailun
薩根標準	sagenbiaozhun
自然主義	ziranzhuyi
忒修斯之船	texiusizhichuan
感實性	ganshixing
創造力	chuangzaoli
印度教哲学	yindujiaozhexue
輔仁學派	furenxuepai
类型居留问题	leixingjuliuwenti
新唯识论	xinweishilun
物种歧视	wuzhongqishi
共同利益	gongtongliyi
風俗	fengsu
啟蒙時代	qimengshidai
極權主義	jiquanzhuyi
泛神论之争	fanshenlunzhizheng
神经多样性	shenjingduoyangxing
悲剧的诞生	beijudedansheng
長期主義	zhangqizhuyi
巧合	qiaohe
位格	weige
充分必要条件	chongfenbiyaotiaojian
德国古典哲学	deguogudianzhexue
權力	quanli
鍾泰	zhongtai
真理符應論	zhenlifuyinglun
宗教现象学	zongjiaoxianxiangxue
房中术	fangzhongshu
黑名單	heimingdan
奧古斯丁主義	aogusidingzhuyi
意外绞刑悖论	yiwaijiaoxingbeilun
系統思維	xitongsiwei
新人	xinren
參與式政治	canyushizhengzhi
超对称	chaoduicheng
兩難	liangnan
承諾	chengnuo
地理哲學	dilizhexue
類本質論	leibenzhilun
逻辑实证主义	luojishizhengzhuyi
乌班图	wubantu
怀疑	huaiyi
主权国家列表	zhuquanguojialiebiao
圣西门主义	shengximenzhuyi
共识现实	gongshixianshi
话语	huayu
塞內卡	saineika
责任	zeren
季蒂昂的芝诺	jidiangdezhinuo
自由主义	ziyouzhuyi
例外状态	liwaizhuangtai
动因因果关系	dongyinyinguoguanxi
不充分決定論	buchongfenjuedinglun
公司王国	gongsiwangguo
太玄	taixuan
道德律令	daodelvling
教父哲學	jiaofuzhexue
評論家	pinglunjia
人生四要	renshengsiyao
全能悖論	quannengbeilun
新民主义	xinminzhuyi
柏拉圖實在論	bailatushizailun
情色性	qingsexing
非是非非	feishifeifei
关怀伦理学	guanhuailunlixue
殘疾歧視	canjiqishi
主体	zhuti
信仰骑士	xinyangqishi
文字	wenzi
總觀效應	zongguanxiaoying
过程性知识	guochengxingzhishi
功利主義	gonglizhuyi
知情同意	zhiqingtongyi
历史认识论	lishirenshilun
結果主義	jieguozhuyi
中立	zhongli
人性向善論	renxingxiangshanlun
地方主義	difangzhuyi
符號域	fuhaoyu
魅力	meili
因果关系	yinguoguanxi
哲学的慰藉	zhexuedeweiji
左派和右派	zuopaiheyoupai
古典元素	gudianyuansu
批判现实主义	pipanxianshizhuyi
模態代數	motaidaishu
先锋队理论	xianfengduililun
阿那克西美尼	anakeximeini
可測試性	keceshixing
东西方二分法	dongxifangerfenfa
