# 泰深输入法专业词库 — 饮食
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
保定府三件宝	baodingfusanjianbao
保德油枣	baodeyouzao
保德碗托	baodewantuo
信远斋酸梅汤	xinyuanzhaisuanmeitang
信阳板鸭	xinyangbanya
信阳毛尖	xinyangmaojian
信阳毛尖茶	xinyangmaojiancha
修水双井茶	xiushuishuangjingcha
倍半碳酸钠	beibantansuanna
倒巴	daoba
倭井潭硬糕	wojingtanyinggao
偏酒石酸	pianjiushisuan
健力	jianli
健康乐	jiankangle
健美茶	jianmeicha
偶氮玉红	oudanyuhong
元宝酥	yuanbaosu
光村沙虫	guangcunshachong
克东腐乳	kedongfuru
克瓦斯	kewasi
兔头煲	tutoubao
兔耳草醛	tuercaoquan
兔肉炖鸡脚	turoudunjijiao
兔肝鸡蛋汤	tuganjidantang
兔脯	tupu
党参麦冬瘦肉汤	dangshenmaidongshouroutang
党参黄芪炖鸡汤	dangshenhuangqidunjitang
兢山泉	jingshanquan
全家富	quanjiafu
全羊汤锅	quanyangtangguo
全麦芽啤酒	quanmaiyapijiu
八仙瑶池聚会	baxianyaochijuhui
八仙粉	baxianfen
八仙茶	baxiancha
八仙过海闹罗汉	baxianguohainaoluohan
八代鱼	badaiyu
八公山豆腐	bagongshandoufu
八公山雪月银球	bagongshanxueyueyinqiu
八卦鱼肚	baguayudu
八块鸡	bakuaiji
八宝兔丁	babaotuding
八宝壶	babaohu
八宝桂鱼	babaoguiyu
八宝梨罐	babaoliguan
八宝榛子酱	babaozhenzijiang
八宝油糕	babaoyougao
八宝炒年糕	babaochaoniangao
八宝甜粽	babaotianzong
八宝甲鱼	babaojiayu
八宝百合	babaobaihe
八宝糯米鸡	babaonuomiji
八宝肉辣子	babaoroulazi
八宝膳粥	babaoshanzhou
八宝茶汤	babaochatang
八宝菠菜	babaobocai
八宝葫芦鸡	babaohuluji
八宝蛋炸食	babaodanzhashi
八宝蜜食	babaomishi
八宝野鸭	babaoyeya
八宝银耳羹	babaoyinergeng
八宝青蟹饭	babaoqingxiefan
八宝鸡	babaoji
八宝鸭	babaoya
八宝鸭羹	babaoyageng
八宝黑米粥	babaoheimizhou
八批果子	bapiguozi
八步红瓜子	babuhongguazi
八王寺汽水	bawangsiqishui
八珍月饼	bazhenyuebing
八珍糕	bazhengao
八珍羹	bazhengeng
八生火锅	bashenghuoguo
八角茴香油	bajiaohuixiangyou
公爵樱桃	gongjueyingtao
六偏磷酸钠	liupianlinsuanna
六合牛脯	liuheniupu
六味斋酱肉	liuweizhaijiangrou
六堡茶	liubaocha
六安瓜片茶	luanguapiancha
六安篮茶	luanlancha
六安酱鸭	luanjiangya
六必居酱园	liubijujiangyuan
六必居酱菜	liubijujiangcai
六曲香	liuquxiang
六月鲜	liuyuexian
兰州烤羊肉	lanzhoukaoyangrou
兰州牛肉面	lanzhouniuroumian
兰度鸽脯	landugepu
兰花大虾	lanhuadaxia
兰花春笋	lanhuachunsun
兰花根	lanhuagen
兰花茶	lanhuacha
兰花豆干	lanhuadougan
兰花金钱酿发菜	lanhuajinqianniangfacai
