# 泰深输入法专业词库 — 历史名人
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一真	yizhen
刘雨卿	liuyuqing
刘雪庵	liuxuean
刘震	liuzhen
刘震东	liuzhendong
刘青藜	liuqingli
刘青青	liuqingqing
刘静波	liujingbo
刘静钰	liujingyu
刘韧	liuren
刘颂	liusong
刘颖	liuying
刘馥	liufu
刘骏	liujun
刘骜	liuao
刘鸿恩	liuhongen
刘鹏云	liupengyun
刘鹗	liue
刘麟瑞	liulinrui
刘齐	liuqi
刘龙田	liulongtian
刚秋英	gangqiuying
利城	licheng
利智	lizhi
别尔嘉耶夫	bieerjiayefu
别拉诺夫	bielanuofu
前川清	qianchuanqing
前田亚季	qiantianyaji
前田刚	qiantiangang
前田庆次	qiantianqingci
前田敦子	qiantiandunzi
前田有纪	qiantianyouji
前田爱	qiantianai
剔成	ticheng
加护亚依	jiahuyayi
加斯奎特	jiasikuite
加林查	jialincha
加滕	jiateng
加濑亮	jialailiang
加菲尔德	jiafeierde
加藤夏希	jiatengxiaxi
加藤惠	jiatenghui
加藤正夫	jiatengzhengfu
加藤清正	jiatengqingzheng
加藤登纪子	jiatengdengjizi
加藤绫子	jiatenglingzi
加藤罗莎	jiatengluosha
加藤英美里	jiatengyingmeili
加藤达也	jiatengdaye
加藤雅也	jiatengyaye
励守谦	lishouqian
励宗万	lizongwan
劳乃宣	laonaixuan
劳之辨	laozhibian
劳史	laoshi
劳干	laogan
劳德鲁普	laodelupu
劳拉	laola
劳春燕	laochunyan
劳权	laoquan
勃劳希契	bolaoxiqi
勒夏特列	leixiatelie
勒普	leipu
包冉	baoran
化方	huafang
北乃纪伊	beinaijiyi
北原里英	beiyuanliying
北山宏光	beishanhongguang
北岛三郎	beidaosanlang
北川景子	beichuanjingzi
北村一辉	beicunyihui
匡斌	kuangbin
匡衡	kuangheng
区大相	qudaxiang
千叶彻弥	qianyechemi
千叶真一	qianyezhenyi
千叶繁	qianyefan
千寻	qianxun
半野喜弘	banyexihong
华之鸿	huazhihong
华允诚	huayuncheng
华坚	huajian
华学明	huaxueming
华察	huacha
华岱	huadai
华恩	huaen
华文漪	huawenyi
华栋	huadong
华核	huahe
华歆	huaxin
华沅	huayuan
华瀚	huahan
华燧	huasui
华珵	huacheng
华生	huasheng
华益慰	huayiwei
华秋苹	huaqiuping
华纯	huachun
华西列夫斯基	huaxiliefusiji
华铨	huaquan
华雄	huaxiong
华黎明	hualiming
卑弥呼	beimihu
卓琳	zhuolin
卓秉恬	zhuobingtian
单之蔷	danzhiqiang
单士兵	danshibing
单大伟	dandawei
单宇	danyu
单希征	danxizheng
单炜	danwei
单父	danfu
单霞丽	danxiali
南佳也	nanjiaye
南宫民	nangongmin
南庚	nangeng
南弘	nanhong
南明奈	nanmingnai
南海道	nanhaidao
博克	boke
博县	boxian
博子	bozi
博巴	boba
博平	boping
博斯曼	bosiman
博明	boming
博比	bobi
博涅克	bonieke
博诺	bonuo
卜凤波	bofengbo
卞喜	bianxi
卞永誉	bianyongyu
卞秉彬	bianbingbin
占西女王	zhanxinvwang
卡尔马克思	kaermakesi
卡尼吉亚	kanijiya
卡森	kasen
卡雷卡	kaleika
卢世昌	lushichang
卢仝	lutong
卢伦	lulun
卢冬生	ludongsheng
卢南樵	lunanqiao
卢同	lutong
卢周来	luzhoulai
卢宇光	luyuguang
卢广伟	luguangwei
卢循	luxun
卢志	luzhi
卢志强	luzhiqiang
卢怀慎	luhuaishen
卢植	luzhi
卢正雨	luzhengyu
卢求	luqiu
