# 泰深输入法专业词库 — 财经金融
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一德	yide
外汇管理	waihuiguanli
外汇资产	waihuizichan
外高	waigao
多伦股份	duolungufen
多佳	duojia
多氟多	duofuduo
大东南	dadongnan
大中华集团	dazhonghuajituan
大中型企业	dazhongxingqiye
大众投资	dazhongtouzi
大众理财顾问	dazhonglicaiguwen
大冶特钢	dayetegang
大北农	dabeinong
大华农	dahuanong
大华股份	dahuagufen
大富科技	dafukeji
大庆华科	daqinghuake
大摩	damo
大智慧	dazhihui
大有期货	dayouqihuo
大盈	daying
大莱卡	dalaika
大行情	dahangqing
大资金	dazijin
大银行	dayinhang
大降	dajiang
天仪	tianyi
天伦置业	tianlunzhiye
天利高新	tianligaoxin
天原集团	tianyuanjituan
天合光能	tianheguangneng
天喻信息	tianyuxinxi
天富热电	tianfuredian
天广消防	tianguangxiaofang
天弘	tianhong
天弘丰利	tianhongfengli
天弘永定	tianhongyongding
天桥百货	tianqiaobaihuo
天治双盈	tianzhishuangying
天津普林	tianjinpulin
天津松江	tianjinsongjiang
天津海运	tianjinhaiyun
天润曲轴	tianrunquzhou
天源迪科	tianyuandike
天目药	tianmuyao
天目药业	tianmuyaoye
天虹商场	tianhongshangchang
天香	tianxiang
天马精化	tianmajinghua
天马股份	tianmagufen
天鸿	tianhong
天鸿宝业	tianhongbaoye
天龙光电	tianlongguangdian
天龙集团	tianlongjituan
太光	taiguang
太光电信	taiguangdianxin
央企	yangqi
奕达	yida
奖励费	jianglifei
奥克股份	aokegufen
奥普光电	aopuguangdian
奥维通信	aoweitongxin
奥运卡	aoyunka
奥飞动漫	aofeidongman
委托单	weituodan
威尔泰	weiertai
威胜集团	weishengjituan
存定期	cundingqi
存款保险制度	cunkuanbaoxianzhidu
宁夏恒力	ningxiahengli
宁天龙	ningtianlong
宁波富邦	ningbofubang
宁波银行	ningboyinhang
宁波韵升	ningboyunsheng
宇信易诚	yuxinyicheng
安信信托	anxinxintuo
安全度	anquandu
安全管理	anquanguanli
安全边际	anquanbianji
安凯客车	ankaikeche
安居宝	anjubao
安彩	ancai
安永	anyong
安泰科技	antaikeji
安泰集团	antaijituan
安纳达	annada
安联集团	anlianjituan
完税证	wanshuizheng
完美世界	wanmeishijie
宏业集团	hongyejituan
宏华集团	honghuajituan
宏安集团	honganjituan
宏峰	hongfeng
宏盛	hongsheng
定向增发	dingxiangzengfa
定税	dingshui
宜华	yihua
宜华地产	yihuadichan
宜华木业	yihuamuye
宝丽华	baolihua
宝信	baoxin
宝光	baoguang
宝利来	baolilai
宝姿	baozi
宝瑞通典当行	baoruitongdiandangxing
宝盈	baoying
宝莫股份	baomogufen
宝莱特	baolaite
宝诚	baocheng
宝龙地产	baolongdichan
实卡	shika
实德环球	shidehuanqiu
实施标准	shishibiaozhun
实益达	shiyida
实际公司	shijigongsi
实际控制人	shijikongzhiren
审计意见	shenjiyijian
审计结果	shenjijieguo
家润多	jiarunduo
富力地产	fulidichan
富华集团	fuhuajituan
富国天成	fuguotiancheng
富豪酒店	fuhaojiudian
对外资	duiwaizi
对账单	duizhangdan
对赌	duidu
封转开	fengzhuankai
封闭期	fengbiqi
小阳	xiaoyang
尤洛卡	youluoka
展讯	zhanxun
履约保函	lvyuebaohan
履约率	lvyuelv
山东墨龙	shandongmolong
山东如意	shandongruyi
山东威达	shandongweida
山东矿机	shandongkuangji
山东鲁阳	shandongluyang
山煤国际	shanmeiguoji
山航	shanhang
岷电	mindian
川化股份有限公司	chuanhuagufenyouxiangongsi
川大智胜	chuandazhisheng
川金路	chuanjinlu
巢东股份	chaodonggufen
工作方案	gongzuofangan
工新	gongxin
工银亚洲	gongyinyazhou
工银保本	gongyinbaoben
工银添利	gongyintianli
工银添颐	gongyintianyi
巨星科技	juxingkeji
巨潮	juchao
巨额交易	juejiaoyi
巨龙管业	julongguanye
市场体系	shichangtixi
市场供求	shichanggongqiu
常柴	changchai
常胜网	changshengwang
平值	pingzhi
平券	pingquan
平均利率	pingjunlilv
平安集团	pinganjituan
年会	nianhui
年审	nianshen
年收益	nianshouyi
广东广信	guangdongguangxin
广东星湖	guangdongxinghu
广东百灵信	guangdongbailingxin
广东科德	guangdongkede
广发华福	guangfahuafu
广发证券	guangfazhengquan
广发银行	guangfayinhang
广夏	guangxia
广宇集团	guangyujituan
广州万隆	guangzhouwanlong
广州冷机	guangzhoulengji
广州分行	guangzhoufenhang
广州国光	guangzhouguoguang
广州浪奇	guangzhoulangqi
广州珠江	guangzhouzhujiang
广汽长丰	guangqizhangfeng
广电信息	guangdianxinxi
广电运通	guangdianyuntong
广百股份	guangbaigufen
库藏股	kucanggu
康卡斯特	kangkasite
康大食品	kangdashipin
康得新	kangdexin
康盛股份	kangshenggufen
康美债	kangmeizhai
康美药业	kangmeiyaoye
康耐特	kangnaite
康菲石油	kangfeishiyou
康赛	kangsai
康达	kangda
康达尔	kangdaer
建信	jianxin
建研集团	jianyanjituan
建行卡	jianhangka
建通	jiantong
开仓	kaicang
开卡	kaika
开尔新材	kaierxincai
开放经济	kaifangjingji
张江高科	zhangjianggaoke
张裕	zhangyu
张铜	zhangtong
当代经理人	dangdaijingliren
当代金融家	dangdaijinrongjia
当期	dangqi
彩票点	caipiaodian
彼得林奇	bidelinqi
征用权	zhengyongquan
征管处	zhengguanchu
待评	daiping
律师事务所	lvshishiwusuo
徐工科技	xugongkeji
微利股	weiligu
德信集团	dexinjituan
德国安联	deguoanlian
德棉	demian
德盛增利	deshengzengli
德累斯顿银行	deleisidunyinhang
德豪润达	dehaorunda
快公司	kuaigongsi
思捷环球	sijiehuanqiu
急升	jisheng
总成交量	zongchengjiaoliang
总房价	zongfangjia
总水平	zongshuiping
总负债	zongfuzhai
恒基达鑫	hengjidaxin
恒泰大通	hengtaidatong
恒泰艾普	hengtaiaipu
恒立	hengli
惠博普	huibopu
惠天	huitian
惨绿	canlv
成功营销	chenggongyingxiao
成商集团	chengshangjituan
成都路桥	chengduluqiao
成长先锋	chengzhangxianfeng
戴尔电脑	daierdiannao
房地产评估	fangdichanpinggu
手工票	shougongpiao
打印单	dayindan
扛住	kangzhu
扩仓	kuocang
扫盘	saopan
承诺费	chengnuofei
承销额	chengxiaoe
技术条件	jishutiaojian
技术面	jishumian
把控	bakong
把握机遇	bawojiyu
投标者	toubiaozhe
投票门	toupiaomen
投资与合作	touziyuhezuo
投资协议	touzixieyi
投资参考	touzicankao
投资型	touzixing
投资学	touzixue
投资家	touzijia
投资指南	touzizhinan
投资收藏	touzishoucang
投资有道	touziyoudao
投资期	touziqi
投资组合	touzizuhe
投资者关系	touzizheguanxi
投资者教育	touzizhejiaoyu
投资量	touziliang
折子钱	zheziqian
折现率	zhexianlv
抚顺特钢	fushuntegang
抢单	qiangdan
报查	baocha
抵押合同	diyahetong
抵押率	diyalv
担保函	danbaohan
担保品	danbaopin
拆细	chaixi
拆股	chaigu
