# 泰深输入法专业词库 — meteorology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
全球預報系統	quanqiuyubaoxitong
追風計畫	zhuifengjihua
黑茶山空難	heichashankongnan
天空	tiankong
颱風艾克	taifengaike
暑熱壓力指數	shureyalizhishu
風	feng
世界气象日	shijieqixiangri
熱塔	reta
乾球温度	qianqiuwendu
灰	hui
酸雨	suanyu
大气科学	daqikexue
翻山云	fanshanyun
客舱增压	kecangzengya
歡迎回來百音	huanyinghuilaibaiyin
冰雹	bingbao
高雲	gaoyun
颱風丹尼	taifengdanni
密卷云	mijuanyun
旋风	xuanfeng
颱風貝絲	taifengbeisi
快速增强	kuaisuzengqiang
幞状云	fuzhuangyun
雷暴	leibao
慕尼黑空难	muniheikongnan
不知火	buzhihuo
晴空圖	qingkongtu
颱風麥克	taifengmaike
墨西哥灣暖流	moxigewannuanliu
光環	guanghuan
臭氧	chouyang
天象论	tianxianglun
總菌落數檢測	zongjunluoshujiance
锢囚锋	guqiufeng
水氣平流	shuiqipingliu
高壓脊	gaoyaji
雪花	xuehua
太平洋側氣候	taipingyangceqihou
颱風黛蒂	taifengdaidi
表面层	biaomianceng
熔点	rongdian
光降解	guangjiangjie
投落送	touluosong
刘家铭	liujiaming
冰釘	bingding
旋轉水槽	xuanzhuanshuicao
鈎狀回波	gouzhuanghuibo
热力学温度	relixuewendu
微氣象學	weiqixiangxue
空气簇射	kongqicushe
海洋熱含量	haiyangrehanliang
农业气象学	nongyeqixiangxue
東南季風	dongnanjifeng
升华	shenghua
液态水含量	yetaishuihanliang
天氣頻道	tianqipindao
面積密度	mianjimidu
卡納什空難	kanashenkongnan
冰核	binghe
熱帶輻合帶	redaifuhedai
物候學	wuhouxue
迎风坡	yingfengpo
海陆风	hailufeng
对流层臭氧	duiliucengchouyang
提顿斯方程	tidunsifangcheng
军山气象台	junshanqixiangtai
氣象衛星	qixiangweixing
溫度測量	wenduceliang
假日落	jiariluo
