# 泰深输入法专业词库 — 地名
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
三水湾菜场	sanshuiwancaichang
三水道	sanshuidao
三永湖	sanyonghu
三汊矶大桥	sanchajidaqiao
三江县	sanjiangxian
三江大道	sanjiangdadao
三江并流	sanjiangbingliu
三江村	sanjiangcun
三江桥	sanjiangqiao
三江桥头	sanjiangqiaotou
三江楼	sanjianglou
三江汇流	sanjianghuiliu
三江花园	sanjianghuayuan
三江路	sanjianglu
三汽公司	sanqigongsi
三河口	sanhekou
三河口乡	sanhekouxiang
三河坝乡	sanhebaxiang
三河尖乡	sanhejianxiang
三河马场	sanhemachang
三沿	sanyan
三泉路	sanquanlu
三泰街	santaijie
三洋村	sanyangcun
三洞桥街道	sandongqiaojiedao
三洪奇	sanhongqi
三洲	sanzhou
三洲山村	sanzhoushancun
三洲市场	sanzhoushichang
三洲村	sanzhoucun
三洲驿街道	sanzhouyijiedao
三浃	sanjia
三清观	sanqingguan
三渡	sandu
三渡水	sandushui
三游洞	sanyoudong
三湖村	sanhucun
三湘海尚花园	sanxianghaishanghuayuan
三湾村	sanwancun
三源村	sanyuancun
三源胡同	sanyuanhutong
三溪村	sanxicun
三溪水	sanxishui
三溪水库	sanxishuiku
三潭路	santanlu
三灶	sanzao
三灶医院	sanzaoyiyuan
三灶街	sanzaojie
三灶车站	sanzaochezhan
三炷香	sanzhuxiang
三点金	sandianjin
三烈乡	sanliexiang
三牌楼	sanpailou
三猛乡	sanmengxiang
三王庄村	sanwangzhuangcun
三王庙	sanwangmiao
三王村	sanwangcun
三王街	sanwangjie
三环公司	sanhuangongsi
三环新城英和医院	sanhuanxinchengyingheyiyuan
三环路口	sanhuanlukou
三环路蓝天立交桥	sanhuanlulantianlijiaoqiao
三班村	sanbancun
三电厂	sandianchang
三画	sanhua
三疗社区	sanliaoshequ
三白山村	sanbaishancun
三益公司	sanyigongsi
三眼井胡同	sanyanjinghutong
三眼桥	sanyanqiao
三眼桥街道	sanyanqiaojiedao
三码头	sanmatou
三福	sanfu
三福庄	sanfuzhuang
三秀路	sanxiulu
三窑	sanyao
三级站	sanjizhan
三经街	sanjingjie
三经路	sanjinglu
三给村	sangeicun
三维桥	sanweiqiao
三联村	sanliancun
三股泉村	sanguquancun
三芝乡	sanzhixiang
三花石乡	sanhuashixiang
三苏木乡	sansumuxiang
三营宿舍	sanyingsushe
三营盘	sanyingpan
三营门	sanyingmen
三营门南	sanyingmennan
三营门社区	sanyingmenshequ
三街坊	sanjiefang
三街小学	sanjiexiaoxue
三角井	sanjiaojing
三角地第一社区	sanjiaodidiyishequ
三角地第二社区	sanjiaodidiershequ
三角场	sanjiaochang
三角坑	sanjiaokeng
三角坝	sanjiaoba
三角埔	sanjiaopu
三角埕	sanjiaocheng
三角塘	sanjiaotang
三角山	sanjiaoshan
三角巷口	sanjiaoxiangkou
三角桥	sanjiaoqiao
三角池	sanjiaochi
三角湖	sanjiaohu
三角窝	sanjiaowo
三角花园	sanjiaohuayuan
三角道	sanjiaodao
三角门	sanjiaomen
三解	sanjie
三贵街	sanguijie
三路口	sanlukou
三路居	sanluju
三路居社区	sanlujushequ
三路里镇	sanlulizhen
三连点	sanliandian
三道关	sandaoguan
三道堰	sandaoyan
三道岭	sandaoling
三道岭矿区	sandaolingkuangqu
三道川乡	sandaochuanxiang
三道拐	sandaoguai
三道栅栏	sandaozhalan
三道栅栏胡同	sandaozhalanhutong
三道桥	sandaoqiao
三道桥镇	sandaoqiaozhen
三道沟村	sandaogoucun
三郎桥	sanlangqiao
三里亭	sanliting
三里亭小区	sanlitingxiaoqu
三里亭村	sanlitingcun
三里垅	sanlilong
三里墩	sanlidun
三里庄	sanlizhuang
三里店	sanlidian
三里店大圆盘	sanlidiandayuanpan
