# 泰深输入法专业词库 — 成语
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
狭路相逢勇者胜	xialuxiangfengyongzhesheng
狮子大开口	shizidakaikou
玉不琢不成器	yubuzuobuchengqi
玫瑰人生	meiguirensheng
玲珑小巧	linglongxiaoqiao
琴瑟和谐	qinsehexie
甘之若饴	ganzhiruoyi
生于忧患死于安乐	shengyuyouhuansiyuanle
生存技能	shengcunjineng
生米做成熟饭	shengmizuochengshufan
田连阡陌	tianlianqianmo
男儿膝下有黄金	nanerxixiayouhuangjin
男大当婚女大当嫁	nandadanghunnvdadangjia
疲乏不堪	pifabukan
病来如山倒	binglairushandao
瘦死的骆驼比马大	shousideluotuobimada
白刀子进红刀子出	baidaozijinhongdaozichu
白发人送黑发人	baifarensongheifaren
白沙在涅	baishazainie
白首偕老	baishouxielao
白首方悔读书迟	baishoufanghuidushuchi
百媚千娇	baimeiqianjiao
百无一用是书生	baiwuyiyongshishusheng
百花齐放百家争鸣	baihuaqifangbaijiazhengming
百足之虫死而不僵	baizuzhichongsierbujiang
皇天不负苦心人	huangtianbufukuxinren
皮之不存毛将焉附	pizhibucunmaojiangyanfu
盗墓笔记	daomubiji
盛名之下其实难副	shengmingzhixiaqishinanfu
盲人骑瞎马	mangrenqixiama
相见时难别亦难	xiangjianshinanbieyinan
眼不见心不烦	yanbujianxinbufan
眼中钉肉中刺	yanzhongdingrouzhongci
眼观六路耳听八方	yanguanliuluertingbafang
睁一眼闭一眼	zhengyiyanbiyiyan
瞄准射击	miaozhunsheji
知其不可而为之	zhiqibukeerweizhi
知无不言言无不尽	zhiwubuyanyanwubujin
知足者常乐	zhizuzhechangle
破玩意儿	powanyier
碧空万里	bikongwanli
磨嘴皮子	mozuipizi
礼轻情意重	liqingqingyizhong
神清气和	shenqingqihe
福禄寿喜	fulushouxi
秀才不出门	xiucaibuchumen
种瓜得瓜种豆得豆	zhongguadeguazhongdoudedou
积善之家必有余庆	jishanzhijiabiyouyuqing
穷且益坚	qiongqieyijian
穷则独善其身	qiongzedushanqishen
空空道人	kongkongdaoren
立业成家	liyechengjia
立德立言	lideliyan
箭在弦上不得不发	jianzaixianshangbudebufa
粉妆玉砌	fenzhuangyuqi
精确瞄准	jingquemiaozhun
精神矍铄	jingshenjueshuo
精诚所至金石为开	jingchengsuozhijinshiweikai
糟糠之妻不下堂	zaokangzhiqibuxiatang
纲纪废弛	gangjifeichi
纸上得来终觉浅	zhishangdelaizhongjueqian
纸里包不住火	zhilibaobuzhuhuo
经营惨淡	jingyingcandan
绝口不谈	juekoubutan
置之死地而后快	zhizhisidierhoukuai
