# 泰深输入法专业词库 — literature
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
夜色温柔	yesewenrou
沉默的大多數	chenmodedaduoshu
黑色棉花田	heisemianhuatian
囫圇吞棗	huluntunzao
待售劇本	daishoujuben
沉淪	chenlun
文学小说	wenxuexiaoshuo
柏楊回憶錄	baiyanghuiyilu
她的城	tadecheng
異名	yiming
蝙蝠	bianfu
吳都文粹	wudouwencui
萌芽	mengya
施拉娜	shilana
五神傳說	wushenchuanshuo
论语	lunyu
图瓦文学	tuwawenxue
漢文訓讀	hanwenxundu
何典	hedian
寓言	yuyan
綏寇紀略	suikoujilve
湖水	hushui
寻根文学	xungenwenxue
题记	tiji
二元對立	eryuanduili
阿拉密斯	alamisi
小道真相	xiaodaozhenxiang
越南文學	yuenanwenxue
冷面笑匠	lengmianxiaojiang
書呆子	shudaizi
桂冠诗人	guiguanshiren
自由诗	ziyoushi
七大恨	qidahen
孤雛淚	guchulei
郎樱	langying
太陽神與酒神	taiyangshenyujiushen
贫士传	pinshichuan
克萨诺斯	kesanuosi
火之洗礼	huozhixili
民間故事	minjiangushi
达尔金文学	daerjinwenxue
交換日記	jiaohuanriji
綠里奇蹟	lvliqiji
失竊的孩子	shiqiedehaizi
悄悄互動日記	qiaoqiaohudongriji
标题人物	biaotirenwu
小氣財神	xiaoqicaishen
櫃魔	guimo
职介破事儿	zhijieposhier
閩都別記	mindoubieji
敌后武工队	dihouwugongdui
鬼吹灯	guichuideng
長篇小說	zhangpianxiaoshuo
表	biao
廷臣论	tingchenlun
夜浪	yelang
西王母	xiwangmu
红楼梦	hongloumeng
明心寶鑑	mingxinbaojian
书信	shuxin
藤野先生	tengyexiansheng
魔王	mowang
理性	lixing
小西庇阿	xiaoxibia
宪章运动	xianzhangyundong
波利安人	bolianren
治療之書	zhiliaozhishu
不文集	buwenji
國際布克獎	guojibukejiang
骡	luo
新作家	xinzuojia
興風者	xingfengzhe
列王的纷争	liewangdefenzheng
兒童啟蒙教程	ertongqimengjiaocheng
雪	xue
海軍協約	haijunxieyue
蜀碧	shubi
追殺	zhuisha
起承轉合	qichengzhuanhe
杨公骥	yanggongji
灵性诗歌	lingxingshige
伊塔庫亞	yitakuya
她有名字	tayoumingzi
伊戈隆納克	yigelongnake
麥奎格先生	maikuigexiansheng
平鬼传	pingguichuan
藏族文学	cangzuwenxue
瘋狂科學家	fengkuangkexuejia
楼兰	loulan
浪漫奇幻	langmanqihuan
詩歌集	shigeji
天皇小論	tianhuangxiaolun
維吾爾族文學	weiwuerzuwenxue
花王戒	huawangjie
托莱多翻译院	tuolaiduofanyiyuan
永明体	yongmingti
惶然錄	huangranlu
柴油朋克	chaiyoupengke
邊緣世界	bianyuanshijie
租約	zuyue
虛構世界	xugoushijie
百年寒冬	bainianhandong
饮冰室文集	yinbingshiwenji
泡沫之夏	paomozhixia
酈學	lixue
自費出版	zifeichuban
松居巴	songjuba
歌詞	geci
笔记小说	bijixiaoshuo
蒙古黄金史纲	mengguhuangjinshigang
史密斯行动	shimisixingdong
超级英雄	chaojiyingxiong
澠水燕談錄	mianshuiyantanlu
蛙鼠之戰	washuzhizhan
酒誥	jiugao
爱尔兰文学	aierlanwenxue
輓聯	wanlian
五七調	wuqidiao
好运的一天	haoyundeyitian
伊施嫩納法典	yishinennafadian
古希腊悲剧	guxilabeiju
厦门市志	shamenshizhi
火与冰	huoyubing
早稻田文學	zaodaotianwenxue
惡役千金	eyiqianjin
维多利亚	weiduoliya
絕命詩	juemingshi
宋词三百首	songcisanbaishou
殭屍片	jiangshipian
黑暗奇幻	heianqihuan
明詩綜	mingshizong
無名抄	wumingchao
雨花台石	yuhuataishi
聽出鼓的形狀	tingchugudexingzhuang
小品文	xiaopinwen
我愛你	woaini
王祯农书	wangzhennongshu
三年坂火之夢	sannianbanhuozhimeng
卡利班之戰	kalibanzhizhan
表演诗歌	biaoyanshige
网络文学	wangluowenxue
我的名字叫紅	wodemingzijiaohong
密室推理	mishituili
华生学手艺	huashengxueshouyi
西湖梦寻	xihumengxun
皇上有喜	huangshangyouxi
怪奇小說	guaiqixiaoshuo
六藝論	liuyilun
悬疑小说	xuanyixiaoshuo
模擬恐怖	monikongbu
玛舒山	mashushan
艮齋詩集	genzhaishiji
系列	xilie
女鼓手	nvgushou
營造商探案	yingzaoshangtanan
馴悍記	xunhanji
中国可以说不	zhongguokeyishuobu
胡姆巴巴	humubaba
張繼高	zhangjigao
抑扬格派	yiyanggepai
项链	xianglian
性張力	xingzhangli
最前线	zuiqianxian
普希金之家	puxijinzhijia
武俠小說	wuxiaxiaoshuo
牧歌集	mugeji
李广	liguang
跋涉	bashe
逆潮	nichao
孔雀森林	kongquesenlin
爱情公寓	aiqinggongyu
南橘北枳	nanjubeizhi
柠檬市场	ningmengshichang
怪人	guairen
歌舞杂耍表演	gewuzashuabiaoyan
麻瓜魁地奇	maguakuidiqi
电影业	dianyingye
章回小說	zhanghuixiaoshuo
同志文學	tongzhiwenxue
鐵道員	tiedaoyuan
科斯塔圖書獎	kesitatushujiang
大西洋古抄本	daxiyangguchaoben
步步驚心	bubujingxin
十三辙	shisanzhe
非虛構作品	feixugouzuopin
砚友社	yanyoushe
陰火	yinhuo
流浪汉小说	liulanghanxiaoshuo
威塔莉	weitali
無錫白話報	wuxibaihuabao
朗读者	langduzhe
官話白話文	guanhuabaihuawen
亞瑟府的沒落	yasefudemeiluo
托尔金家族	tuoerjinjiazu
剧本	juben
布达佩斯学派	budapeisixuepai
寧國府	ningguofu
反三国演义	fansanguoyanyi
燙衣機	tangyiji
同人詞	tongrenci
曲洧舊聞	quweijiuwen
帕丁頓熊	padingdunxiong
冒险小说	maoxianxiaoshuo
聖宗遺草	shengzongyicao
閩語白話文	minyubaihuawen
萤窗异草	yingchuangyicao
心理恐怖	xinlikongbu
文学理论	wenxuelilun
布鲁克奖	bulukejiang
幽巡者	youxunzhe
浪漫主义	langmanzhuyi
蝜蝂傳	fubanchuan
自由間接引語	ziyoujianjieyinyu
山羊座的友人	shanyangzuodeyouren
金陵四大家族	jinlingsidajiazu
五步格	wubuge
安劳恩	anlaoen
杜立德醫生	dulideyisheng
王良和	wanglianghe
林丽君	linlijun
赛博朋克	saibopengke
瓦特希普高原	watexipugaoyuan
玉葉	yuye
而已集	eryiji
華人馬來文學	huarenmalaiwenxue
公共领域	gonggonglingyu
伊捷尔缅文学	yijieermianwenxue
复古未来主义	fuguweilaizhuyi
讽刺	fengci
高魔奇幻	gaomoqihuan
成语	chengyu
家傳寶鑽	jiachuanbaozuan
卫藏通志	weicangtongzhi
鲁赫纳玛	luhenama
末日幻想	morihuanxiang
鐘樓怪人	zhonglouguairen
山居歲月	shanjusuiyue
雷峰塔奇传	leifengtaqichuan
失樂園	shileyuan
虛構	xugou
小戏骨	xiaoxigu
唐文拾遺	tangwenshiyi
妻妾成群	qiqiechengqun
明季北略	mingjibeilve
柏林宣言	bailinxuanyan
对偶	duiou
二見鍾情	erjianzhongqing
長恨歌	zhanghenge
純文學	chunwenxue
留級魔女	liujimonv
先知	xianzhi
文明小史	wenmingxiaoshi
白话文学史	baihuawenxueshi
批评探索	pipingtansuo
宿命迴響	suminghuixiang
繪本棒棒堂	huibenbangbangtang
坟	fen
猪与鸡	zhuyuji
妖精鄉	yaojingxiang
綠皮書	lvpishu
三十九級臺階	sanshijiujitaijie
真名实姓	zhenmingshixing
宇治拾遺物語	yuzhishiyiwuyu
茶花女	chahuanv
春闺梦	chunguimeng
軟科幻	ruankehuan
大閱讀	dayuedu
古希腊喜剧	guxilaxiju
象征主义文学	xiangzhengzhuyiwenxue
窦娥冤	doueyuan
夜城系列小說	yechengxiliexiaoshuo
駝者	tuozhe
完美的和平	wanmeideheping
瑟	se
大众科学	dazhongkexue
古鏡奇譚	gujingqitan
排比	paibi
莎意尔	shayier
日本文化私觀	ribenwenhuasiguan
文学改良刍议	wenxuegailiangchuyi
馬克白	makebai
甘州曲	ganzhouqu
未完的傳說	weiwandechuanshuo
美國獨立宣言	meiguodulixuanyan
吾子吾弟	wuziwudi
金甲蟲	jinjiachong
蓼風軒	liaofengxuan
宣言	xuanyan
變形子彈之歌	bianxingzidanzhige
香港宣言	xianggangxuanyan
玉卿嫂	yuqingsao
上書房	shangshufang
英雄奇幻	yingxiongqihuan
三遂平妖傳	sansuipingyaochuan
卡夫卡獎	kafukajiang
海象与木匠	haixiangyumujiang
尚书大传	shangshudachuan
批判理論	pipanlilun
马生人	mashengren
白话文学	baihuawenxue
匡超人	kuangchaoren
張良澤	zhangliangze
异乡异客	yixiangyike
李素伯	lisubo
正义女神	zhengyinvshen
关原日记	guanyuanriji
瑟訥訥	senene
人猿星球	renyuanxingqiu
無賴派	wulaipai
犟妹子	jiangmeizi
東京夜未眠	dongjingyeweimian
思维的乐趣	siweidelequ
我想飞进天空	woxiangfeijintiankong
嶺南摭怪	lingnanzhiguai
聖槍修女	shengqiangxiunv
公平延長	gongpingyanzhang
情色驚悚片	qingsejingsongpian
自力文團	ziliwentuan
波尔多斯	boerduosi
傳記文學	chuanjiwenxue
草莓之春	caomeizhichun
一個晚上	yigewanshang
马尔蒂瓦克	maerdiwake
三名學生探案	sanmingxueshengtanan
变身英雄	bianshenyingxiong
纳切兹	naqiezi
那尔迈调色板	naermaidiaoseban
文稿	wengao
出身论	chushenlun
超人類	chaorenlei
我和斯大林	wohesidalin
新華文學	xinhuawenxue
第二世界	diershijie
紅死病的面具	hongsibingdemianju
新现代主义	xinxiandaizhuyi
黑酒鸟	heijiuniao
瑞典文學	ruidianwenxue
夜鶯	yeying
海神	haishen
少年天子	shaoniantianzi
雪球	xueqiu
李培天	lipeitian
续六经	xuliujing
父子骑驴	fuziqilv
蛇先生	shexiansheng
時間之輪	shijianzhilun
盲人摸象	mangrenmoxiang
會要	huiyao
个人网站	gerenwangzhan
精靈市場	jinglingshichang
耳底記	erdiji
比興	bixing
表达方式	biaodafangshi
浅草社	qiancaoshe
任氏傳	renshichuan
惡靈剋星	elingkexing
剛鐸國王列表	gangduoguowangliebiao
诗体小说	shitixiaoshuo
半妖	banyao
捣蛋鬼提尔	daodanguitier
金瓯缺	jinouque
未来世界	weilaishijie
新巡者	xinxunzhe
琉歌	liuge
長假	zhangjia
