# 泰深输入法专业词库 — law
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
自然人	ziranren
较短期限法则	jiaoduanqixianfaze
流氓罪	liumangzui
法国民法典	faguominfadian
耶基斯語	yejisiyu
正当防卫	zhengdangfangwei
投票年齡	toupiaonianling
司憲府	sixianfu
无偿划转	wuchanghuazhuan
企业	qiye
议会	yihui
封鎖	fengsuo
政區	zhengqu
特许公司	texugongsi
以法令统治	yifalingtongzhi
妨害公務	fanghaigongwu
理性	lixing
梅达顺	meidashun
侵入	qinru
醫療法	yiliaofa
人权观察	renquanguancha
宪章运动	xianzhangyundong
行為	xingwei
五條御誓文	wutiaoyushiwen
判決先例	panjuexianli
法律哲学	falvzhexue
超期羁押	chaoqijiya
王室生命条款	wangshishengmingtiaokuan
租賃	zulin
通知并删除	tongzhibingshanchu
卡努	kanu
故意	guyi
許乃邦	xunaibang
本票	benpiao
虐待動物	nvedaidongwu
年假	nianjia
內地	neidi
主物权	zhuwuquan
海上家园	haishangjiayuan
刑法解释	xingfajieshi
存亡危機事態	cunwangweijishitai
政治问题原则	zhengzhiwentiyuanze
租約	zuyue
中外法学	zhongwaifaxue
琉球科律	liuqiukelv
律师失职	lvshishizhi
财产分割	caichanfenge
萬國公法	wanguogongfa
口供	kougong
麦兹海布	maizihaibu
伊施嫩納法典	yishinennafadian
島嶼委員會	daoyuweiyuanhui
宗教技術中心	zongjiaojishuzhongxin
普通襲擊	putongxiji
販妻	fanqi
超國界法	chaoguojiefa
條件與期限	tiaojianyuqixian
劉承俊	liuchengjun
结案陈词	jieanchenci
鄭冠宇	zhengguanyu
人工智能法案	rengongzhinengfaan
夫妻财产分割	fuqicaichanfenge
祖父條款	zufutiaokuan
生活安宁权	shenghuoanningquan
耶拿六人	yenaliuren
减刑	jianxing
保外就医	baowaijiuyi
黨鞭	dangbian
靈性技術教會	lingxingjishujiaohui
腰斩	yaozhan
法律優位原則	falvyouweiyuanze
物证	wuzheng
純素者列表	chunsuzheliebiao
租船	zuchuan
人身保護令	renshenbaohuling
以眼还眼	yiyanhuanyan
法律确信	falvquexin
林桂端	linguiduan
損害賠償	sunhaipeichang
公权力	gongquanli
買回契約	maihuiqiyue
協同意見書	xietongyijianshu
猶子	youzi
大规模监控	daguimojiankong
犯罪预备	fanzuiyubei
劳动组合	laodongzuhe
经济法	jingjifa
未成年人	weichengnianren
學生權利	xueshengquanli
網路人權	wanglurenquan
海地示威	haidishiwei
特赦	teshe
模擬法庭	monifating
強迫賣血	qiangpomaixue
的士站原則	deshizhanyuanze
出版	chuban
檔案法	danganfa
枪杀	qiangsha
法律輔助人員	falvfuzhurenyuan
議會暴力	yihuibaoli
起訴	qisu
法律原則	falvyuanze
紗紙契	shazhiqi
信賴保護原則	xinlaibaohuyuanze
敖德萨战斗猫	aodesazhandoumao
積極抗辯	jijikangbian
金融反垄断	jinrongfanlongduan
德国民法典	deguominfadian
战争法	zhanzhengfa
健康環境權	jiankanghuanjingquan
司法语言学	sifayuyanxue
劳工权利	laogongquanli
法律事務專員	falvshiwuzhuanyuan
效忠誓詞	xiaozhongshici
拘留	juliu
二次詐騙	ercizhapian
无过错责任	wuguocuozeren
緘默法則	jianmofaze
对价	duijia
資訊技術法	zixunjishufa
訴訟保全	susongbaoquan
柏林宣言	bailinxuanyan
懲教	chengjiao
立场书	lichangshu
支付	zhifu
緘默權	jianmoquan
敲锅打铁	qiaoguodatie
伴隨情況	bansuiqingkuang
不代替物	budaitiwu
就職宣誓	jiuzhixuanshi
解散议会	jiesanyihui
衛生政策	weishengzhengce
伯明翰六人案	bominghanliurenan
工作室	gongzuoshi
肉刑	rouxing
裤衩背心帮	kuchabeixinbang
讀會	duhui
工读学校	gongduxuexiao
职场民主	zhichangminzhu
幽闭	youbi
海山公司	haishangongsi
身體完整性	shentiwanzhengxing
侵略罪	qinlvezui
官方	guanfang
三人法庭	sanrenfating
火刑	huoxing
布达佩斯条约	budapeisitiaoyue
滋扰	zirao
老字號	laozihao
結合契約	jieheqiyue
安全港原則	anquangangyuanze
朋友之间	pengyouzhijian
追索權	zhuisuoquan
法典	fadian
宣言	xuanyan
絕對忠誠誓詞	jueduizhongchengshici
苏联枪支管制	sulianqiangzhiguanzhi
無性交能力	wuxingjiaonengli
香港宣言	xianggangxuanyan
法庭謄本	fatingtengben
幼子繼承制	youzijichengzhi
离婚	lihun
法治	fazhi
基本權	jibenquan
發包	fabao
技术转移	jishuzhuanyi
雙聯契	shuanglianqi
警用航空器	jingyonghangkongqi
道歉決議	daoqianjueyi
国际律师协会	guojilvshixiehui
处方	chufang
資源營運效率	ziyuanyingyunxiaolv
比例原則	biliyuanze
邻接权	linjiequan
可分物	kefenwu
合法分居	hefafenju
危害人类罪	weihairenleizui
法律商谈理论	falvshangtanlilun
免責聲明	mianzeshengming
大国民议会	daguominyihui
座位数	zuoweishu
网站时光机	wangzhanshiguangji
初步證明	chubuzhengming
法益	fayi
王家法院	wangjiafayuan
智能合约	zhinengheyue
代替没收契据	daitimeishouqiju
口头证据规则	koutouzhengjuguize
事業部制	shiyebuzhi
鯨豚水族館	jingtunshuizuguan
家谱	jiapu
欧洲价值观	ouzhoujiazhiguan
十月詔書	shiyuezhaoshu
合作社	hezuoshe
自由文化	ziyouwenhua
可信计算	kexinjisuan
刖刑	yuexing
通緝	tongji
不可抗力	bukekangli
私制唱片	sizhichangpian
菲什曼宣誓書	feishenmanxuanshishu
代理	daili
港口国监督	gangkouguojiandu
勒沙普利耶法	leishapuliyefa
公正評論	gongzhengpinglun
裁判	caipan
婚检	hunjian
更生	gengsheng
公訴提控	gongsutikong
英國司法機構	yingguosifajigou
数据窃取	shujuqiequ
国际法	guojifa
美國訟務次長	meiguosongwucizhang
法律经济学	falvjingjixue
舉證責任	juzhengzeren
田村幸一	tiancunxingyi
世界基准联盟	shijiejizhunlianmeng
司法警察	sifajingcha
宪法	xianfa
憲制性法律	xianzhixingfalv
芬兰司法长官	fenlansifazhangguan
尖椒部落	jianjiaobuluo
國家行為	guojiaxingwei
渡邊敏郎	dubianminlang
政黨法	zhengdangfa
呂貝克和約	lvbeikeheyue
內閣府設置法	neigefushezhifa
打破沉默組織	dapochenmozuzhi
折獄龜鑑補	zheyuguijianbu
子公司	zigongsi
所有权	suoyouquan
國際人權日	guojirenquanri
告訴	gaosu
制憲國民大會	zhixianguomindahui
象牙销毁	xiangyaxiaohui
日內瓦宣言	rineiwaxuanyan
知情不举罪	zhiqingbujuzui
彭家聲	pengjiasheng
执法机构	zhifajigou
專利特許證	zhuanlitexuzheng
兒童權利宣言	ertongquanlixuanyan
新法家	xinfajia
國家賠償	guojiapeichang
领土完整	lingtuwanzheng
儲蓄互助社	chuxuhuzhushe
宪政化	xianzhenghua
公開棄絕	gongkaiqijue
王春燕	wangchunyan
