# 泰深输入法专业词库 — art
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
伯肯海德公园	bokenhaidegongyuan
我是李小龍	woshilixiaolong
古希臘建築	guxilajianzhu
剝製	bozhi
复节奏	fujiezou
蝙蝠吃香蕉	bianfuchixiangjiao
后宫诱逃	hougongyoutao
恐怖收集者	kongbushoujizhe
啡常火拼	feichanghuopin
偃师博物馆	yanshibowuguan
曹华	caohua
錫克文化	xikewenhua
东北文艺复兴	dongbeiwenyifuxing
横滨电影节	hengbindianyingjie
裁截	caijie
乞巧图	qiqiaotu
固定低音	gudingdiyin
日本三国	ribensanguo
終結的熾天使	zhongjiedechitianshi
哭泣的玫瑰	kuqidemeigui
倒角	daojiao
冰川丸	bingchuanwan
袭击	xiji
物流	wuliu
至上主义	zhishangzhuyi
母亲	muqin
游目帖	youmutie
虛構推理	xugoutuili
田中奏摺	tianzhongzouzhe
瀝粉貼金	lifentiejin
連續對稱	lianxuduicheng
双叶家的姐弟	shuangyejiadejiedi
蝦掰天文社	xiabaitianwenshe
閩中詩派	minzhongshipai
國劇運動	guojuyundong
超时空来电	chaoshikonglaidian
青憧社	qingchongshe
南方公園	nanfanggongyuan
试金石	shijinshi
快門	kuaimen
花腔	huaqiang
易錄系統	yiluxitong
臺灣追想曲	taiwanzhuixiangqu
包身工	baoshengong
音源模組	yinyuanmozu
漫長等待	manzhangdengdai
摄影器材	sheyingqicai
如果一切重来	ruguoyiqiezhonglai
當代民謠音樂	dangdaiminyaoyinle
陶瓷	taoci
朝鲜革命歌剧	chaoxiangeminggeju
光榮之路	guangrongzhilu
球咏	qiuyong
儲存裝置	chucunzhuangzhi
自由之火	ziyouzhihuo
寶貼	baotie
帶來洞主	dailaidongzhu
三维艺术	sanweiyishu
水的颜色	shuideyanse
電氣石	dianqishi
追星殺手	zhuixingshashou
打印维基百科	dayinweijibaike
怪人的沙拉碗	guairendeshalawan
裝置藝術	zhuangzhiyishu
魔表	mobiao
文蘭島地圖	wenlandaoditu
填漆	tianqi
偏振镜	pianzhenjing
閒居吟	xianjuyin
安可	anke
金水漏印	jinshuilouyin
玫瑰梦	meiguimeng
玩謝希特拉	wanxiexitela
殺狗記	shagouji
光圈优先	guangquanyouxian
馬倫巴	malunba
月夜	yueye
榫卯	sunmao
香港口罩	xianggangkouzhao
罗马式美术	luomashimeishu
黑豹突击队	heibaotujidui
風箏衝浪	fengzhengchonglang
胜利之路	shenglizhilu
流放者的归来	liufangzhedeguilai
安全色	anquanse
阿塞拜疆地毯	asaibaijiangditan
阿坎巴羅雕像	akanbaluodiaoxiang
玩物	wanwu
动物创作艺术	dongwuchuangzuoyishu
銀色	yinse
真相之眼	zhenxiangzhiyan
血界戰線	xuejiezhanxian
镇魂街	zhenhunjie
揭開第五印	jiekaidiwuyin
