# 泰深输入法专业词库 — military
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
復員	fuyuan
機載雷射系統	jizaileishexitong
海州攻击说	haizhougongjishuo
电磁弹射器	diancidansheqi
帕奇軍營	paqijunying
梅德韋港突襲	meideweigangtuxi
排	pai
第三地道	disandidao
不可思议行动	bukesiyixingdong
敲屋顶战术	qiaowudingzhanshu
臺北大空襲	taibeidakongxi
替代性創傷	tidaixingchuangshang
川上操六	chuanshangcaoliu
大陳島撤退	dachendaochetui
格鲁乌	geluwu
機動性	jidongxing
以實力求和平	yishiliqiuheping
游击战	youjizhan
貧鈾裝甲	pinyouzhuangjia
配給制	peigeizhi
適型油箱	shixingyouxiang
團	tuan
大後方	dahoufang
战地考古学	zhandikaoguxue
魚叉	yucha
火控雷達	huokongleida
十七史百将传	shiqishibaijiangchuan
總部	zongbu
四指隊形	sizhiduixing
角楼	jiaolou
火力组	huolizu
斯默克	simoke
姜太公	jiangtaigong
亂世	luanshi
无防护巡洋舰	wufanghuxunyangjian
二战密码学	erzhanmimaxue
假旗行动	jiaqixingdong
绢甲	juanjia
水线装甲带	shuixianzhuangjiadai
浅水重炮舰	qianshuizhongpaojian
穿甲弹	chuanjiadan
前列兵	qianliebing
美國空軍裝備	meiguokongjunzhuangbei
刘伯承	liubocheng
橘色戰爭計畫	jusezhanzhengjihua
司令部	silingbu
格拉迪奥行动	geladiaoxingdong
戰爭與和平	zhanzhengyuheping
橛	jue
炮战	paozhan
鐮刀收割計畫	liandaoshougejihua
反卫星卫星	fanweixingweixing
掃雷艦	saoleijian
刘伯温	liubowen
共和國衛隊	gongheguoweidui
士兵	shibing
層甲	cengjia
恐怖平衡	kongbupingheng
工兵铲	gongbingchan
有刺铁丝网	youcitiesiwang
禁区	jinqu
锡瓦什中士	xiwashenzhongshi
探照灯	tanzhaodeng
隐蔽行动	yinbixingdong
军事战术列表	junshizhanshuliebiao
金城民防坑道	jinchengminfangkengdao
加榴炮	jialiupao
战争论	zhanzhenglun
飞机弹射器	feijidansheqi
第五代戰爭	diwudaizhanzheng
捨奸	shejian
炫目迷彩	xuanmumicai
杜派指数	dupaizhishu
数码迷彩	shumamicai
东盟宣言	dongmengxuanyan
第四代戰爭	disidaizhanzheng
国民府	guominfu
军医	junyi
军事思想	junshisixiang
總參謀部大樓	zongcanmoubudalou
蘿蔔頭	luobotou
头盔显示器	toukuixianshiqi
釘甲	dingjia
长春围困战	zhangchunweikunzhan
龍式無人機	longshiwurenji
纵队	zongdui
軍事準則	junshizhunze
大陆政策	daluzhengce
禁飛區	jinfeiqu
军	jun
行動後檢討	xingdonghoujiantao
通信灯	tongxindeng
养兵弥乱	yangbingmiluan
公民执政团	gongminzhizhengtuan
中央医疗军	zhongyangyiliaojun
戰地	zhandi
波束赋形	boshufuxing
军事地理学	junshidilixue
军训	junxun
软气枪	ruanqiqiang
人民战争	renminzhanzheng
民役	minyi
连	lian
磁軌砲	ciguipao
装甲舰	zhuangjiajian
撞角	zhuangjiao
力量梯度损失	liliangtidusunshi
軍團	juntuan
阮進鴻	ruanjinhong
衝鋒	chongfeng
