# 泰深输入法专业词库 — geography
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
珍罗兰山洞群	zhenluolanshandongqun
地槽	dicao
岩屑	yanxie
豪特里維期	haoteliweiqi
戈尔达板块	geerdabankuai
進積	jinji
焚风翼龙属	fenfengyilongshu
固阳组	guyangzu
断崖	duanya
古大陆	gudalu
环境地质学	huanjingdizhixue
平頂火山	pingdinghuoshan
中国地质学会	zhongguodizhixuehui
鏟形斷層	chanxingduanceng
活动空间	huodongkongjian
迪恩蓝洞	dienlandong
丘	qiu
深成岩	shenchengyan
沙漠玫瑰	shamomeigui
構造窗	gouzaochuang
火山噴發列表	huoshanpenfaliebiao
铕异常	youyichang
块砷镍矿	kuaishenniekuang
地壳	diqiao
震源机制解	zhenyuanjizhijie
年循環	nianxunhuan
去全球化	ququanqiuhua
末次冰期	mocibingqi
震中距	zhenzhongju
黝锡矿	youxikuang
構造地層學	gouzaodicengxue
隕磺礫岩	yunhuangliyan
極漂移	jipiaoyi
索拉林松奖章	suolalinsongjiangzhang
早雨海世	zaoyuhaishi
卫星影像	weixingyingxiang
鴨嘴岩	yazuiyan
经济地理学	jingjidilixue
无聊十亿年	wuliaoshiyinian
第一島鏈	diyidaolian
浮丘石	fuqiushi
泉头组	quantouzu
糜稜岩	milengyan
海底高原	haidigaoyuan
月球隕石	yueqiuyunshi
科科斯板块	kekesibankuai
台東紅葉溫泉	taidonghongyewenquan
科馬提地層	kematidiceng
中朝构造域	zhongchaogouzaoyu
凍脹	dongzhang
渔亮子组	yuliangzizu
彰化溫泉	zhanghuawenquan
白堊岩	baieyan
葉什勒池	yeshenleichi
凌汛	lingxun
板塊列表	bankuailiebiao
愛琴海板塊	aiqinhaibankuai
風季	fengji
沉积相	chenjixiang
富圖納板塊	futunabankuai
冰期	bingqi
骨料	guliao
膨润土	pengruntu
富饶组	furaozu
海相沉积	haixiangchenji
露頭	lutou
地理中心	dilizhongxin
古太古代	gutaigudai
盲斷層	mangduanceng
然乌湖	ranwuhu
圆度	yuandu
溶洞	rongdong
跳岩	tiaoyan
活火山	huohuoshan
田园城市理论	tianyuanchengshililun
新近纪	xinjinji
二輝輝石岩	erhuihuishiyan
天然剩磁	tianranshengci
地质聚合物	dizhijuhewu
越南火山列表	yuenanhuoshanliebiao
温泉镇	wenquanzhen
移置岩体	yizhiyanti
