# 泰深输入法专业词库 — math
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
分團問題	fentuanwenti
塔別脫數	tabietuoshu
範疇	fanchou
共尾	gongwei
高斯噪声	gaosizaosheng
皮亚诺公理	piyanuogongli
金融工程	jinronggongcheng
广义逆阵	guangyinizhen
存在量化	cunzailianghua
字典序	zidianxu
高斯引理	gaosiyinli
單位分數	danweifenshu
欧米加常数	oumijiachangshu
信息集	xinxiji
印符数论	yinfushulun
不可約元素	bukeyueyuansu
多面形	duomianxing
美术馆问题	meishuguanwenti
四句	siju
非结合代数	feijiehedaishu
透视投影	toushitouying
有限小数	youxianxiaoshu
雙線性	shuangxianxing
方程	fangcheng
元数学	yuanshuxue
希腊乘法表	xilachengfabiao
病态	bingtai
一致性	yizhixing
雞爪定理	jizhaodingli
安托万方程	antuowanfangcheng
參數方程	canshufangcheng
完滿群	wanmanqun
謂詞	weici
圆周角	yuanzhoujiao
葛立恆	geliheng
庞加莱猜想	pangjialaicaixiang
泵引理	bengyinli
諾特模	nuotemo
數學倫理學	shuxuelunlixue
真值语义	zhenzhiyuyi
广义函数	guangyihanshu
割线	gexian
临床流行病学	linchuangliuxingbingxue
超函数	chaohanshu
抛物线求积	paowuxianqiuji
面	mian
參考	cankao
外延性	waiyanxing
穩定流形定理	wendingliuxingdingli
子流形	ziliuxing
希臘拉丁方陣	xilaladingfangzhen
托勒密定理	tuoleimidingli
短五引理	duanwuyinli
李雙代數	lishuangdaishu
黎曼猜想	limancaixiang
工程數學	gongchengshuxue
物價	wujia
离散两点空间	lisanliangdiankongjian
次椭圆形算子	cituoyuanxingsuanzi
共递归	gongdigui
认识逻辑	renshiluoji
格拉斯曼流形	gelasimanliuxing
拟序关系	nixuguanxi
貝拉公式	beilagongshi
算子	suanzi
有界集合	youjiejihe
自传数	zichuanshu
非结构网格	feijiegouwangge
皮尔士定律	piershidinglv
蔡勒公式	caileigongshi
一阶逻辑	yijieluoji
勒讓德篩法	leirangdeshaifa
解密	jiemi
凱萊定理	kailaidingli
菊花鏈拓撲	juhualiantuopu
唯一分解整環	weiyifenjiezhenghuan
描述集合論	miaoshujihelun
魏军城	weijuncheng
责任准备金	zerenzhunbeijin
误差棒	wuchabang
代数结构	daishujiegou
天賦的禮物	tianfudeliwu
结构	jiegou
算額	suane
互反律	hufanlv
谢费尔竖线	xiefeiershuxian
同构基本定理	tonggoujibendingli
埃尔朗根纲领	aierlanggengangling
逻辑学家列表	luojixuejialiebiao
观察性研究	guanchaxingyanjiu
切丛	qiecong
已解遊戲	yijieyouxi
幾何標準差	jihebiaozhuncha
对偶	duiou
垂线测试	chuixianceshi
内乘	neicheng
异常值	yichangzhi
分圆多项式	fenyuanduoxiangshi
积分表	jifenbiao
实射影空间	shisheyingkongjian
平均运算	pingjunyunsuan
斯奎斯数	sikuisishu
随机分析	suijifenxi
吉敏	jimin
半正鑲嵌圖	banzhengxiangqiantu
隐藏人物	yincangrenwu
黄劲松	huangjinsong
吴消元法	wuxiaoyuanfa
長寬比	zhangkuanbi
纳什嵌入定理	nashenqianrudingli
萬分比	wanfenbi
微元法	weiyuanfa
球台	qiutai
序贯均衡	xuguanjunheng
一致收斂	yizhishoulian
切消定理	qiexiaodingli
無限面形	wuxianmianxing
真值函数	zhenzhihanshu
餘式定理	yushidingli
图博弈论	tuboyilun
十九邊形	shijiubianxing
千分比	qianfenbi
庞加莱映射	pangjialaiyingshe
有趣数字悖论	youqushuzibeilun
邬似珏	wushijue
傅吉祥	fujixiang
基数	jishu
二项式定理	erxiangshidingli
良序定理	liangxudingli
自然数	ziranshu
底數	dishu
多重线性映射	duozhongxianxingyingshe
费马大定理	feimadadingli
数学原理	shuxueyuanli
運算次序	yunsuancixu
数学危机	shuxueweiji
李岩岩	liyanyan
兰彻斯特方程	lanchesitefangcheng
模反元素	mofanyuansu
白尚恕	baishangshu
图科斯基方程	tukesijifangcheng
混沌理论	hundunlilun
圖嵌入	tuqianru
消耗战	xiaohaozhan
數論主題列表	shulunzhutiliebiao
数学百科全书	shuxuebaikequanshu
有限單群分類	youxiandanqunfenlei
南秉吉	nanbingji
演化博弈论	yanhuaboyilun
奇偶性	qiouxing
准周期运动	zhunzhouqiyundong
帕斯卡定理	pasikadingli
凸锥	tuzhui
第二基本形式	dierjibenxingshi
亞阿貝爾群	yaabeierqun
长尾	zhangwei
全称实例化	quanchengshilihua
特連通空間	teliantongkongjian
峰值信噪比	fengzhixinzaobi
拓撲斯	tuopusi
低維拓撲	diweituopu
极限集合	jixianjihe
缓冲区分析	huanchongqufenxi
幻星	huanxing
環的局部化	huandejubuhua
囚徒困境	qiutukunjing
新數學	xinshuxue
几何力学	jihelixue
似然函数	shiranhanshu
排容原理	pairongyuanli
網	wang
平方数	pingfangshu
弗洛凱理論	fuluokaililun
正则化	zhengzehua
样本	yangben
駱駝函數	luotuohanshu
原點	yuandian
数学公式	shuxuegongshi
長除法	zhangchufa
理性無知	lixingwuzhi
支配性策略	zhipeixingcelve
阶乘素数	jiechengsushu
邦泽不等式	bangzebudengshi
張量	zhangliang
外接球	waijieqiu
行為博弈論	xingweiboyilun
插空法	chakongfa
积	ji
泊松极限定理	posongjixiandingli
美国数学教育	meiguoshuxuejiaoyu
未定義	weidingyi
势函数	shihanshu
倍數	beishu
無窮元組合學	wuqiongyuanzuhexue
