# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

视网膜外层	shiwangmowaiceng
视网膜母细胞瘤	shiwangmomuxibaoliu
视网膜炎	shiwangmoyan
视网膜电图	shiwangmodiantu
视网膜病	shiwangmobing
视网膜绿色素	shiwangmolvsesu
视网膜胚瘤	shiwangmopeiliu
视网膜脉络膜炎	shiwangmomailuomoyan
视网膜色素	shiwangmosesu
视网膜色素层	shiwangmosesuceng
视网膜镜	shiwangmojing
视腔	shiqiang
视色素	shisesu
视色质	shisezhi
视蛋白	shidanbai
视觉模拟评分法	shijuemonipingfenfa
视觉缺失	shijuequeshi
视觉芽	shijueya
视轴	shizhou
视野计	shiyeji
视野计弧	shiyejihu
视锥	shizhui
视锥细胞	shizhuixibao
视青紫质	shiqingzizhi
视青质	shiqingzhi
视黄基	shihuangji
视黄素	shihuangsu
视黄葡糖苷酸	shihuangputanggansuan
视黄质	shihuangzhi
视黄酸	shihuangsuan
视黄醇	shihuangchun
视黄醛	shihuangquan
视黄醛异构酶	shihuangquanyigoumei
觉器	jueqi
角下瘤	jiaoxialiu
角化	jiaohua
角化不全	jiaohuabuquan
角化不良	jiaohuabuliang
角化作用	jiaohuazuoyong
角化棘皮瘤	jiaohuajipiliu
角化病	jiaohuabing
角化癌	jiaohuaai
角化细胞	jiaohuaxibao
角化过度	jiaohuaguodu
角化过度症	jiaohuaguoduzheng
角叉聚糖	jiaochajutang
角叉菜	jiaochacai
角叉菜胶	jiaochacaijiao
角叉菜鹿角菜	jiaochacailujiaocai
角后器	jiaohouqi
角层下脓疱性皮肤病	jiaocengxianongpaoxingpifubing
角巩膜表层炎	jiaogongmobiaocengyan
角式甲基	jiaoshijiaji
角弓反张	jiaogongfanzhang
角心	jiaoxin
角星形	jiaoxingxing
角朊细胞	jiaoruanxibao
角母蛋白	jiaomudanbai
角状突起	jiaozhuangtuqi
角珠	jiaozhu
角甲基脱水酶酸酐	jiaojiajituoshuimeisuangan
角皮	jiaopi
角皮鞣化激素	jiaopirouhuajisu
角秋水仙碱	jiaoqiushuixianjian
角突	jiaotu
角端钩	jiaoduangou
角胞组织	jiaobaozuzhi
角膜云翳	jiaomoyunyi
角膜反射	jiaomofanshe
角膜生成层	jiaomoshengchengceng
角膜白斑	jiaomobaiban
角膜的外层	jiaomodewaiceng
角膜移植	jiaomoyizhi
角膜粘连蛋白	jiaomozhanliandanbai
角膜翳	jiaomoyi
角膜肥厚	jiaomofeihou
角膜试验	jiaomoshiyan
角舌骨	jiaoshegu
角苔纲	jiaotaigang
角苷脂	jiaoganzhi
角蛋白	jiaodanbai
角蛋白小体	jiaodanbaixiaoti
角蛋白酶	jiaodanbaimei
角质下层	jiaozhixiaceng
角质化	jiaozhihua
角质层形成	jiaozhicengxingcheng
角质层形成作用	jiaozhicengxingchengzuoyong
角质形成细胞	jiaozhixingchengxibao
角质素酶	jiaozhisumei
角质纤维素	jiaozhixianweisu
角质膜	jiaozhimo
角质蛋白	jiaozhidanbai
角质透明蛋白	jiaozhitoumingdanbai
角质酸	jiaozhisuan
角质鳍条	jiaozhiqitiao
角转头埃蛇形毒素	jiaozhuantouaishexingdusu
角间隆	jiaojianlong
角隅厚角组织	jiaoyuhoujiaozuzhi
角鲨烯加单氧酶	jiaoshaxijiadanyangmei
角鲨烯合成酶	jiaoshaxihechengmei
角鲨索	jiaoshasuo
解偶联	jieoulian
解偶联剂	jieoulianji
解凝剂	jieningji
解凝絮作用	jieningxuzuoyong
解剖冠	jiepouguan
解剖刀	jiepoudao
解剖式牙	jiepoushiya
解剖显微镜	jiepouxianweijing
解剖根	jiepougen
解吸作用	jiexizuoyong
解吸附作用	jiexifuzuoyong
解旋	jiexuan
解旋蛋白	jiexuandanbai
解旋酶	jiexuanmei
解毒作用	jieduzuoyong
解毒效力	jieduxiaoli
解毒气	jieduqi
解毒法	jiedufa
解毒素	jiedusu
解毒菌素	jiedujunsu
解氨酶	jieanmei
解烟碱	jieyanjian
解热剂	jiereji
解环作用	jiehuanzuoyong
解碳链	jietanlian
解碳链作用	jietanlianzuoyong
解离	jieli
解离力	jielili
解离常数	jielichangshu
解离平衡	jielipingheng
解离度	jielidu
解离率	jielilv
解离酶	jielimei
解联	jielian
解联剂	jielianji
解聚	jieju
解聚作用	jiejuzuoyong
解聚酶	jiejumei
解胨	jiedong
解胨作用	jiedongzuoyong
解螺旋	jieluoxuan
解螺旋酶	jieluoxuanmei
解酮	jietong
解酮作用	jietongzuoyong
解链	jielian
解链曲线	jielianquxian
解链曲线图	jielianquxiantu
解链温度	jielianwendu
解链蛋白	jieliandanbai
解链酶	jielianmei
解除便秘	jiechubianmi
解除催眠	jiechucuimian
解除催眠作用	jiechucuimianzuoyong
解除分化	jiechufenhua
解除气胀	jiechuqizhang
解除电离作用	jiechudianlizuoyong
解集作用	jiejizuoyong
触变性	chubianxing
触变液	chubianye
触手冠	chushouguan
触手囊	chushounang
触手支	chushouzhi
触杀剂	chushaji
触毛	chumao
触珠蛋白	chuzhudanbai
触电死	chudiansi
触腕节	chuwanjie
触觉倒错	chujuedaocuo
触觉小体	chujuexiaoti
触觉敏锐	chujueminrui
触角分枝	chujiaofenzhi
触角基节	chujiaojijie
触角毛轮	chujiaomaolun
触角窝	chujiaowo
触角端节	chujiaoduanjie
触角芒	chujiaomang
触角茎	chujiaojing
触角鞘	chujiaoqiao
触酶	chumei
触须状	chuxuzhuang
言语中枢	yanyuzhongshu
言语功能测试	yanyugongnengceshi
言语治疗	yanyuzhiliao
詹纳斯绿	zhannasilv
詹纳里氏纤维带	zhannalishixianweidai
警戒色	jingjiese
计数池	jishuchi
计滴器	jidiqi
计算分子生物学	jisuanfenzishengwuxue
计算机作图显示	jisuanjizuotuxianshi
计算机作图法	jisuanjizuotufa
计算者	jisuanzhe
计默任碱	jimorenjian
认知疗法	renzhiliaofa
记存模型	jicunmoxing
记录电极	jiludianji
记忆减退	jiyijiantui
记忆单位	jiyidanwei
记忆印迹	jiyiyinji
记忆神经元	jiyishenjingyuan
记忆神经元模型	jiyishenjingyuanmoxing
记忆细胞	jiyixibao
记时计	jishiji
记纹鼓	jiwengu
讲料预热器	jiangliaoyureqi
许兰毛癣菌	xulanmaoxuanjun
许助作用	xuzhuzuoyong
许勒位	xulewei
许可宿主	xukesuzhu
许可细胞	xukexibao
许瓦茨曼反应	xuwacimanfanying
许累位	xuleiwei
证明同一	zhengmingtongyi
识别位点	shibieweidian
识别子	shibiezi
识别序列	shibiexulie
识别期	shibieqi
识别种	shibiezhong
识别细胞	shibiexibao
诊断学	zhenduanxue
诊断探针	zhenduantanzhen
诊断程序	zhenduanchengxu
诊断试剂	zhenduanshiji
诊断试剂盒	zhenduanshijihe
诊断酶	zhenduanmei
词汇汇编	cihuihuibian
试剂盒	shijihe
语言中枢	yuyanzhongshu
语音参考	yuyincankao
语音治疗	yuyinzhiliao
语音矫正器	yuyinjiaozhengqi
语音评定	yuyinpingding
误义	wuyi
误差极限	wuchajixian
诱发作用	youfazuoyong
诱发刺激	youfaciji
诱发变异	youfabianyi
诱发期	youfaqi
诱发物	youfawu
诱发突变	youfatubian
诱发运动	youfayundong
诱变	youbian
诱变作用	youbianzuoyong
诱变剂	youbianji
诱变剂处理	youbianjichuli
诱变剂特异性	youbianjiteyixing
诱变发生	youbianfasheng
诱变因素	youbianyinsu
诱变性	youbianxing
诱变性检定	youbianxingjianding
诱变性试验	youbianxingshiyan
诱变有效性	youbianyouxiaoxing
诱导二	youdaoer
诱导休眠	youdaoxiumian
诱导催眠	youdaocuimian
诱导剂	youdaoji
诱导前期	youdaoqianqi
诱导噬菌体	youdaoshijunti
诱导契合	youdaoqihe
诱导契合模型	youdaoqihemoxing
诱导契合理论	youdaoqihelilun
诱导性心脏停搏	youdaoxingxinzangtingbo
诱导抑制性	youdaoyizhixing
诱导期	youdaoqi
诱导根瘤质粒	youdaogenliuzhili
诱导物	youdaowu
诱导酶	youdaomei
诱蚁性	youyixing
诱雄激素	youxiongjisu
诺伊曼氏鞘	nuoyimanshiqiao
诺伍德手术	nuowudeshoushu
诺伦氏病	nuolunshibing
诺加霉素	nuojiameisu
诺勃氏酯	nuoboshizhi
诺卡氏菌酸	nuokashijunsuan
诺卡胺素	nuokaansu
诺卡菌属	nuokajunshu
诺卡菌病	nuokajunbing
读数准确度	dushuzhunquedu
读框	dukuang
读框移位	dukuangyiwei
读码错误	dumacuowu
调制中频电疗法	tiaozhizhongpindianliaofa
调制剂	tiaozhiji
调剂学	tiaojixue
调变	tiaobian
调和相关	tiaohexiangguan
调定点	tiaodingdian
调定点控制	tiaodingdiankongzhi
调控代谢物	tiaokongdaixiewu
调控区	tiaokongqu
调控序列	tiaokongxulie
调整保留	tiaozhengbaoliu
调整卵	tiaozhengluan
调整密码子	tiaozhengmimazi
调理作用	tiaolizuoyong
调理性粘连	tiaolixingzhanlian
调理素	tiaolisu
调理素原	tiaolisuyuan
调理素疗法	tiaolisuliaofa
调聚体	tiaojuti
调节亚基	tiaojieyaji
调节代谢物	tiaojiedaixiewu
调节位点	tiaojieweidian
调节因子	tiaojieyinzi
调节基因	tiaojiejiyin
调节子	tiaojiezi
调节密码子	tiaojiemimazi
调节机理	tiaojiejili
调节物	tiaojiewu
调节物蛋白	tiaojiewudanbai
调节肢	tiaojiezhi
调节蛋白	tiaojiedanbai
调节部位	tiaojiebuwei
调节酶	tiaojiemei
调谐作用	tiaoxiezuoyong
调谐剂	tiaoxieji
调谐密码子	tiaoxiemimazi
调谐物	tiaoxiewu
调转趋性	diaozhuanquxing
调转运动	diaozhuanyundong
谈基氏病	tanjishibing
谢尔托立氏细胞	xieertuolishixibao
谢德胸廓成形术	xiedexiongkuochengxingshu
谱仪	puyi
谱带分析	pudaifenxi
谱系测验	puxiceyan
谱系繁殖	puxifanzhi
谱系选择	puxixuanze
谵妄	zhanwang
谷催产素	gucuichansu
谷月面	guyuemian
谷氏菌素	gushijunsu
谷氨酰	guanxian
谷氨酰半胱氨酸合成酶	guanxianbanguangansuanhechengmei
谷氨酰基	guanxianji
谷氨酰循环	guanxianxunhuan
谷氨酰氨基丙腈	guanxiananjibingjing
谷氨酰环化转移酶	guanxianhuanhuazhuanyimei
谷氨酰胺	guanxianan
谷氨酰胺合成酶	guanxiananhechengmei
谷氨酰胺酰	guanxiananxian
谷氨酰胺酰基	guanxiananxianji
谷氨酰胺酶	guanxiananmei
谷氨酰转肽酶	guanxianzhuantaimei
谷氨酸	guansuan
谷氨酸丙酮酸转氨酶	guansuanbingtongsuanzhuananmei
谷氨酸半醛	guansuanbanquan
谷氨酸微球菌	guansuanweiqiujun
谷氨酸氧化酶	guansuanyanghuamei
谷氨酸盐	guansuanyan
谷氨酸脱氢酶	guansuantuoqingmei
谷氨酸脱羧酶	guansuantuosuomei
谷氨酸草酰乙酸转氨酶	guansuancaoxianyisuanzhuananmei
谷物渣	guwuzha
谷甾烷	guzaiwan
谷甾醇	guzaichun
谷甾醇葡糖苷	guzaichunputanggan
谷痒症	guyangzheng
谷盗	gudao
谷秆糖	gugantang
谷胱甘肽	guguanggantai
谷胱甘肽合成酶	guguanggantaihechengmei
谷胱甘肽硫	guguanggantailiu
谷胱甘肽血	guguanggantaixue
谷胱甘肽还原酶	guguanggantaihuanyuanmei
谷胶酪蛋白	gujiaolaodanbai
谷蛋白	gudanbai
谷醇溶蛋白	guchunrongdanbai
豆固醇	douguchun
豆根瘤蛋白	dougenliudanbai
豆清蛋白	douqingdanbai
豆状体	douzhuangti
豆状核	douzhuanghe
豆球蛋白	douqiudanbai
豆甾烯醇	douzaixichun
豆甾烷醇	douzaiwanchun
豆甾醇	douzaichun
豆科植物	doukezhiwu
豆类植物	douleizhiwu
豆胆绿蛋白	doudanlvdanbai
豆荚或果荚	doujiahuoguojia
豆蔻酸甘油酯	doukousuanganyouzhi
豆蔻酸盐	doukousuanyan
豆蔻酸酯	doukousuanzhi
豆蔻醚	doukoumi
豆血红蛋白	douxuehongdanbai
豆象	douxiang
豇豆球蛋白	jiangdouqiudanbai
豌豆凝集素	wandouningjisu
豌豆球蛋白	wandouqiudanbai
豌豆素	wandousu
豌豆骨	wandougu
豚草皮炎	tuncaopiyan
豚鼠组织半抗原	tunshuzuzhibankangyuan
豚鼠组织抗原	tunshuzuzhikangyuan
象征图	xiangzhengtu
象模标本	xiangmobiaoben
象牙果	xiangyaguo
象牙质	xiangyazhi
象甲	xiangjia
象甲等	xiangjiadeng
象皮病	xiangpibing
象皮肿	xiangpizhong
象鼻术	xiangbishu
豪希普氏腔隙	haoxipushiqiangxi
豪氏钳	haoshiqian
豪赛氏动物	haosaishidongwu
豹蛙	baowa
豹蛙肽	baowatai
贝克三体征	beikesantizheng
贝克斯手术	beikesishoushu
贝克痣	beikezhi
贝克肌营养不良	beikejiyingyangbuliang
贝内特角	beineitejiao
贝内特运动	beineiteyundong
贝内特骨折	beineiteguzhe
贝卟啉	beibulin
贝友菌素	beiyoujunsu
贝壳杉烯	beikeshanxi
贝壳杉烯酸	beikeshanxisuan
贝壳状耳	beikezhuanger
贝壳甲综合征	beikejiazonghezheng
贝壳硬蛋白	beikeyingdanbai
贝拉日氏带	beilarishidai
贝格矫治器	beigejiaozhiqi
贝母型	beimuxing
贝母辛碱	beimuxinjian
贝氏硫细菌属	beishiliuxijunshu
贝特彻氏细胞	beitecheshixibao
贝类学	beileixue
贝茨氏拟态	beicishinitai
负互补	fuhubu
负优生学	fuyoushengxue
负协同性	fuxietongxing
负向超螺旋	fuxiangchaoluoxuan
负唇须节	fuchunxujie
负基因控制	fujiyinkongzhi
负干涉	fuganshe
负性期	fuxingqi
负控制	fukongzhi
负掩蔽效应	fuyanbixiaoying
负效应物	fuxiaoyingwu
负染	furan
负染色	furanse
负氮平衡	fudanpingheng
负瓣片	fubanpian
负网间面	fuwangjianmian
负荷运动	fuheyundong
负调控	futiaokong
负调节	futiaojie
负调节物	futiaojiewu
负超螺旋	fuchaoluoxuan
负趋性	fuquxing
负重机器人	fuzhongjiqiren
负链	fulian
负须叶	fuxuye
负鼠	fushu
败育	baiyu
败育卵	baiyuluan
败育种子	baiyuzhongzi
败育花粉	baiyuhuafen
败菌素	baijunsu
败血症型	baixuezhengxing
货架期	huojiaqi
质体	zhiti
质体丝	zhitisi
质体基因	zhitijiyin
质体基因组	zhitijiyinzu
质体小球	zhitixiaoqiu
质体突变	zhititubian
质体系	zhitixi
质体缺失	zhitiqueshi
质体蓝素	zhitilansu
质体遗传	zhitiyichuan
质体遗传系	zhitiyichuanxi
质体醌	zhitikun
质壁分离	zhibifenli
质壁分离复原	zhibifenlifuyuan
质外体	zhiwaiti
质子动势	zhizidongshi
质子化作用	zhizihuazuoyong
质子受体	zhizishouti
质子碱	zhizijian
质子磁共振	zhizicigongzhen
质子移变作用	zhiziyibianzuoyong
质子迁移	zhiziqianyi
质子酸	zhizisuan
质杂种细胞	zhizazhongxibao
质液态	zhiyetai
质甾	zhizai
质稍韧	zhishaoren
质粒	zhili
质粒不相容性	zhilibuxiangrongxing
质粒亲和性	zhiliqinhexing
质粒复制子	zhilifuzhizi
质粒工程	zhiligongcheng
质粒拯救	zhilizhengjiu
质粒消除	zhilixiaochu
质粒相容性	zhilixiangrongxing
质粒纯化	zhilichunhua
质粒载体	zhilizaiti
质脂	zhizhi
质膜	zhimo
质膜体	zhimoti
质膜外泡	zhimowaipao
质谱	zhipu
质谱仪	zhipuyi
质谱分析	zhipufenxi
质谱分析法	zhipufenxifa
质谱学	zhipuxue
质配	zhipei
质量性状	zhiliangxingzhuang
贪氧性	tanyangxing
贪食症	tanshizheng
贫污水	pinwushui
贫血性梗死	pinxuexinggengsi
贫血痣	pinxuezhi
贮存液	zhucunye
贮存物	zhucunwu
贮存脂类	zhucunzhilei
贮存脂肪	zhucunzhifang
贮气囊	zhuqinang
贮物胞	zhuwubao
贮精囊	zhujingnang
贮胺小体	zhuanxiaoti
贮藏淀粉	zhucangdianfen
贮藏蛋白	zhucangdanbai
贯穿缝合	guanchuanfenghe
贯穿褥式缝合	guanchuanrushifenghe
贯通伤	guantongshang
贲门	benmen
贲门上部	benmenshangbu
贲门室	benmenshi
贲门成形术	benmenchengxingshu
贲门瓣	benmenban
贲门窦	benmendou
贲门肌切开术	benmenjiqiekaishu
贴壁因子	tiebiyinzi
贴壁培养	tiebipeiyang
贴壁细胞	tiebixibao
费勃莱氏病	feibolaishibing
费城染色体	feichengranseti
费尔德结构	feierdejiegou
费尔综合征	feierzonghezheng
费林氏溶液	feilinshirongye
费林氏试验	feilinshishiyan
费林试剂	feilinshiji
贾努齐氏新月形腺细胞	jianuqishixinyuexingxianxibao
贾第虫病	jiadichongbing
资源保护区	ziyuanbaohuqu
赋形剂	fuxingji
赖斯纳膜	laisinamo
赖氏脑髓坏死病	laishinaosuihuaisibing
赖氨甲四环素	laianjiasihuansu
赖氨酰	laianxian
赖氨酰基	laianxianji
赖氨酰本胶原羟化酶	laianxianbenjiaoyuanqianghuamei
赖氨酰氧化酶	laianxianyanghuamei
赖氨酰氨基腺苷	laianxiananjixiangan
赖氨酰舒缓激肽	laianxianshuhuanjitai
赖氨酸	laiansuan
赖氨酸不耐性	laiansuanbunaixing
赖氨酸消旋酶	laiansuanxiaoxuanmei
赖氨酸脂质	laiansuanzhizhi
赖氨酸脱羧酶	laiansuantuosuomei
赖氨酸过多血	laiansuanguoduoxue
赖氨酸过多血症	laiansuanguoduoxuezheng
赖氨醛	laianquan
赖特氏效应	laiteshixiaoying
赘状瘢痕	zhuizhuangbanhen
赘生指	zhuishengzhi
赘生物	zhuishengwu
赘生物形成素	zhuishengwuxingchengsu
赘花柱	zhuihuazhu
赘骨	zhuigu
赛卡平	saikaping
赛姆截肢术	saimujiezhishu
赤松素	chisongsu
赤眼蜂属	chiyanfengshu
赤藓糖	chixiantang
赤藓糖构型	chixiantanggouxing
赤藓糖醇	chixiantangchun
赤藓素	chixiansu
赤藓酮糖	chixiantongtang
赤道下新月	chidaoxiaxinyue
赤道体	chidaoti
赤道成对沟状孔	chidaochengduigouzhuangkong
赤道板	chidaoban
赤道沟	chidaogou
赤道角	chidaojiao
赤道轴	chidaozhou
赤道部	chidaobu
赤道键	chidaojian
赤道雨林	chidaoyulin
赤道面	chidaomian
赤霉低酸	chimeidisuan
赤霉烯酸	chimeixisuan
赤霉素	chimeisu
赤霉素烷	chimeisuwan
赤霉素酮	chimeisutong
赤霉芴	chimeiwu
赤霉酸	chimeisuan
赫令体	helingti
赫尔拉氏综合征	heerlashizonghezheng
赫曼斯基	hemansiji
赫氏病	heshibing
赫特维希上皮根鞘	heteweixishangpigenqiao
赫胥黎氏层	hexulishiceng
赭石型三联体	zheshixingsanlianti
赭石型突变	zheshixingtubian
赭石密码子	zheshimimazi
赭石抑制基因	zheshiyizhijiyin
赭石突变	zheshitubian
赭石突变体	zheshitubianti
赭石突变型	zheshitubianxing
赭石质	zheshizhi
走触性	zouchuxing
起偏振镜	qipianzhenjing
起动密码子	qidongmimazi
起动部位	qidongbuwei
起始位点	qishiweidian
起始分子	qishifenzi
起始前伸展	qishiqianshenzhan
起始前复合物	qishiqianfuhewu
起始区	qishiqu
起始因子	qishiyinzi
起始培养物	qishipeiyangwu
起始复合物	qishifuhewu
起始密码子	qishimimazi
起始序列	qishixulie
起始物	qishiwu
起始罚分	qishifafen
起始量	qishiliang
起搏反应	qibofanying
起搏点	qibodian
起搏神经元	qiboshenjingyuan
起泡发酵	qipaofajiao
起源中心说	qiyuanzhongxinshuo
起疱	qipao
起疱剂	qipaoji
超上位作用	chaoshangweizuoyong
超临界温度液层析	chaolinjiewenduyecengxi
超临界温度液色谱法	chaolinjiewenduyesepufa
超二倍体	chaoerbeiti
超二级结构	chaoerjijiegou
超亚植物群丛	chaoyazhiwuquncong
超产菌种	chaochanjunzhong
超优势度	chaoyoushidu
超优势种	chaoyoushizhong
超倍体	chaobeiti
超倍性	chaobeixing
超免疫法	chaomianyifa
超免疫状态	chaomianyizhuangtai
超分子	chaofenzi
超分子结构	chaofenzijiegou
超刺激电疗法	chaocijidianliaofa
超前凝聚染色体	chaoqianningjuranseti
超前控制	chaoqiankongzhi
超卷曲	chaojuanqu
超变区	chaobianqu
超变密码子	chaobianmimazi
超基因	chaojiyin
超增效现象	chaozengxiaoxianxiang
超声回波图	chaoshenghuibotu
超声处理	chaoshengchuli
超声振荡	chaoshengzhendang
超声振荡器	chaoshengzhendangqi
超声损伤	chaoshengsunshang
超声探伤仪	chaoshengtanshangyi
超声波仪	chaoshengboyi
超声波离子导入机	chaoshengbolizidaoruji
超声洁治器	chaoshengjiezhiqi
超声洁治术	chaoshengjiezhishu
超声洗涤	chaoshengxidi
超声测量技术	chaoshengceliangjishu
超声疗法	chaoshengliaofa
超声监测	chaoshengjiance
超声破碎	chaoshengposui
超声碎石术	chaoshengsuishishu
超声细胞破碎	chaoshengxibaoposui
超声美容术	chaoshengmeirongshu
超声诊断法	chaoshengzhenduanfa
超声调制中频电疗法	chaoshengtiaozhizhongpindianliaofa
超声透入疗法	chaoshengtouruliaofa
超声间动电疗法	chaoshengjiandongdianliaofa
超声雾化吸入法	chaoshengwuhuaxirufa
超多倍体	chaoduobeiti
超家族	chaojiazu
超常增生	chaochangzengsheng
超常状态	chaochangzhuangtai
超微吞噬作用	chaoweitunshizuoyong
超微子	chaoweizi
超微放射自显影术	chaoweifangshezixianyingshu
超微灰化法	chaoweihuihuafa
超微生物	chaoweishengwu
超微电极	chaoweidianji
超微粒体	chaoweiliti
超微结构	chaoweijiegou
超微结构病理学	chaoweijiegoubinglixue
超微结构细胞化学	chaoweijiegouxibaohuaxue
超微量	chaoweiliang
超微量化学	chaoweilianghuaxue
超急性排斥反应	chaojixingpaichifanying
超急排斥	chaojipaichi
超感染	chaoganran
超感染免疫	chaoganranmianyi
超扭曲	chaoniuqu
超抑制基因	chaoyizhijiyin
超抗原	chaokangyuan
超操纵子控制	chaocaozongzikongzhi
超敏位点	chaominweidian
超敏性	chaominxing
超敏感性	chaominganxing
超数感染	chaoshuganran
超数排卵	chaoshupailuan
超数染色体	chaoshuranseti
超数精核	chaoshujinghe
超显微	chaoxianwei
超显微术	chaoxianweishu
超显微镜	chaoxianweijing
超显性	chaoxianxing
超最适度	chaozuishidu
超极化	chaojihua
超棒眼	chaobangyan
超氧	chaoyang
超氧化物	chaoyanghuawu
超氧化物歧化酶	chaoyanghuawuqihuamei
超氧化物自由基	chaoyanghuawuziyouji
超氧物歧化酶	chaoyangwuqihuamei
超氧离子	chaoyanglizi
超沉淀作用	chaochendianzuoyong
超活染色	chaohuoranse
超滤作用	chaolvzuoyong
超滤器	chaolvqi
超滤室	chaolvshi
超滤液	chaolvye
超演替顶极	chaoyantidingji
超环	chaohuan
超甲基化	chaojiajihua
超甲基化作用	chaojiajihuazuoyong
超病毒	chaobingdu
超痕量元素	chaohenliangyuansu
超短波疗法	chaoduanboliaofa
超短波透热	chaoduanbotoure
超种	chaozhong
超精细分裂	chaojingxifenlie
超级模板	chaojimuban
超薄冷冻切片术	chaobaolengdongqiepianshu
超薄切片	chaobaoqiepian
超薄切片术	chaobaoqiepianshu
超薄切片机	chaobaoqiepianji
超螺旋	chaoluoxuan
超螺旋化	chaoluoxuanhua
超螺线管	chaoluoxianguan
超视微粒	chaoshiweili
超视粒	chaoshili
超诱导	chaoyoudao
超诱导突变型	chaoyoudaotubianxing
超调变作用	chaodiaobianzuoyong
超过滤性病毒	chaoguolvxingbingdu
超速离心	chaosulixin
超速离心机	chaosulixinji
超速离心法	chaosulixinfa
超量原子百分数	chaoliangyuanzibaifenshu
超阈值	chaoyuzhi
超阻遏突变型	chaozuetubianxing
超雄性	chaoxiongxing
超雌	chaoci
超雌性	chaocixing
超顶极	chaodingji
超顶极植物群落	chaodingjizhiwuqunluo
超驱动阻抑	chaoqudongzuyi
超高分辨率	chaogaofenbianlv
超高温灭菌法	chaogaowenmiejunfa
越冬场所	yuedongchangsuo
越冬孢子	yuedongbaozi
越冬巢	yuedongchao
越冬性	yuedongxing
越子午线飞行	yueziwuxianfeixing
越桔色苷	yuejusegan
越桔酯	yuejuzhi
越种进化	yuezhongjinhua
越隔纤维	yuegexianwei
趋中性	quzhongxing
趋偏	qupian
趋偏振光性	qupianzhenguangxing
趋光性	quguangxing
趋光群聚	quguangqunju
趋化作用	quhuazuoyong
趋化因子	quhuayinzi
趋化应答	quhuayingda
趋化性	quhuaxing
趋化源性	quhuayuanxing
趋压性	quyaxing
趋合子性	quhezixing
趋同群落	qutongqunluo
趋同进化	qutongjinhua
趋同适应	qutongshiying
趋地性	qudixing
趋声性	qushengxing
趋实体性	qushitixing
趋异	quyi
趋异进化	quyijinhua
趋张力性	quzhanglixing
趋性	quxing
趋日性	qurixing
趋暗性	quanxing
趋气性	quqixing
趋氧性	quyangxing
趋水性	qushuixing
趋流性	quliuxing
趋渗压性	qushenyaxing
趋渗性	qushenxing
趋温性	quwenxing
趋湿性	qushixing
趋激性	qujixing
趋电性	qudianxing
趋药性	quyaoxing
趋营养性	quyingyangxing
趋触性	quchuxing
趋触细胞	quchuxibao
趋避性	qubixing
趋震性	quzhenxing
趋风性	qufengxing
趋食性	qushixing
趋食行为	qushixingwei
足丝	zusi
足体板	zutiban
足兽	zushou
足分枝菌病	zufenzhijunbing
足分枝菌病细胞	zufenzhijunbingxibao
足刺	zuci
足副舟骨	zufuzhougu
足后体	zuhouti
足后板	zuhouban
足囊	zunang
足底胼胝	zudipianzhi
足月妊娠	zuyuerenshen
足类	zulei
足细胞	zuxibao
足背	zubei
足胞	zubao
足节	zujie
足菌肿	zujunzhong
足跟痛	zugentong
足迹技术	zujijishu
足迹法	zujifa
足鞘	zuqiao
足鳃	zusai
趾关节融合	zhiguanjieronghe
趾型肢	zhixingzhi
趾毛	zhimao
趾炎	zhiyan
趾甲全部移植术	zhijiaquanbuyizhishu
趾甲复合移植术	zhijiafuheyizhishu
趾甲移植术	zhijiayizhishu
趾甲移植物	zhijiayizhiwu
趾甲部分移植术	zhijiabufenyizhishu
趾线	zhixian
趾肢节	zhizhijie
趾行	zhixing
趾行动物群	zhixingdongwuqun
趾行性	zhixingxing
趾钩	zhigou
趾骨	zhigu
跖内收内翻畸形	zhineishouneifanjixing
跖板	zhiban
跖疣	zhiyou
跖行	zhixing
跖行性	zhixingxing
跖角	zhijiao
跖部沟状角化病	zhibugouzhuangjiaohuabing
跖部神经瘤	zhibushenjingliu
跖骨	zhigu
跗亚节	fuyajie
跗分节	fufenjie
跗吸盘	fuxipan
跗基节	fujijie
跗掌	fuzhang
跗杯陷	fubeixian
跗毛	fumao
跗爪	fuzhao
跗端节	fuduanjie
跗肢节	fuzhijie
跗节	fujie
跗跖骨	fuzhigu
跗骨	fugu
距离变换法	julibianhuanfa
距离感受器	juliganshouqi
距离限量	julixianliang
距骨	jugu
距骨周围脱位	juguzhouweituowei
跟腱挛缩	genjianluansuo
跟距骨桥	genjuguqiao
跨细胞运输	kuaxibaoyunshu
跨膜信号发放	kuamoxinhaofafang
跨膜信号转换器	kuamoxinhaozhuanhuanqi
跨膜压	kuamoya
跨膜蛋白质	kuamodanbaizhi
跨膜螺旋	kuamoluoxuan
跨膜转运蛋白	kuamozhuanyundanbai
跨膜通道	kuamotongdao
路因碱	luyinjian
跳弹伤	tiaotanshang
跳查文库	tiaochawenku
跳步文库	tiaobuwenku
跳虫	tiaochong
跳蚤叮咬	tiaozaodingyao
跳行转移	tiaohangzhuanyi
跳跃传导	tiaoyuechuandao
跳跃基因	tiaoyuejiyin
跳跃复制	tiaoyuefuzhi
跳跃性病变	tiaoyuexingbingbian
跳跃进化	tiaoyuejinhua
