# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

下唇正中裂	xiachunzhengzhonglie
下唇瓣	xiachunban
下唇线	xiachunxian
下唇须	xiachunxu
下喙骨	xiahuigu
下壳面	xiakemian
下子座	xiazizuo
下孢囊	xiabaonang
下尾纤毛结构	xiaweixianmaojiegou
下层浮游生物	xiacengfuyoushengwu
下层液	xiacengye
下层自游生物	xiacengziyoushengwu
下担子	xiadanzi
下效基因	xiaxiaojiyin
下斜曲线	xiaxiequxian
下楔	xiaxie
下次小尖	xiacixiaojian
下沉物	xiachenwu
下游加工	xiayoujiagong
下游序列	xiayouxulie
下生殖板	xiashengzhiban
下疳样脓皮病	xiaganyangnongpibing
下皮层	xiapiceng
下皮细胞	xiapixibao
下皮质	xiapizhi
下盘层	xiapanceng
下睑紧缩术	xiajianjinsuoshu
下睑缘	xiajianyuan
下睑袋	xiajiandai
下睑袋修复术	xiajiandaixiufushu
下矢状窦	xiashizhuangdou
下第三系	xiadisanxi
下第二尖	xiadierjian
下系带	xiajidai
下肋凹	xialeiao
下肢不等长	xiazhibudengchang
下胚层	xiapeiceng
下胚轴	xiapeizhou
下胸部	xiaxiongbu
下脊索	xiajisuo
下腋瓣	xiayeban
下腔静脉瓣	xiaqiangjingmaiban
下腹甲	xiafujia
下菌环	xiajunhuan
下行层折	xiaxingcengzhe
下行层析	xiaxingcengxi
下行电流	xiaxingdianliu
下行色谱法	xiaxingsepufa
下行途径	xiaxingtujing
下行通路	xiaxingtonglu
下角层	xiajiaoceng
下身麻痹	xiashenmabi
下转胚珠	xiazhuanpeizhu
下近中颊尖	xiajinzhongjiajian
下锥部	xiazhuibu
下阴片	xiayinpian
下降花序	xiajianghuaxu
下陷气孔	xiaxianqikong
下陷芽	xiaxianya
下静脉	xiajingmai
下颌下腺管	xiahexiaxianguan
下颌下间隙	xiahexiajianxi
下颌中切牙	xiahezhongqieya
下颌中切牙切缘点	xiahezhongqieyaqieyuandian
下颌位	xiahewei
下颌体	xiaheti
下颌切迹	xiaheqieji
下颌前突	xiaheqiantu
下颌升支侧位体层片	xiaheshengzhiceweiticengpian
下颌后缩	xiahehousuo
下颌寄生胎	xiahejishengtai
下颌平面角	xiahepingmianjiao
下颌弓	xiahegong
下颌息止位	xiahexizhiwei
下颌或下颌骨	xiahehuoxiahegu
下颌支截骨术	xiahezhijiegushu
下颌支支架种植体	xiahezhizhijiazhongzhiti
下颌正中囊肿	xiahezhengzhongnangzhong
下颌正中线最低点	xiahezhengzhongxianzuididian
下颌牙	xiaheya
下颌牙槽座点	xiaheyacaozuodian
下颌神经阻滞麻醉	xiaheshenjingzuzhimazui
下颌突	xiahetu
下颌角点	xiahejiaodian
下颌运动	xiaheyundong
下颌运动复制器	xiaheyundongfuzhiqi
下颌运动描记仪	xiaheyundongmiaojiyi
下颌隆凸	xiahelongtu
下颌面骨发育不全	xiahemiangufayubuquan
下颌韧带	xiaherendai
下颌骨侧位投照术	xiaheguceweitouzhaoshu
下颌骨后前位投照术	xiaheguhouqianweitouzhaoshu
下颌骨颜面发育不全	xiaheguyanmianfayubuquan
下颌髁突切除术	xiaheketuqiechushu
下颚基	xiaeji
下颚盲囊	xiaemangnang
下颚突出	xiaetuchu
下鳃盖骨	xiasaigaigu
不亲和性	buqinhexing
不依赖贴壁细胞	buyilaitiebixibao
不允许条件	buyunxutiaojian
不全卵裂	buquanluanlie
不全变态	buquanbiantai
不全变态性	buquanbiantaixing
不全变态类	buquanbiantailei
不全并指	buquanbingzhi
不全并趾	buquanbingzhi
不全抗原	buquankangyuan
不典型增生	budianxingzengsheng
不典型性	budianxingxing
不动关节	budongguanjie
不动孢子	budongbaozi
不动情期	budongqingqi
不动精子	budongjingzi
不动配子	budongpeizi
不匀一性	buyunyixing
不匹配末端	bupipeimoduan
不可动关节	bukedongguanjie
不可转化性	bukezhuanhuaxing
不可逆休克	bukenixiuke
不可逆反应	bukenifanying
不可逆性	bukenixing
不可逆抑制作用	bukeniyizhizuoyong
不可遗传性	bukeyichuanxing
不吸收缝线	buxishoufengxian
不均一性	bujunyixing
不均一核	bujunyihe
不均一核糖核蛋白	bujunyihetanghedanbai
不均一相	bujunyixiang
不均匀分布种群	bujunyunfenbuzhongqun
不均皮质	bujunpizhi
不复位瓣	bufuweiban
不完全个员	buwanquangeyuan
不完全分解	buwanquanfenjie
不完全变态	buwanquanbiantai
不完全抗体	buwanquankangti
不完全抗原	buwanquankangyuan
不完全显性	buwanquanxianxing
不完全结晶体	buwanquanjiejingti
不完全连锁基因	buwanquanliansuojiyin
不完善切除	buwanshanqiechu
不定原植体	budingyuanzhiti
不定根	budinggen
不定群体	budingqunti
不定胚	budingpei
不定芽	budingya
不对称乳房	buduichenrufang
不对称单位	buduichendanwei
不对称发育	buduichenfayu
不对称现象	buduichenxianxiang
不对称碳	buduichentan
不对称联体儿	buduichenliantier
不对称转录	buduichenzhuanlu
不带电残基	budaidiancanji
不平均分布	bupingjunfenbu
不平衡易位	bupinghengyiwei
不应状态	buyingzhuangtai
不成链相互作用	buchenglianxianghuzuoyong
不扩散钙	bukuosangai
不挥发脂肪酸百分数	buhuifazhifangsuanbaifenshu
不接合	bujiehe
不敏感性	buminganxing
不整齐花	buzhengqihua
不染色的细胞	buransedexibao
不法转运	bufazhuanyun
不法输运	bufashuyun
不活动生活	buhuodongshenghuo
不活泼终产物	buhuopozhongchanwu
不活泼终端复合体	buhuopozhongduanfuheti
不活泼终端抑制剂	buhuopozhongduanyizhiji
不溶性	burongxing
不溶性脂酶	burongxingzhimei
不溶性酶	burongxingmei
不溶酚醛树脂	burongfenquanshuzhi
不溶酶	burongmei
不生孢子的酵母	bushengbaozidejiaomu
不生氧光合作用	bushengyangguanghezuoyong
不皂化脂质	buzaohuazhizhi
不相匹配的骨髓移植	buxiangpipeidegusuiyizhi
不相容基团	buxiangrongjituan
不相容质粒	buxiangrongzhili
不稔性	burenxing
不稳定基因	buwendingjiyin
不稳定外毒素	buwendingwaidusu
不稳定性萎缩瘢痕	buwendingxingweisuobanhen
不稳定突变	buwendingtubian
不稳定酶	buwendingmei
不等世代纲	budengshidaigang
不等二歧分枝	budengerqifenzhi
不等互换	budenghuhuan
不等交换	budengjiaohuan
不等分布	budengfenbu
不等叶性	budengyexing
不等四边形	budengsibianxing
不等瓣壳	budengbanke
不等细胞型	budengxibaoxing
不等鞭毛	budengbianmao
不等鞭毛藻类	budengbianmaozaolei
不纯乳酸发酵	buchunrusuanfajiao
不纯核黄素	buchunhehuangsu
不结合	bujiehe
不耐性	bunaixing
不耐热性	bunairexing
不耐热抗体	bunairekangti
不联会	bulianhui
不育化	buyuhua
不育心皮	buyuxinpi
不育性	buyuxing
不育性保持系	buyuxingbaochixi
不育担子	buyudanzi
不育雄蕊	buyuxiongrui
不被压制胰岛素样活性多肽	bubeiyazhiyidaosuyanghuoxingduotai
