# 泰深输入法专业词库 — astronomy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
氐宿增一	disuzengyi
娄宿三	loususan
斯图拉谷	situlagu
梅西爾馬拉松	meixiermalasong
婁宿增六	lousuzengliu
木卫二十二	muweiershier
天市右垣二	tianshiyouyuaner
米每二次方秒	mimeiercifangmiao
中天	zhongtian
猫座	maozuo
沙西尼陨石	shaxiniyunshi
畢宿星團	bisuxingtuan
閣道增一	gedaozengyi
近異雀九	jinyiquejiu
杠增一	gangzengyi
朱拉曆	zhulali
机器人瓦力	jiqirenwali
卷舌增二	juanshezenger
常陳七	changchenqi
羽林軍廿四	yulinjunniansi
偕日升	xierisheng
依帝安星	yidianxing
尾宿三	weisusan
大氣折射	daqizheshe
平太阳	pingtaiyang
軒轅十	xuanyuanshi
斯坦诺陨击坑	sitannuoyunjikeng
次矮星	ciaixing
春季大弧線	chunjidahuxian
钦天监	qintianjian
離宮一	ligongyi
青丘一	qingqiuyi
發條宇宙	fatiaoyuzhou
裕神星	yushenxing
天爐座矮星系	tianluzuoaixingxi
宇航日	yuhangri
國際天文聯會	guojitianwenlianhui
井宿增五	jingsuzengwu
北齋撞擊坑	beizhaizhuangjikeng
视宁度	shiningdu
南風車星系	nanfengchexingxi
凱克天文台	kaiketianwentai
道谷	daogu
系外行星列表	xiwaixingxingliebiao
八穀增卅二	baguzengsaer
天狗六	tiangouliu
宗人增二	zongrenzenger
积薪增二	jixinzenger
视星等	shixingdeng
水星地質	shuixingdizhi
七政	qizheng
七月流火	qiyueliuhuo
麦凯湖	maikaihu
星風泡	xingfengpao
砺石三	lishisan
天卫十三	tianweishisan
中段閃爍	zhongduanshanshuo
外厨增十六	waichuzengshiliu
尾宿四	weisusi
冰矮星	bingaixing
太空核能	taikongheneng
经验温标	jingyanwenbiao
漢堡天文台	hanbaotianwentai
羽林軍六	yulinjunliu
伐三	fasan
西芙山	xifushan
英仙臂	yingxianbi
北斗七星	beidouqixing
王良增十	wangliangzengshi
井宿增十三	jingsuzengshisan
大陵增三	dalingzengsan
亚美尼亚历法	yameiniyalifa
天津二	tianjiner
矮橢圓星系	aituoyuanxingxi
河鼓二	heguer
角宿增十六	jiaosuzengshiliu
船帆座	chuanfanzuo
天槍三	tianqiangsan
原星系	yuanxingxi
农历五月	nongliwuyue
云雨一	yunyuyi
人四	rensi
天津增廿八	tianjinzengnianba
数学宇宙假说	shuxueyuzhoujiashuo
風車星系	fengchexingxi
每分钟计数	meifenzhongjishu
靈魂星雲	linghunxingyun
平年	pingnian
天文学家	tianwenxuejia
絕對星等	jueduixingdeng
巨爵座	jujuezuo
傳舍	chuanshe
波辛彗星	boxinhuixing
定位尺	dingweichi
亮度溫度	liangduwendu
天体演化学	tiantiyanhuaxue
火星间歇泉	huoxingjianxiequan
娄宿增十三	lousuzengshisan
臼增一	jiuzengyi
亮星星表	liangxingxingbiao
天廚二	tianchuer
宇宙视界	yuzhoushijie
奚仲增三	xizhongzengsan
尚書三	shangshusan
哈雷陨击坑	haleiyunjikeng
獵戶腰帶	liehuyaodai
鳥喙五	niaohuiwu
大泉天文台	daquantianwentai
让森奖章	rangsenjiangzhang
上海天文馆	shanghaitianwenguan
大陵增五	dalingzengwu
本地空洞	bendikongdong
參旗增七	canqizengqi
冰火山	binghuoshan
十字架四	shizijiasi
天津增十九	tianjinzengshijiu
諸王增一	zhuwangzengyi
荷塘月色	hetangyuese
天大將軍四	tiandajiangjunsi
諸王增二	zhuwangzenger
大爆炸简史	dabaozhajianshi
佩蒂特陨击坑	peiditeyunjikeng
蓝移	lanyi
極風	jifeng
小斗九	xiaodoujiu
行星系	xingxingxi
天倉四	tiancangsi
茵陈	yinchen
天文期刊	tianwenqikan
天文導航	tianwendaohang
水位增十一	shuiweizengshiyi
天大将军十一	tiandajiangjunshiyi
天理	tianli
天園三	tianyuansan
海山三	haishansan
羅馬尼亞曆	luomaniyali
超巨星	chaojuxing
無懼勇士	wujuyongshi
天床二	tianchuanger
貫索四	guansuosi
真黃經	zhenhuangjing
右更二	yougenger
天體生物學	tiantishengwuxue
碰撞家族	pengzhuangjiazu
閣道增五	gedaozengwu
向日葵星系	xiangrikuixingxi
问天	wentian
外屏六	waipingliu
尋星鏡	xunxingjing
卑彌呼	beimihu
右旗八	youqiba
左摄提三	zuoshetisan
天龠七	tianyueqi
行星保护	xingxingbaohu
星雲假說	xingyunjiashuo
土公一	tugongyi
天津增十二	tianjinzengshier
閣道一	gedaoyi
阿克巴舖隕石	akebapuyunshi
庫樓一	kulouyi
鳖三	biesan
甲	jia
黄巨星	huangjuxing
邓基循环	dengjixunhuan
等平面斑塊	dengpingmianbankuai
科普特曆	keputeli
月亮的距離	yueliangdejuli
天猫座	tianmaozuo
齐增三	qizengsan
鈇鑕四	fuzhisi
車府增六	chefuzengliu
反地球	fandiqiu
南船增一	nanchuanzengyi
尚書增一	shangshuzengyi
闊邊帽星系	kuobianmaoxingxi
星際分子列表	xingjifenziliebiao
毕宿增三	bisuzengsan
车府增十四	chefuzengshisi
右更三	yougengsan
天大将军增十	tiandajiangjunzengshi
星宿增二	xingsuzenger
光行差	guangxingcha
恋爱小行星	lianaixiaoxingxing
远镜说	yuanjingshuo
尤因山脊	youyinshanji
天仓增九	tiancangzengjiu
天棓增八	tianbangzengba
安傑	anjie
壁宿增十八	bisuzengshiba
參宿增二十六	cansuzengershiliu
左旗增廿三	zuoqizengniansan
柳宿六	liusuliu
七公增十二	qigongzengshier
孔雀增一	kongquezengyi
卡馬爾	kamaer
天苑增十六	tianyuanzengshiliu
水府增六	shuifuzengliu
阿普苏斯谷	apususigu
乾元曆	qianyuanli
貓眼星雲	maoyanxingyun
翼宿十六	yisushiliu
木衛七十二	muweiqishier
九坎四	jiukansi
赫加齐山脊	hejiaqishanji
太空突擊隊	taikongtujidui
超新星列表	chaoxinxingliebiao
日曆年度	riliniandu
毕宿八	bisuba
嗜極生物	shijishengwu
盖基山脊	gaijishanji
重修大明曆	zhongxiudamingli
老人增二	laorenzenger
土卫十六	tuweishiliu
星宿七	xingsuqi
臼增二	jiuzenger
日凌	riling
进贤增三	jinxianzengsan
導引星	daoyinxing
周增三	zhouzengsan
七公四	qigongsi
格罗特胡森城	geluotehusencheng
謁者	yezhe
太陽門	taiyangmen
相位轉繞誤差	xiangweizhuanraowucha
化學元素豐度	huaxueyuansufengdu
天柱一	tianzhuyi
伊塞顿丘	yisaidunqiu
井宿增十一	jingsuzengshiyi
天大将军九	tiandajiangjunjiu
电离氢区	dianliqingqu
弧矢增卅	hushizengsa
土公增十	tugongzengshi
青丘增二	qingqiuzenger
七公三	qigongsan
修斯陨击坑	xiusiyunjikeng
變星	bianxing
天淵增二	tianyuanzenger
奎宿增十六	kuisuzengshiliu
九州殊口三	jiuzhoushukousan
