# 泰深输入法专业词库 — chemistry
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
施泰特尔反应	shitaiteerfanying
八氯化四金	balvhuasijin
氯化二茂钇	lvhuaermaoyi
环阿屯烷	huanatunwan
氯丁烷	lvdingwan
癸酮	guitong
乙酸铀酰	yisuanyouxian
吸收池	xishouchi
煤气化	meiqihua
氯化锕	lvhuaa
化学物质列表	huaxuewuzhiliebiao
卤代甲烷	ludaijiawan
聚谷氨酸	juguansuan
偕二甲基效应	xieerjiajixiaoying
双氢键	shuangqingjian
玉米黃質	yumihuangzhi
托法娜仙液	tuofanaxianye
空燃比	kongranbi
钱旭红	qianxuhong
四氢哈尔酚	siqinghaerfen
洗脱曲线	xituoquxian
重叠积分	zhongdiejifen
二十碳四烯酸	ershitansixisuan
乌吉反应	wujifanying
硝酸鋰	xiaosuanli
侯增广	houzengguang
硝酸亚铊	xiaosuanyata
武兹反应	wuzifanying
甘油酸	ganyousuan
常山碱	changshanjian
甘氨酸盐酸盐	ganansuanyansuanyan
二硝基苯甲酸	erxiaojibenjiasuan
化學元素豐度	huaxueyuansufengdu
氟化铵	fuhuaan
二級結構	erjijiegou
妥拉唑啉	tuolazuolin
三氧化二溴	sanyanghuaerxiu
醫療級光觸媒	yiliaojiguangchumei
摩尔体积	moertiji
唐军旺	tangjunwang
异辛酸钴	yixinsuangu
化学平衡	huaxuepingheng
二氟化二硫	erfuhuaerliu
甲基吲哚	jiajiyinduo
三甲基吡啶	sanjiajibiding
四面体通讯	simiantitongxun
维勒尿素合成	weileiniaosuhecheng
吴浩青	wuhaoqing
庚酸睾酮	gengsuangaotong
包信和	baoxinhe
袁翰青	yuanhanqing
周其林	zhouqilin
四氟丙烷	sifubingwan
弗拉施法	fulashifa
氧化磷	yanghualin
乙碲醇	yidichun
酸性气体	suanxingqiti
三氯苯胺	sanlvbenan
一氧化磷	yiyanghualin
双电层	shuangdianceng
甲酸钴	jiasuangu
饱和	baohe
黄醉椒素	huangzuijiaosu
中国灯笼结构	zhongguodenglongjiegou
共晶转变	gongjingzhuanbian
氢溴酸盐	qingxiusuanyan
钪	kang
放射合成	fangshehecheng
壬酸甲酯	rensuanjiazhi
硝基苯甲酰氯	xiaojibenjiaxianlv
溴苯甲醇	xiubenjiachun
銤	mi
苯二胺	beneran
汪德熙	wangdexi
磁麻苷	cimagan
硝基苯磺酸	xiaojibenhuangsuan
二氟一氯乙烷	erfuyilvyiwan
六氟铝酸铵	liufulvsuanan
四碘乙烷	sidianyiwan
环氧乙烯	huanyangyixi
苯并芴	benbingwu
稀土元素	xituyuansu
硒	xi
內環結構	neihuanjiegou
戴利偵測器	dailizhenceqi
丰益国际	fengyiguoji
细乳液	xiruye
蛋白质复合体	danbaizhifuheti
牛皮纸	niupizhi
氧环丁烯	yanghuandingxi
亚硫酸氢钾	yaliusuanqingjia
地表逕流	dibiaojingliu
溴碘乙烷	xiudianyiwan
铟	yin
三苯基硫化膦	sanbenjiliuhualin
酸度调节剂	suandudiaojieji
揮發性	huifaxing
硝酸四氨合铜	xiaosuansianhetong
爆震速度表	baozhensudubiao
一硝基甲苯	yixiaojijiaben
克酮酸	ketongsuan
超氧化锂	chaoyanghuali
華仁行化工廠	huarenxinghuagongchang
周环反应	zhouhuanfanying
亲电芳香取代	qindianfangxiangqudai
吳妍華	wuyanhua
氨基苯硫酚	anjibenliufen
渗透	shentou
结构因子	jiegouyinzi
氟碘乙烷	fudianyiwan
氟苯甲醛	fubenjiaquan
中子衍射技术	zhongziyanshejishu
异土木香内酯	yitumuxiangneizhi
神秘法師	shenmifashi
伦敦化学学会	lundunhuaxuexuehui
酒精發酵	jiujingfajiao
芳香味化合物	fangxiangweihuahewu
茶黄素	chahuangsu
遺傳物質	yichuanwuzhi
荧烷	yingwan
碘酸镎	diansuanna
萨本茂	sabenmao
活性位点	huoxingweidian
聚醚醯亞胺	jumixiyaan
速率控制步驟	sulvkongzhibuzhou
镨	pu
电离度	dianlidu
氯化	lvhua
四氟化钛	sifuhuatai
三溴丙烷	sanxiubingwan
化學親和性	huaxueqinhexing
碘化铕	dianhuayou
磺基苯甲酸	huangjibenjiasuan
錳酸鈉	mengsuanna
栀子酸	zhizisuan
俄歇电子	exiedianzi
馬德隆常數	madelongchangshu
对映异构	duiyingyigou
噁唑烷二酮	ezuowanertong
氟化锕	fuhuaa
海杧果素	haimangguosu
氧化锑	yanghuati
程镕时	chengrongshi
倾点	qingdian
尼艾酚	niaifen
羟基醌	qiangjikun
流式細胞術	liushixibaoshu
二氯化镱	erlvhuayi
甲基碘化镁	jiajidianhuamei
铯	se
總菌落數檢測	zongjunluoshujiance
三氧化二铈	sanyanghuaershi
氮化铥	danhuadiu
亲核取代反应	qinhequdaifanying
黄量	huangliang
半經典物理學	banjingdianwulixue
熱力學平衡	relixuepingheng
乙酰丙酮钯	yixianbingtongba
谢毅	xieyi
副族元素	fuzuyuansu
比重量	bizhongliang
碲化銣	dihuaru
鿬	tian
灰分	huifen
马钱子苷	maqianzigan
抗静电剂	kangjingdianji
乙醯化	yixihua
环戊五酮	huanwuwutong
酮麝香	tongshexiang
碲化銫	dihuase
有机反应	youjifanying
贝里假旋转	beilijiaxuanzhuan
電化學工程	dianhuaxuegongcheng
氟化氢根	fuhuaqinggen
重铀酸铵	zhongyousuanan
乙酸四氢糠酯	yisuansiqingkangzhi
库仑积分	kulunjifen
哌啶甲酸	paidingjiasuan
世界	shijie
氘代二氯甲烷	daodaierlvjiawan
三氯化铀	sanlvhuayou
含氧酸	hanyangsuan
甲基化	jiajihua
六羟基黄酮	liuqiangjihuangtong
氧化亚铊	yanghuayata
梅子布丁模型	meizibudingmoxing
生物有机化学	shengwuyoujihuaxue
氧化态	yanghuatai
十億分比	shiyifenbi
四羟基蒽醌	siqiangjienkun
庚炔	genggui
活化	huohua
晶体结构	jingtijiegou
碘苯磺酸	dianbenhuangsuan
二碘丁烷	erdiandingwan
萘甲酸	naijiasuan
蝾螈定	rongyuanding
羟基萘醌	qiangjinaikun
四溴化铂	sixiuhuabo
鋁酸鍶	lvsuansong
苯六甲酸	benliujiasuan
溶解	rongjie
宋礼成	songlicheng
羟基雌二醇	qiangjicierchun
磷酸二氢钠	linsuanerqingna
周永元	zhouyongyuan
花生醇	huashengchun
甲氧基色胺	jiayangjisean
羟基丙酮酸	qiangjibingtongsuan
自避行走	zibixingzou
草酸鈉	caosuanna
酸鹼中和滴定	suanjianzhonghediding
拉比周期	labizhouqi
聚苯二甲酰胺	jubenerjiaxianan
糠胺	kangan
核素圖	hesutu
二氧化砷	eryanghuashen
苯甲酸香叶酯	benjiasuanxiangyezhi
三氯丙烯	sanlvbingxi
金属离子	jinshulizi
胶原凝集素	jiaoyuanningjisu
对角线规则	duijiaoxianguize
苯酚品红溶液	benfenpinhongrongye
苜蓿内酯	muxuneizhi
共晶体	gongjingti
碘酸铝	diansuanlv
體積	tiji
莳萝醚	shiluomi
二磷酸甘油酸	erlinsuanganyousuan
拉莫爾進動	lamoerjindong
赤藓糖	chixiantang
王灼	wangzhuo
烟毒素	yandusu
喹诺酮	kuinuotong
乙腈性质表	yijingxingzhibiao
消除反应	xiaochufanying
配位异构	peiweiyigou
紫铆因	zimaoyin
二氟丁烷	erfudingwan
戊酸睾酮	wusuangaotong
硅	gui
过饱和	guobaohe
化学物质	huaxuewuzhi
三十一酸	sanshiyisuan
异构化反应	yigouhuafanying
盐酸氨丙啉	yansuananbinglin
能级	nengji
吹氣成型	chuiqichengxing
摩擦發光	mocafaguang
假想化合物	jiaxianghuahewu
物质状态	wuzhizhuangtai
飞秒化学	feimiaohuaxue
黑色金属	heisejinshu
