# 泰深输入法专业词库 — 法律
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一上班	yishangban
产权交易信息发布	chanquanjiaoyixinxifabu
产权分割	chanquanfenge
产权制度改革	chanquanzhidugaige
产权变更	chanquanbiangeng
产权或有变动事项	chanquanhuoyoubiandongshixiang
产权残缺	chanquancanque
产权瑕疵	chanquanxiaci
产权界定	chanquanjieding
产权登记	chanquandengji
产权登记证	chanquandengjizheng
产权登记面积	chanquandengjimianji
产权设定	chanquansheding
产量分成合同	chanliangfenchenghetong
产销衔接	chanxiaoxianjie
享乐价格法	xianglejiagefa
亮证执法制度	liangzhengzhifazhidu
亲子关系准据法	qinziguanxizhunjufa
亲属法专论	qinshufazhuanlun
亲生父亲或母亲	qinshengfuqinhuomuqin
人事代理制度	renshidailizhidu
人事监督	renshijiandu
人事聘用合同	renshipinyonghetong
人体器官移植条例	rentiqiguanyizhitiaoli
人员监督	renyuanjiandu
人均国内生产总值	renjunguoneishengchanzongzhi
人大代表议案	rendadaibiaoyian
人性化执法	renxinghuazhifa
人才派遣法	rencaipaiqianfa
人才贡献率	rencaigongxianlv
人权和公民权宣言	renquanhegongminquanxuanyan
人格权法专论	rengequanfazhuanlun
人民币升值压力	renminbishengzhiyali
人民币汇率法案	renminbihuilvfaan
人民币管理条例	renminbiguanlitiaoli
人民政治协商会议	renminzhengzhixieshanghuiyi
人民检察院组织法	renminjianchayuanzuzhifa
人民法庭书记员	renminfatingshujiyuan
人民法院审判案件	renminfayuanshenpananjian
人民法院组织法	renminfayuanzuzhifa
人民监督员制度	renminjianduyuanzhidu
人民解放军财务部	renminjiefangjuncaiwubu
人民调解员素质	renmintiaojieyuansuzhi
人民陪审员制度	renminpeishenyuanzhidu
人禽流感诊疗方案	renqinliuganzhenliaofangan
人类生殖科技条例	renleishengzhikejitiaoli
人类精子库	renleijingziku
人行横道线	renxinghengdaoxian
亿霖木业	yilinmuye
仇嫌回避原则	chouxianhuibiyuanze
今日说法故事精选	jinrishuofagushijingxuan
介绍贿赂罪	jieshaohuiluzui
介绍贿赂行为	jieshaohuiluxingwei
从一重处断	congyizhongchuduan
从传统到现代	congchuantongdaoxiandai
从传统到近代	congchuantongdaojindai
从债务人	congzhaiwuren
从债权	congzhaiquan
从属专利	congshuzhuanli
从属权利要求	congshuquanliyaoqiu
从新兼从轻原则	congxinjiancongqingyuanze
从民事法律行为	congminshifalvxingwei
从法律行为	congfalvxingwei
从给付义务	congjifuyiwu
从重处罚	congzhongchufa
仓储保管人	cangchubaoguanren
仓储保管合同	cangchubaoguanhetong
仓储保管合同实务	cangchubaoguanhetongshiwu
仓储合同	cangchuhetong
仓单持有人	cangdanchiyouren
仓库契约	cangkuqiyue
仓库租赁合同	cangkuzulinhetong
仓库管理制度	cangkuguanlizhidu
他项权利登记	taxiangquanlidengji
付款委托	fukuanweituo
代为清偿	daiweiqingchang
代为给付	daiweijifu
代位执行	daiweizhixing
代位权制度	daiweiquanzhidu
代位权诉讼	daiweiquansusong
代位权诉讼制度	daiweiquansusongzhidu
代位求偿权	daiweiqiuchangquan
代位清偿	daiweiqingchang
代写文书	daixiewenshu
代执行	daizhixing
代物清偿	daiwuqingchang
代理出口合同	dailichukouhetong
代理协议	dailixieyi
代理席位	dailixiwei
代理房地产买卖	dailifangdichanmaimai
代理房地产转让	dailifangdichanzhuanrang
代理控告	dailikonggao
代理收付款项	dailishoufukuanxiang
代理法律适用公约	dailifalvshiyonggongyue
以出顶进	yichudingjin
以卑犯尊	yibeifanzun
以德配天	yidepeitian
以拘代捕	yijudaibu
以格代科	yigedaike
仲裁协议效力	zhongcaixieyixiaoli
仲裁协议效力异议	zhongcaixieyixiaoliyiyi
仲裁地	zhongcaidi
仲裁机构	zhongcaijigou
仲裁案例选编	zhongcaianlixuanbian
仲裁第三人制度	zhongcaidisanrenzhidu
仲裁被诉人	zhongcaibeisuren
仲裁裁决	zhongcaicaijue
仲裁解决法	zhongcaijiejuefa
价值位阶原则	jiazhiweijieyuanze
价值分析业务	jiazhifenxiyewu
价值判断	jiazhipanduan
价值形成过程	jiazhixingchengguocheng
价值理性	jiazhilixing
价值目标	jiazhimubiao
价格保护	jiagebaohu
价格形成机制	jiagexingchengjizhi
价格承诺	jiagechengnuo
价格指标	jiagezhibiao
价格放开	jiagefangkai
价格欺诈	jiageqizha
价格监测规定	jiagejianceguiding
价格监督检查	jiagejiandujiancha
价格管理机构	jiageguanlijigou
价格统计制度	jiagetongjizhidu
价格评估管理办法	jiagepingguguanlibanfa
价格违法行为	jiageweifaxingwei
任前公示制	renqiangongshizhi
任意性规定	renyixingguiding
任职前公示制	renzhiqiangongshizhi
任职试用期制度	renzhishiyongqizhidu
仿冒行为	fangmaoxingwei
仿制药品审批办法	fangzhiyaopinshenpibanfa
企业一般制度	qiyeyibanzhidu
企业专利工作办法	qiyezhuanligongzuobanfa
企业产权制度	qiyechanquanzhidu
企业产权界定	qiyechanquanjieding
企业人事管理制度	qiyerenshiguanlizhidu
企业人员行贿罪	qiyerenyuanxinghuizui
企业债券管理条例	qiyezhaiquanguanlitiaoli
企业债券罪	qiyezhaiquanzui
企业兼并	qiyejianbing
企业兼并合同纠纷	qiyejianbinghetongjiufen
企业兼并重组	qiyejianbingchongzu
企业创新决策	qiyechuangxinjuece
企业制度	qiyezhidu
企业合并	qiyehebing
企业名称权	qiyemingchengquan
企业国有产权	qiyeguoyouchanquan
企业家协会	qiyejiaxiehui
企业工会工作条例	qiyegonghuigongzuotiaoli
企业年度检验办法	qiyeniandujianyanbanfa
企业年金试行办法	qiyenianjinshixingbanfa
企业年金试行方案	qiyenianjinshixingfangan
企业承包合同	qiyechengbaohetong
企业承包经营合同	qiyechengbaojingyinghetong
企业投资自主权	qiyetouzizizhuquan
企业挂靠	qiyeguakao
企业效益	qiyexiaoyi
企业治理结构	qiyezhilijiegou
企业法人登记条例	qiyefarendengjitiaoli
企业法律风险管理	qiyefalvfengxianguanli
企业法律风险防范	qiyefalvfengxianfangfan
企业注册局	qiyezhuceju
企业登记代理	qiyedengjidaili
企业登记公示制度	qiyedengjigongshizhidu
企业登记程序规定	qiyedengjichengxuguiding
企业租赁经营合同	qiyezulinjingyinghetong
企业章程	qiyezhangcheng
企业管理委员会	qiyeguanliweiyuanhui
企业经营决策	qiyejingyingjuece
企业经营自主权	qiyejingyingzizhuquan
企业维持	qiyeweichi
企业职工奖惩条例	qiyezhigongjiangchengtiaoli
企业设备管理制度	qiyeshebeiguanlizhidu
企业财产保险合同	qiyecaichanbaoxianhetong
企业财产制度	qiyecaichanzhidu
企业转让	qiyezhuanrang
企业集团战略	qiyejituanzhanlve
伊斯兰委员会	yisilanweiyuanhui
优先承租权	youxianchengzuquan
优先采矿权	youxiancaikuangquan
优化资源配置	youhuaziyuanpeizhi
优惠原产地规则	youhuiyuanchandiguize
优惠成交法	youhuichengjiaofa
优抚安置	youfuanzhi
优抚安置制度	youfuanzhizhidu
优抚家庭子女	youfujiatingzinv
优楼频螺迦叶	youloupinluojiaye
优者危险负担原则	youzheweixianfudanyuanze
优者危险责任	youzheweixianzeren
优良种畜登记规则	youliangzhongchudengjiguize
会员分级结算制度	huiyuanfenjijiesuanzhidu
会展法	huizhanfa
会展法规	huizhanfagui
会展知识产权	huizhanzhishichanquan
会社法	huishefa
会计人员职权条例	kuaijirenyuanzhiquantiaoli
会计信息产权	kuaijixinxichanquan
会计地方法规	kuaijidifangfagui
会计基础工作规范	kuaijijichugongzuoguifan
会计档案管理办法	kuaijidanganguanlibanfa
会计法律制度	kuaijifalvzhidu
会计法律责任	kuaijifalvzeren
会计职业判断能力	kuaijizhiyepanduannengli
传媒责任险	chuanmeizerenxian
传播性病罪	chuanboxingbingzui
传染病防治法	chuanranbingfangzhifa
伤残就业补助金	shangcanjiuyebuzhujin
伤残抚恤管理办法	shangcanfuxuguanlibanfa
伤残等级评定	shangcandengjipingding
伤残鉴定如何做	shangcanjiandingruhezuo
伤残鉴定标准	shangcanjiandingbiaozhun
伦维尔协定	lunweierxieding
伪舆论监督	weiyulunjiandu
伪造单据	weizaodanju
伪造国家货币	weizaoguojiahuobi
伪造国家货币罪	weizaoguojiahuobizui
伪造文件	weizaowenjian
伪造有价票证罪	weizaoyoujiapiaozhengzui
伪造有价证券罪	weizaoyoujiazhengquanzui
伪造现场	weizaoxianchang
伪造车票罪	weizaochepiaozui
估价公约	gujiagongyue
住宅保险	zhuzhaibaoxian
住宅权	zhuzhaiquan
住房产权	zhufangchanquan
住房保障托底	zhufangbaozhangtuodi
住房保障法	zhufangbaozhangfa
住房信贷保险	zhufangxindaibaoxian
住房债券	zhufangzhaiquan
住房公积金专户	zhufanggongjijinzhuanhu
住房基金个人帐户	zhufangjijingerenzhanghu
住房权研究	zhufangquanyanjiu
住房货币化	zhufanghuobihua
住房部分产权	zhufangbufenchanquan
住所搜查	zhusuosoucha
住所法	zhusuofa
住院伙食补助费	zhuyuanhuoshibuzhufei
体制改革办公室	tizhigaigebangongshi
体育赛事合同	tiyusaishihetong
