# 泰深输入法专业词库 — 法律
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一上班	yishangban
知识产权研究会	zhishichanquanyanjiuhui
知识产权经营	zhishichanquanjingying
知识产权证券化	zhishichanquanzhengquanhua
知识产权请求权	zhishichanquanqingqiuquan
知识产权转让	zhishichanquanzhuanrang
知识产权转让合同	zhishichanquanzhuanranghetong
知识产权间接侵权	zhishichanquanjianjieqinquan
知识薪酬	zhishixinchou
矫制矫诏	jiaozhijiaozhao
矫正社会工作	jiaozhengshehuigongzuo
石油和化学工业局	shiyouhehuaxuegongyeju
石红英	shihongying
矿业权利	kuangyequanli
矿业权有偿取得	kuangyequanyouchangqude
矿业权管理	kuangyequanguanli
矿产资源所有权	kuangchanziyuansuoyouquan
研究生法学	yanjiushengfaxue
破产债务人	pochanzhaiwuren
破产欺诈罪	pochanqizhazui
破产终结	pochanzhongjie
破坏交通设备罪	pohuaijiaotongshebeizui
破坏名胜古迹罪	pohuaimingshenggujizui
破坏性采矿罪	pohuaixingcaikuangzui
破坏电力设备	pohuaidianlishebei
破坏界碑界桩罪	pohuaijiebeijiezhuangzui
硬式谈判法	yingshitanpanfa
硬贷款	yingdaikuan
硬预算约束	yingyusuanyueshu
社会主义公有制	shehuizhuyigongyouzhi
社会主义市场机制	shehuizhuyishichangjizhi
社会主义法律制定	shehuizhuyifalvzhiding
社会主义法治国家	shehuizhuyifazhiguojia
社会互助	shehuihuzhu
社会互助制度	shehuihuzhuzhidu
社会优抚	shehuiyoufu
社会保险稽核办法	shehuibaoxianjihebanfa
社会公知技术	shehuigongzhijishu
社会化用工	shehuihuayonggong
社会危害性	shehuiweihaixing
社会在职人员	shehuizaizhirenyuan
社会工作案例精选	shehuigongzuoanlijingxuan
社会工作者协会	shehuigongzuozhexiehui
社会文教支出	shehuiwenjiaozhichu
社会治安综合治理	shehuizhianzonghezhili
社会福利法	shehuifulifa
社会集团购买力	shehuijituangoumaili
社保公积金	shebaogongjijin
社保政策	shebaozhengce
社保转出程序	shebaozhuanchuchengxu
社团产权	shetuanchanquan
祖父条款	zufutiaokuan
神州华茂	shenzhouhuamao
票据伪造	piaojuweizao
票据承兑人	piaojuchengduiren
票据收款人	piaojushoukuanren
票据文句	piaojuwenju
票据粘单	piaojuzhandan
票据议付	piaojuyifu
票面价额	piaomianjiae
禁止不当接触制度	jinzhibudangjiechuzhidu
禁止传销条例	jinzhichuanxiaotiaoli
禁止使用童工规定	jinzhishiyongtonggongguiding
禁止双重危险原则	jinzhishuangchongweixianyuanze
禁止权利滥用原则	jinzhiquanlilanyongyuanze
禁止流通物	jinzhiliutongwu
禁止规范	jinzhiguifan
禁止转让背书	jinzhizhuanrangbeishu
禁止酷刑公约	jinzhikuxinggongyue
禁止重复追究原则	jinzhichongfuzhuijiuyuanze
禁止非法使用武力	jinzhifeifashiyongwuli
禁治产宣告	jinzhichanxuangao
禁用标志	jinyongbiaozhi
禁用集束炸弹公约	jinyongjishuzhadangongyue
福利分房制度	fulifenfangzhidu
福州市除四害条例	fuzhoushichusihaitiaoli
离婚协议书	lihunxieyishu
离婚法律问题指南	lihunfalvwentizhinan
离婚财产分割	lihuncaichanfenge
私分罚没财产罪	sifenfamocaichanzui
私募法律	simufalv
私放俘虏罪	sifangfuluzui
私有产权	siyouchanquan
私有财产权	siyoucaichanquan
私立学校法	silixuexiaofa
私自开拆	sizikaichai
私自接受委托	sizijieshouweituo
私营企业法	siyingqiyefa
私营工商业	siyinggongshangye
私营工商业者	siyinggongshangyezhe
私营独资企业	siyingduziqiye
私闯民宅	sichuangminzhai
秋后问斩	qiuhouwenzhan
种子管理条例	zhongziguanlitiaoli
种族血缘	zhongzuxueyuan
种植业保险合同	zhongzhiyebaoxianhetong
科学技术普及法	kexuejishupujifa
科托努协定	ketuonuxieding
科研不端行为	keyanbuduanxingwei
秘密拘捕	mimijubu
秘密权行为	mimiquanxingwei
租借法案	zujiefaan
秦伟立	qinweili
秦半两	qinbanliang
秩序维护员	zhixuweihuyuan
积极贿赂	jijihuilu
移植管理办法	yizhiguanlibanfa
稀土领导小组	xitulingdaoxiaozu
稀缺经济	xiquejingji
程序违法	chengxuweifa
税务代理业务规程	shuiwudailiyewuguicheng
税务尽职调查	shuiwujinzhidiaocha
税务稽查报告	shuiwujichabaogao
税收代征人员	shuishoudaizhengrenyuan
税收优惠政策	shuishouyouhuizhengce
税收保全措施	shuishoubaoquancuoshi
税收单行法	shuishoudanxingfa
税收回报理论	shuishouhuibaolilun
税收强制执行制度	shuishouqiangzhizhixingzhidu
税收强制执行措施	shuishouqiangzhizhixingcuoshi
税收征收管理法	shuishouzhengshouguanlifa
税收执法检查规则	shuishouzhifajianchaguize
税收撤销权	shuishouchexiaoquan
税收救济权	shuishoujiujiquan
税收救济法	shuishoujiujifa
税收档板	shuishoudangban
税收激励效应	shuishoujilixiaoying
税收程序性权利	shuishouchengxuxingquanli
税收管理权限	shuishouguanliquanxian
税收规范性文件	shuishouguifanxingwenjian
税收课征权	shuishoukezhengquan
税种登记	shuizhongdengji
稳心高度	wenxingaodu
空地税	kongdishui
空壳公司	kongkegongsi
空头转帐支票	kongtouzhuanzhangzhipiao
空姐溶尸案	kongjierongshian
空床费	kongchuangfei
空气空间	kongqikongjian
空港服务	konggangfuwu
空白背书	kongbaibeishu
空舱费	kongcangfei
空间效力	kongjianxiaoli
空间效力范围	kongjianxiaolifanwei
空间权	kongjianquan
空防安全	kongfanganquan
突发事件应对法	tufashijianyingduifa
突发公共事件管理	tufagonggongshijianguanli
窃照专用器材罪	qiezhaozhuanyongqicaizui
窃电	qiedian
窃盗赃	qiedaozang
窑灰	yaohui
立即撤销委托	lijichexiaoweituo
立法宗旨	lifazongzhi
站笼	zhanlong
竞业禁止合同	jingyejinzhihetong
章服制度	zhangfuzhidu
竺农范	zhunongfan
笑刑	xiaoxing
第一付款责任	diyifukuanzeren
第一代独生子女	diyidaidushengzinv
第一危险保险	diyiweixianbaoxian
第一审刑事判决书	diyishenxingshipanjueshu
第一审程序	diyishenchengxu
第一法律门户	diyifalvmenhu
第一顺位继承人	diyishunweijichengren
第一顺序继承人	diyishunxujichengren
第三人侵害债权	disanrenqinhaizhaiquan
第三人清偿	disanrenqingchang
第三人过错行为	disanrenguocuoxingwei
第二审刑事判决书	diershenxingshipanjueshu
第二次答辩	diercidabian
第四次宪法修正案	disicixianfaxiuzhengan
等价有偿原则	dengjiayouchangyuanze
等同物替换	dengtongwutihuan
签订日期	qiandingriqi
简单权益法	jiandanquanyifa
管制刀具	guanzhidaoju
粘性增值	zhanxingzengzhi
粮食收购保护价	liangshishougoubaohujia
粮食流通监督检查	liangshiliutongjiandujiancha
精神抚慰金	jingshenfuweijin
精神药品罪	jingshenyaopinzui
精神错乱辩护	jingshencuoluanbianhu
精神障碍与犯罪	jingshenzhangaiyufanzui
精神障碍者	jingshenzhangaizhe
系统性金融危机	xitongxingjinrongweiji
索赔时效	suopeishixiao
红十字会法	hongshizihuifa
纤维检验	xianweijianyan
约定回购	yuedinghuigou
约定条款内容	yuedingtiaokuanneirong
约定解除	yuedingjiechu
约定财产制	yuedingcaichanzhi
约定违约金	yuedingweiyuejin
约束性保护	yueshuxingbaohu
纪检监察信访工作	jijianjianchaxinfanggongzuo
纳税影响法	nashuiyingxiangfa
纵向垄断协议	zongxianglongduanxieyi
纵联品牌法	zonglianpinpaifa
纸币流通规律	zhibiliutongguilv
纺织品与服装协议	fangzhipinyufuzhuangxieyi
纽约公约	niuyuegongyue
纽约金属交易所	niuyuejinshujiaoyisuo
组织健康报告法	zuzhijiankangbaogaofa
组织越狱罪	zuzhiyueyuzui
终局行政行为	zhongjuxingzhengxingwei
终局裁决	zhongjucaijue
终止权	zhongzhiquan
终止生效时间	zhongzhishengxiaoshijian
终止用电	zhongzhiyongdian
终结执行	zhongjiezhixing
终结罪恶	zhongjiezuie
经国务院批准	jingguowuyuanpizhun
经常性贷款	jingchangxingdaikuan
经常账户可兑换	jingchangzhanghukeduihuan
经济公益诉讼	jingjigongyisusong
经济合作合同	jingjihezuohetong
经济合同法	jingjihetongfa
经济合同法律关系	jingjihetongfalvguanxi
经济帮助	jingjibangzhu
经济建设支出	jingjijianshezhichu
经济承受能力	jingjichengshounengli
经济技术合作协定	jingjijishuhezuoxieding
经济指标体系	jingjizhibiaotixi
经济案件级别管辖	jingjianjianjibieguanxia
经济检察	jingjijiancha
经济法专业	jingjifazhuanye
经济法主体研究	jingjifazhutiyanjiu
经济法制手段	jingjifazhishouduan
经济法学家	jingjifaxuejia
经济法律行为	jingjifalvxingwei
经济法理论的重构	jingjifalilundezhonggou
经济法规研究中心	jingjifaguiyanjiuzhongxin
经济法论丛	jingjifaluncong
经济犯罪案件	jingjifanzuianjian
经济监督	jingjijiandu
经济等检察厅	jingjidengjianchating
经济管理权	jingjiguanliquan
经济解释	jingjijieshi
经济警察制度	jingjijingchazhidu
经济贸易办公室	jingjimaoyibangongshi
经济贸易委员会	jingjimaoyiweiyuanhui
经研究	jingyanjiu
经营信息	jingyingxinxi
经营判断规则	jingyingpanduanguize
经营权租赁	jingyingquanzulin
经营权转让	jingyingquanzhuanrang
经营自主权	jingyingzizhuquan
经营许可证	jingyingxukezheng
经验法则	jingyanfaze
结婚登记颁证制度	jiehundengjibanzhengzhidu
结构价格	jiegoujiage
结构优化	jiegouyouhua
结构化产品	jiegouhuachanpin
结构化信托业务	jiegouhuaxintuoyewu
结构失调	jiegoushitiao
结构性矛盾突出	jiegouxingmaoduntuchu
结构扭曲	jiegouniuqu
结构票	jiegoupiao
结构调整政策	jiegoutiaozhengzhengce
结果加重犯	jieguojiazhongfan
结清债权债务	jieqingzhaiquanzhaiwu
结算会员制度	jiesuanhuiyuanzhidu
绕规模贷款	raoguimodaikuan
给付性保险合同	jifuxingbaoxianhetong
给农民朋友讲刑法	geinongminpengyoujiangxingfa
绝对不定期刑	jueduibudingqixing
绝对不能犯	jueduibunengfan
绝对保留事项	jueduibaoliushixiang
绝对剩余价值生产	jueduishengyujiazhishengchan
绝对必要事项	jueduibiyaoshixiang
绝对法律行为	jueduifalvxingwei
统一代码标识制度	tongyidaimabiaoshizhidu
统一会计制度	tongyihuijizhidu
统一全国税政	tongyiquanguoshuizheng
统一实体规范	tongyishitiguifan
统计执法检查规定	tongjizhifajianchaguiding
统计法实施细则	tongjifashishixize
统计监督职能	tongjijianduzhineng
统配煤矿总公司	tongpeimeikuangzonggongsi
继子女	jizinv
继子女关系	jizinvguanxi
继承恢复请求权	jichenghuifuqingqiuquan
继承既得权	jichengjidequan
继承法比较研究	jichengfabijiaoyanjiu
继承纠纷维权必备	jichengjiufenweiquanbibei
继承纠纷锦囊	jichengjiufenjinnang
继承遗产	jichengyichan
继父母	jifumu
继父母子女关系	jifumuzinvguanxi
绩效考核制度	jixiaokaohezhidu
绩效问责制	jixiaowenzezhi
续展注册商标公告	xuzhanzhuceshangbiaogonggao
维也纳条约法公约	weiyenatiaoyuefagongyue
维护尊严权	weihuzunyanquan
维护社会公平正义	weihushehuigongpingzhengyi
维护科学尊严	weihukexuezunyan
维持判决	weichipanjue
维持原判决	weichiyuanpanjue
维斯比规则	weisibiguize
维权与信访	weiquanyuxinfang
维权成本	weiquanchengben
维特伯爵回忆录	weitebojuehuiyilu
综合效益指标	zonghexiaoyizhibiao
综合管理类职位	zongheguanlileizhiwei
综合计算工时制	zonghejisuangongshizhi
绿色食品认证	lvseshipinrenzheng
缅甸公司法	miandiangongsifa
缔约权	diyuequan
缔约过失责任	diyueguoshizeren
缔结条约程序法	dijietiaoyuechengxufa
编辑作品	bianjizuopin
编辑工作手册	bianjigongzuoshouce
编辑权	bianjiquan
缘坐	yuanzuo
缘法而治	yuanfaerzhi
缺乏后劲	quefahoujin
缺席审判	quexishenpan
缺陷产品	quexianchanpin
网盟营销	wangmengyingxiao
网站侵权	wangzhanqinquan
网络传播权	wangluochuanboquan
网络发言人	wangluofayanren
网络后台实名制	wangluohoutaishimingzhi
网络安全法	wangluoanquanfa
网络法律制度	wangluofalvzhidu
网络犯罪	wangluofanzui
网络犯罪公约	wangluofanzuigongyue
网络著作权侵权	wangluozhuzuoquanqinquan
网络购物维权	wangluogouwuweiquan
网络赌博	wangluodubo
罗马法与现代民法	luomafayuxiandaiminfa
罚未遂	faweisui
罚没收入	famoshouru
罢工权	bagongquan
罪刑相适应原则	zuixingxiangshiyingyuanze
罪犯英雄化	zuifanyingxionghua
罪责自负原则	zuizezifuyuanze
美国专利法	meiguozhuanlifa
美国住房政策	meiguozhufangzhengce
美国劳动雇佣法	meiguolaodongguyongfa
美国宪法第一章	meiguoxianfadiyizhang
美国政府道德法	meiguozhengfudaodefa
美国最高法院内幕	meiguozuigaofayuanneimu
美国枪支法	meiguoqiangzhifa
美国法律呼悠谈	meiguofalvhuyoutan
美国法律概况	meiguofalvgaikuang
美国法律英语	meiguofalvyingyu
美国法律辞典	meiguofalvcidian
美国法的变迁	meiguofadebianqian
美国犯罪现场鉴	meiguofanzuixianchangjian
美国电力市场	meiguodianlishichang
美国签证新政策	meiguoqianzhengxinzhengce
美国非农就业指数	meiguofeinongjiuyezhishu
翘尾因素	qiaoweiyinsu
翡翠分级标准	feicuifenjibiaozhun
翻译名义集	fanyimingyiji
耕地占用税	gengdizhanyongshui
职业健康与安全	zhiyejiankangyuanquan
职业分工	zhiyefengong
职业医闹	zhiyeyinao
职业安全	zhiyeanquan
职业安全卫生	zhiyeanquanweisheng
职业年金制度	zhiyenianjinzhidu
职业技能鉴定证书	zhiyejinengjiandingzhengshu
职业特权	zhiyetequan
职业犯	zhiyefan
职业生涯管理制度	zhiyeshengyaguanlizhidu
职业病防治法	zhiyebingfangzhifa
职业责任保险合同	zhiyezerenbaoxianhetong
职业责任险	zhiyezerenxian
职业道德评价	zhiyedaodepingjia
职业银行家	zhiyeyinhangjia
职位聘任	zhiweipinren
职务作品	zhiwuzuopin
职务侵权	zhiwuqinquan
职务侵权行为	zhiwuqinquanxingwei
职务犯罪举报工作	zhiwufanzuijubaogongzuo
职务犯罪面面观	zhiwufanzuimianmianguan
职工代表大会	zhigongdaibiaodahui
职工医疗费用	zhigongyiliaofeiyong
职工董事制度	zhigongdongshizhidu
职权主义诉讼模式	zhiquanzhuyisusongmoshi
职权主义诉讼结构	zhiquanzhuyisusongjiegou
职权原则	zhiquanyuanze
职称英语考试政策	zhichengyingyukaoshizhengce
职能管辖	zhinengguanxia
职能转换	zhinengzhuanhuan
联合兼并	lianhejianbing
联合国海洋法公约	lianheguohaiyangfagongyue
联营协议	lianyingxieyi
联邦成员法	lianbangchengyuanfa
联邦水污染控制法	lianbangshuiwurankongzhifa
联邦贸易委员会法	lianbangmaoyiweiyuanhuifa
聚众持械劫狱罪	juzhongchixiejieyuzui
聚众斗殴罪	juzhongdououzui
肖像权纠纷	xiaoxiangquanjiufen
肖君拥	xiaojunyong
肖小勇	xiaoxiaoyong
肖建国	xiaojianguo
肖永平论冲突法	xiaoyongpinglunchongtufa
股东代位诉讼	gudongdaiweisusong
股东大会议事规则	gudongdahuiyishiguize
股东总回报	gudongzonghuibao
股份制企业	gufenzhiqiye
股份合作企业	gufenhezuoqiye
股市断头	gushiduantou
股市泡沫论	gushipaomolun
股改承诺	gugaichengnuo
股权典当	guquandiandang
股权回购请求权	guquanhuigouqingqiuquan
股权执行	guquanzhixing
股权收购合同	guquanshougouhetong
股权转让协议	guquanzhuanrangxieyi
股权转让款	guquanzhuanrangkuan
股权转让纠纷	guquanzhuanrangjiufen
股权过户登记	guquanguohudengji
股票交易印花税	gupiaojiaoyiyinhuashui
股票升值权	gupiaoshengzhiquan
股票发行核准制	gupiaofaxinghezhunzhi
股票发行注册制	gupiaofaxingzhucezhi
股票回购	gupiaohuigou
股票指数期货期权	gupiaozhishuqihuoqiquan
育婴假	yuyingjia
背书不连续	beishubulianxu
背书转让	beishuzhuanrang
胡惟庸案	huweiyongan
胡文坚	huwenjian
能源供应合同	nengyuangongyinghetong
能源委员会	nengyuanweiyuanhui
能源宪章条约	nengyuanxianzhangtiaoyue
能源管理法	nengyuanguanlifa
脑死亡与器官移植	naosiwangyuqiguanyizhi
脱媒现象	tuomeixianxiang
脱户漏口	tuohuloukou
自为行为	ziweixingwei
自保权	zibaoquan
自动出口限制	zidongchukouxianzhi
自动弃权行为	zidongqiquanxingwei
自动投案	zidongtouan
自发性负债	zifaxingfuzhai
自发辩证法	zifabianzhengfa
自告	zigao
自己代理	zijidaili
自己代理行为	zijidailixingwei
自愿保险	ziyuanbaoxian
自愿保险合同	ziyuanbaoxianhetong
自愿出口配额	ziyuanchukoupeie
自愿协议	ziyuanxieyi
自愿行为	ziyuanxingwei
自愿辞职	ziyuancizhi
自执行条约	zizhixingtiaoyue
自拆自建	zichaizijian
自救行为	zijiuxingwei
自救行为论	zijiuxingweilun
自然资源法学	ziranziyuanfaxue
自由文档许可证	ziyouwendangxukezheng
自行回避	zixinghuibi
自行拆迁	zixingchaiqian
自行组织招标	zixingzuzhizhaobiao
自行辩护	zixingbianhu
自贡市司法局	zigongshisifaju
自费出版	zifeichuban
自适应加权式	zishiyingjiaquanshi
舆论监督权	yulunjianduquan
舌战羊皮卷	shezhanyangpijuan
航海日程表	hanghairichengbiao
航班超售	hangbanchaoshou
航空安全管理	hangkonganquanguanli
航空旅客权益保护	hangkonglvkequanyibaohu
航空管理公约	hangkongguanligongyue
航空货物运输合同	hangkonghuowuyunshuhetong
航空货运代理	hangkonghuoyundaili
航空货运单	hangkonghuoyundan
航空黑名单	hangkongheimingdan
舱口围板	cangkouweiban
船东互保协会	chuandonghubaoxiehui
船员劳务合同	chuanyuanlaowuhetong
船员服务管理规定	chuanyuanfuwuguanliguiding
船舶优先权催告	chuanboyouxianquancuigao
船舶保险单	chuanbobaoxiandan
船舶吨位	chuanbodunwei
船舶油污应急计划	chuanboyouwuyingjijihua
船舶登记证书	chuanbodengjizhengshu
船舶经营管理	chuanbojingyingguanli
船舶维修费	chuanboweixiufei
船舶营运费用	chuanboyingyunfeiyong
良好操作规范	lianghaocaozuoguifan
艰难与希望	jiannanyuxiwang
艺术法概要	yishufagaiyao
艾滋病防治条例	aizibingfangzhitiaoli
节约用水制度	jieyueyongshuizhidu
节约能源法	jieyuenengyuanfa
芝加哥公约	zhijiagegongyue
芦映	luying
芦汉铁路借款合同	luhantielujiekuanhetong
苏悉地法	suxidifa
苏泊尔并购案	supoerbinggouan
苏锦梁	sujinliang
苗疆事宜	miaojiangshiyi
英吉利法研究	yingjilifayanjiu
英国侵权法	yingguoqinquanfa
英国信托法	yingguoxintuofa
英国刑事诉讼程序	yingguoxingshisusongchengxu
英国商标注册	yingguoshangbiaozhuce
英国大宪章	yingguodaxianzhang
英国最高法院	yingguozuigaofayuan
英国枢密院	yingguoshumiyuan
英国法律发达史	yingguofalvfadashi
英国法院系统	yingguofayuanxitong
英国违宪审查	yingguoweixianshencha
英国陆军法	yingguolujunfa
英文合同	yingwenhetong
英法协约	yingfaxieyue
英美司法制度	yingmeisifazhidu
英美商事法	yingmeishangshifa
英美法系	yingmeifaxi
英荷条约	yinghetiaoyue
英语现场导游辞	yingyuxianchangdaoyouci
范长江新闻奖	fanchangjiangxinwenjiang
药事法	yaoshifa
药事法学	yaoshifaxue
药事管理与法规	yaoshiguanliyufagui
药品与医疗器械	yaopinyuyiliaoqixie
药品使用单位	yaopinshiyongdanwei
药品加成率	yaopinjiachenglv
药品召回管理办法	yaopinzhaohuiguanlibanfa
药品差比价规则	yaopinchabijiaguize
药品广告审查办法	yaopinguanggaoshenchabanfa
药品监督管理	yaopinjianduguanli
药品管制	yaopinguanzhi
药品管理法	yaopinguanlifa
药品行政保护	yaopinxingzhengbaohu
药政管理条例	yaozhengguanlitiaoli
药检站	yaojianzhan
莫小莎	moxiaosha
莫急于盗贼	mojiyudaozei
莫虎	mohu
莱茵河航行公约	laiyinhehangxinggongyue
获得报酬权	huodebaochouquan
菲迪克	feidike
营业员上岗证	yingyeyuanshanggangzheng
营业权论	yingyequanlun
营业犯	yingyefan
营业秘密	yingyemimi
营业税暂行条例	yingyeshuizanxingtiaoli
营业税条例	yingyeshuitiaoli
营养工作规范	yingyanggongzuoguifan
营利性法人	yinglixingfaren
营利法人	yinglifaren
营利犯	yinglifan
营利目的	yinglimudi
萧何定律	xiaohedinglv
著作权与邻接权	zhuzuoquanyulinjiequan
著作权交易市场	zhuzuoquanjiaoyishichang
著作权使用费	zhuzuoquanshiyongfei
著作权侵权	zhuzuoquanqinquan
著作权侵权行为	zhuzuoquanqinquanxingwei
著作权国际公约	zhuzuoquanguojigongyue
著作权强制许可	zhuzuoquanqiangzhixuke
著作权法实施条例	zhuzuoquanfashishitiaoli
著作权转让合同	zhuzuoquanzhuanranghetong
葡萄酒分级制度	putaojiufenjizhidu
董事会会议制度	dongshihuihuiyizhidu
董事会召开程序	dongshihuizhaokaichengxu
董事会授权	dongshihuishouquan
董事会权限	dongshihuiquanxian
董事解任	dongshijieren
葫芦牌	hulupai
蒋有才	jiangyoucai
蒙古国刑法典	mengguguoxingfadian
蓬溪县农业局	pengxixiannongyeju
蔺存宝	lincunbao
薪酬等级制度	xinchoudengjizhidu
藐视法庭罪	miaoshifatingzui
蘑菇定律	mogudinglv
虐待动物罪	nvedaidongwuzui
虐待罪	nvedaizui
虚伪意思表示	xuweiyisibiaoshi
虚假存单	xujiacundan
虚假广告	xujiaguanggao
虚假广告罪	xujiaguanggaozui
虚假广告行为	xujiaguanggaoxingwei
虚功实做	xugongshizuo
虚开增值税发票	xukaizengzhishuifapiao
虚开增值税发票罪	xukaizengzhishuifapiaozui
虚报注册资本罪	xubaozhucezibenzui
虚构事实	xugoushishi
蚕种管理办法	canzhongguanlibanfa
血吸虫病防治条例	xuexichongbingfangzhitiaoli
血族复仇	xuezufuchou
血液制品管理条例	xueyezhipinguanlitiaoli
血站管理办法	xuezhanguanlibanfa
血站管理暂行办法	xuezhanguanlizanxingbanfa
血缘婚	xueyuanhun
行为判定	xingweipanding
行为地法	xingweidifa
行为性质错误	xingweixingzhicuowu
行为手段	xingweishouduan
行为模式	xingweimoshi
行为法学派	xingweifaxuepai
行为犯研究	xingweifanyanjiu
行为目标法	xingweimubiaofa
行为记录法	xingweijilufa
行为默示形式	xingweimoshixingshi
行刑社会化	xingxingshehuihua
行政争议法律援助	xingzhengzhengyifalvyuanzhu
行政体制改革研究	xingzhengtizhigaigeyanjiu
行政划拨用地	xingzhenghuaboyongdi
行政单位会计制度	xingzhengdanweikuaijizhidu
行政单位财务管理	xingzhengdanweicaiwuguanli
行政即时强制	xingzhengjishiqiangzhi
行政复议法	xingzhengfuyifa
行政复议法学	xingzhengfuyifaxue
行政复议范围	xingzhengfuyifanwei
行政应急性原则	xingzhengyingjixingyuanze
行政强制执行	xingzhengqiangzhizhixing
行政强制措施	xingzhengqiangzhicuoshi
行政强制法	xingzhengqiangzhifa
行政强制法草案	xingzhengqiangzhifacaoan
行政强制程序	xingzhengqiangzhichengxu
行政执法类职位	xingzhengzhifaleizhiwei
行政执行法	xingzhengzhixingfa
行政没收	xingzhengmoshou
行政法律关系研究	xingzhengfalvguanxiyanjiu
行政法规及规则	xingzhengfaguijiguize
行政相对方	xingzhengxiangduifang
行政终局裁决行为	xingzhengzhongjucaijuexingwei
行政行为主体合法	xingzhengxingweizhutihefa
行政规范性文件	xingzhengguifanxingwenjian
行政许可法注评	xingzhengxukefazhuping
行政诉讼参加人	xingzhengsusongcanjiaren
行政诉讼受案范围	xingzhengsusongshouanfanwei
行政诉讼收费制度	xingzhengsusongshoufeizhidu
行政诉讼案件	xingzhengsusonganjian
行政诉讼裁定	xingzhengsusongcaiding
行文规则	xingwenguize
行纪人	xingjiren
行纪合同	xingjihetong
行纪行为	xingjixingwei
行贿黑名单	xinghuiheimingdan
补偿性财政政策	buchangxingcaizhengzhengce
补充保障	buchongbaozhang
补缺性条款	buquexingtiaokuan
表决权回避制度	biaojuequanhuibizhidu
表决权限制制度	biaojuequanxianzhizhidu
表外科目	biaowaikemu
表现代理	biaoxiandaili
表现犯	biaoxianfan
表示行为	biaoshixingwei
袁毓明	yuanyuming
袖珍英汉法律词典	xiuzhenyinghanfalvcidian
被告住所地	beigaozhusuodi
被害人承诺	beihairenchengnuo
被庐之法	beiluzhifa
被拆迁人	beichaiqianren
被申请执行人	beishenqingzhixingren
被裁定为	beicaidingwei
袭击罪	xijizui
裁定权	caidingquan
裁定驳回	caidingbohui
装卸货时间	zhuangxiehuoshijian
装卸费用	zhuangxiefeiyong
装运前检验协议	zhuangyunqianjianyanxieyi
西安城墙保护条例	xianchengqiangbaohutiaoli
西方法学名著提要	xifangfaxuemingzhutiyao
西方法学家列传	xifangfaxuejialiezhuan
西藏节日文化	xizangjieriwenhua
要式民事法律行为	yaoshiminshifalvxingwei
要式法律行为	yaoshifalvxingwei
要式行为	yaoshixingwei
要式证券	yaoshizhengquan
要求轻判	yaoqiuqingpan
要约失效	yaoyueshixiao
要约撤回	yaoyuechehui
要约收购	yaoyueshougou
要约效力	yaoyuexiaoli
要约文件	yaoyuewenjian
见习期制度	jianxiqizhidu
规划审批权	guihuashenpiquan
规划建设法规	guihuajianshefagui
规划许可证	guihuaxukezheng
规定性通知	guidingxingtongzhi
规定行政措施	guidingxingzhengcuoshi
规模效益	guimoxiaoyi
规模经济学	guimojingjixue
规模经济政策	guimojingjizhengce
规矩方圆	guijufangyuan
规章制定程序条例	guizhangzhidingchengxutiaoli
规范与价值	guifanyujiazhi
规范与法律	guifanyufalv
规范性文件	guifanxingwenjian
规范性解释	guifanxingjieshi
规范权力	guifanquanli
规范法学	guifanfaxue
规范行为	guifanxingwei
视频合同	shipinhetong
解放军总直属队	jiefangjunzongzhishudui
解约日	jieyueri
解读私募股权基金	jiedusimuguquanjijin
言词原则	yanciyuanze
警察圈套	jingchaquantao
警察职务犯罪研究	jingchazhiwufanzuiyanjiu
计算机网络犯罪	jisuanjiwangluofanzui
计量比对管理办法	jiliangbiduiguanlibanfa
计量认证标志	jiliangrenzhengbiaozhi
认真对待人权	renzhenduidairenquan
让予担保	rangyudanbao
让法律做主	rangfalvzuozhu
让路船	rangluchuan
训政时期约法	xunzhengshiqiyuefa
议付行	yifuxing
讯问笔录	xunwenbilu
记名有价证券	jimingyoujiazhengquan
许可经营范围	xukejingyingfanwei
许可证制度	xukezhengzhidu
许可证协议	xukezhengxieyi
许可证贸易协议	xukezhengmaoyixieyi
许小平律师事务所	xuxiaopinglvshishiwusuo
许诺人	xunuoren
许诺销售	xunuoxiaoshou
许诺销售权	xunuoxiaoshouquan
讹诈行为	ezhaxingwei
论不动产登记	lunbudongchandengji
论争中的渔业权	lunzhengzhongdeyuyequan
论公正	lungongzheng
论公法原则	lungongfayuanze
论国家补偿	lunguojiabuchang
论文抄袭	lunwenchaoxi
论比例原则	lunbiliyuanze
论法律	lunfalv
论澳门基本法	lunaomenjibenfa
论犯罪和刑罚	lunfanzuihexingfa
论犯罪观	lunfanzuiguan
论科学发展观	lunkexuefazhanguan
论缔约过失责任	lundiyueguoshizeren
论股东表决权	lungudongbiaojuequan
设备润滑管理制度	shebeirunhuaguanlizhidu
设备租赁合同	shebeizulinhetong
设备管理制度	shebeiguanlizhidu
设定信托	shedingxintuo
设权证券	shequanzhengquan
设立自治机关	shelizizhijiguan
证券业协会	zhengquanyexiehui
证券业同业公会	zhengquanyetongyegonghui
证券交易佣金	zhengquanjiaoyiyongjin
证券交易清算	zhengquanjiaoyiqingsuan
证券信用控制	zhengquanxinyongkongzhi
证券公司检查办法	zhengquangongsijianchabanfa
证券公司财务制度	zhengquangongsicaiwuzhidu
