# 泰深输入法专业词库 — physics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
超连续光谱	chaolianxuguangpu
贾晓鹏	jiaxiaopeng
面波	mianbo
手风琴效应	shoufengqinxiaoying
半金属	banjinshu
常衡制	changhengzhi
定常系統	dingchangxitong
玻尔磁子	boercizi
同步辐射光源	tongbufusheguangyuan
低温物理学报	diwenwulixuebao
熱經濟學	rejingjixue
简并能级	jianbingnengji
即時差分定位	jishichafendingwei
週期	zhouqi
安培环路定律	anpeihuanludinglv
近代物理學	jindaiwulixue
形上學	xingshangxue
强子	qiangzi
自由粒子	ziyoulizi
電致發光	dianzhifaguang
質子自旋危機	zhizizixuanweiji
分布守恒	fenbushouheng
磁層頂	cicengding
電磁泵	diancibeng
秘魯時間	milushijian
高斯轨道	gaosiguidao
交換係數	jiaohuanxishu
系统尺度展开	xitongchiduzhankai
物理教師	wulijiaoshi
太阳系模型	taiyangximoxing
眩光	xuanguang
力法	lifa
週期波	zhouqibo
达朗贝尔方程	dalangbeierfangcheng
弦唯象学	xianweixiangxue
弹性波	danxingbo
范德華方程式	fandehuafangchengshi
固有速度	guyousudu
堵轉力矩	duzhuanliju
光速	guangsu
聲致發光	shengzhifaguang
灰光学粘团	huiguangxuezhantuan
滑轮	hualun
物理系统	wulixitong
物理评论	wulipinglun
熱物理學	rewulixue
相变晶体学	xiangbianjingtixue
世界的和諧	shijiedehexie
湮滅輻射	yanmiefushe
电化学梯度	dianhuaxuetidu
拉伐尔喷管	lafaerpenguan
九三斗	jiusandou
光栅	guangshan
巴西果效应	baxiguoxiaoying
流体	liuti
共振腔	gongzhenqiang
鐵峰頂	tiefengding
靜力平衡	jinglipingheng
配合物结构	peihewujiegou
鏡頭	jingtou
电磁场	diancichang
分子电流假说	fenzidianliujiashuo
热功当量	regongdangliang
熱力學儀器	relixueyiqi
正午標	zhengwubiao
訊號速度	xunhaosudu
