# 泰深输入法专业词库 — economics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
死亡螺旋	siwangluoxuan
封閉經濟	fengbijingji
市净率	shijinglv
工業化	gongyehua
禿	tu
房地產經濟學	fangdichanjingjixue
猪类期货	zhuleiqihuo
常设仲裁法院	changshezhongcaifayuan
卡玛比率	kamabilv
輕工業	qinggongye
羅密歐的藍天	luomioudelantian
韓相龍	hanxianglong
黑土	heitu
内部殖民主义	neibuzhiminzhuyi
股份	gufen
三圃制	sanpuzhi
城寨城堡	chengzhaichengbao
猎场	liechang
福義軒食品	fuyixuanshipin
緊縮政策	jinsuozhengce
穩定性理論	wendingxinglilun
自由貿易協定	ziyoumaoyixieding
背包问题	beibaowenti
马尾造船厂	maweizaochuanchang
國有化	guoyouhua
康戴里	kangdaili
地租	dizu
信賴區間	xinlaiqujian
多元变量统计	duoyuanbianliangtongji
制成品	zhichengpin
銀行準備	yinxingzhunbei
求职	qiuzhi
公开发行	gongkaifaxing
行為經濟學	xingweijingjixue
華孚科技	huafukeji
资产证券化	zichanzhengquanhua
信用卡提现	xinyongkatixian
起步房	qibufang
有無快送	youwukuaisong
满洲大林组	manzhoudalinzu
现金价值	xianjinjiazhi
經濟歷史學派	jingjilishixuepai
激勵	jili
上校賽局	shangxiaosaiju
保守主義浪潮	baoshouzhuyilangchao
東方影業	dongfangyingye
精算學	jingsuanxue
无产阶级	wuchanjieji
小米支付	xiaomizhifu
八级工资制	bajigongzizhi
帝国化学工业	diguohuaxuegongye
地下運輸	dixiayunshu
经济体系	jingjitixi
公共物品	gonggongwupin
班卡拉	bankala
流水线设备	liushuixianshebei
美國經濟學會	meiguojingjixuehui
創造力團體	chuangzaolituanti
统计学	tongjixue
债务	zhaiwu
过度积累	guodujilei
帕累托效率	paleituoxiaolv
社區資本基金	shequzibenjijin
香港一仙紙幣	xianggangyixianzhibi
边际	bianji
油井	youjing
死亡率	siwanglv
母带	mudai
迴歸分析	huiguifenxi
汽车贴膜	qichetiemo
普罗伊萨格	puluoyisage
阿里媽媽	alimama
第四世界	disishijie
国库	guoku
按市值计价	anshizhijijia
行贿基金	xinghuijijin
時度錶	shidubiao
邊際利潤率	bianjilirunlv
物價革命	wujiageming
預付式消費	yufushixiaofei
二元期權	eryuanqiquan
熱經濟學	rejingjixue
能源行业	nengyuanxingye
博傻理论	boshalilun
平均绝对误差	pingjunjueduiwucha
獵鹿賽局	lielusaiju
純利	chunli
波上的魔術師	boshangdemoshushi
生命週期評估	shengmingzhouqipinggu
美國線	meiguoxian
收支平衡点	shouzhipinghengdian
熔断机制	rongduanjizhi
海盗博弈	haidaoboyi
种子基金	zhongzijijin
內部報酬率	neibubaochoulv
宝华韦健	baohuaweijian
经济发展质量	jingjifazhanzhiliang
金融社会工作	jinrongshehuigongzuo
抚养比	fuyangbi
事件研究法	shijianyanjiufa
资本外流	zibenwailiu
发展理论	fazhanlilun
排放权交易	paifangquanjiaoyi
最後通牒賽局	zuihoutongdiesaiju
鴨子曲線	yaziquxian
財務金融學刊	caiwujinrongxuekan
发展援助	fazhanyuanzhu
足力健	zulijian
证券商	zhengquanshang
收益率曲线	shouyilvquxian
通脹放緩	tongzhangfanghuan
本益成長比	benyichengzhangbi
前进集团挪威	qianjinjituannuowei
鍛焊	duanhan
家庭消費	jiatingxiaofei
稅盾	shuidun
智猪博弈	zhizhuboyi
權力菁英	quanlijingying
地積	diji
汇率风险	huilvfengxian
主权违约	zhuquanweiyue
人口转型	renkouzhuanxing
驱氢	quqing
曼納高速公路	mannagaosugonglu
首惠產業金融	shouhuichanyejinrong
經濟物質主義	jingjiwuzhizhuyi
经济与社会	jingjiyushehui
保险代理人	baoxiandailiren
比较优势	bijiaoyoushi
代际平等	daijipingdeng
職業	zhiye
安倍經濟學	anbeijingjixue
摩擦性失業	mocaxingshiye
紅鯡魚招股書	hongfeiyuzhaogushu
酢醬草組織	cujiangcaozuzhi
雁行理论	yanxinglilun
自由社会主义	ziyoushehuizhuyi
中公教育	zhonggongjiaoyu
招商引资	zhaoshangyinzi
汤象龙	tangxianglong
重新录制	zhongxinluzhi
黑市	heishi
棉纺厂	mianfangchang
逆向誘拐	nixiangyouguai
随机博弈	suijiboyi
本票	benpiao
埃索	aisuo
国民储蓄	guominchuxu
聚集經濟	jujijingji
私有財	siyoucai
投资管理	touziguanli
价值增殖	jiazhizengzhi
黃金現貨	huangjinxianhuo
炫耀性消費	xuanyaoxingxiaofei
司马贺	simahe
失效率	shixiaolv
鉅變	jubian
分錄	fenlu
人口红利	renkouhongli
會計系統	huijixitong
山外山	shanwaishan
啄序	zhuoxu
新昌地產	xinchangdichan
光船傭船契約	guangchuanyongchuanqiyue
交换经济	jiaohuanjingji
保证金	baozhengjin
定金	dingjin
狩獵採集	shouliecaiji
竞争情报	jingzhengqingbao
网络流	wangluoliu
碳交易	tanjiaoyi
宗教技術中心	zongjiaojishuzhongxin
全球宏观	quanqiuhongguan
